,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2017-08-12,17:30,Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,0.3,1.8,23,30415,Bruno,4-4-2,Michael Oliver,Match Report,,Brighton and Hove Albion,0,6,2,33.3,0.0,0.0,16.3,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,7.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8,7.0,3.0,0.0,6.0,15.0,40.0,9.0,144.0,40.0,27.8,84.0,46.0,14.0,22.0,5.0,0.0,17.0,19,,40.0,0.0,4,2,3,50.0,0,1.6,0.6,0,0,0,0,8.0,26.0,30.8,19.0,3.0,78.9,55.6,11.0,100.0,70.3,12.0,1.0,8.3,0.0,7.6,137.0,235.0,58.3,3027.0,1359.0,53.0,68.0,77.9,51.0,72.0,70.8,30.0,82.0,36.6,0,0.1,2.0,9.0,0.0,0.0,6.0,0,0,0,8,8,6,4,19,8,0.0,0.0,1,65.0,17.0,19.0,47.2,2018
1,2017-08-19,15:00,Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,0.2,1.7,56,31902,Bruno,4-4-1-1,Lee Probert,Match Report,,Brighton and Hove Albion,0,5,2,40.0,0.0,0.0,25.4,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13,12.0,3.0,0.0,5.0,16.0,31.3,11.0,84.0,35.0,41.7,36.0,43.0,5.0,14.0,6.0,0.0,8.0,4,,17.0,1.0,3,2,1,33.3,0,1.3,-0.7,0,0,0,0,12.0,25.0,48.0,30.0,6.0,56.7,39.6,9.0,88.9,59.7,10.0,0.0,0.0,1.0,14.0,473.0,575.0,82.3,9924.0,3073.0,170.0,186.0,91.4,204.0,234.0,87.2,94.0,139.0,67.6,0,0.1,2.0,26.0,4.0,2.0,25.0,0,0,0,10,9,2,10,4,13,0.0,0.0,0,100.0,18.0,22.0,45.0,2018
2,2017-08-22,19:45,EFL Cup,Second round,Tue,Home,W,1,0,Barnet,,,62,11414,Liam Rosenior,4-4-1-1,Steve Martin,Match Report,,Brighton and Hove Albion,1,11,4,36.4,0.09,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,10,,,,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,0,4,7,3,8,10,9,0.0,0.0,0,,,,,2018
3,2017-08-26,15:00,Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,0.9,0.3,58,20181,Bruno,4-4-1-1,Graham Scott,Match Report,,Brighton and Hove Albion,0,16,2,12.5,0.0,0.0,17.6,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,22.0,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12,11.0,3.0,3.0,5.0,20.0,25.0,15.0,120.0,33.0,27.5,44.0,57.0,19.0,13.0,3.0,0.0,10.0,1,,23.0,0.0,0,0,0,,1,0.0,0.0,0,0,0,0,10.0,12.0,83.3,24.0,10.0,37.5,35.5,6.0,50.0,45.3,6.0,0.0,0.0,0.0,12.8,397.0,497.0,79.9,8911.0,2717.0,117.0,142.0,82.4,189.0,205.0,92.2,86.0,129.0,66.7,0,0.7,12.0,34.0,8.0,2.0,43.0,1,0,0,22,8,5,16,1,12,0.0,0.0,0,96.0,27.0,23.0,54.0,2018
4,2017-09-09,15:00,Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,0.4,0.8,49,30381,Bruno,4-4-1-1,Chris Kavanagh,Match Report,,Brighton and Hove Albion,3,12,6,50.0,0.25,0.5,22.7,0.0,0,0,0.4,0.4,0.04,2.6,2.6,18.0,17.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,15,14.0,5.0,1.0,4.0,20.0,20.0,16.0,184.0,56.0,30.4,59.0,91.0,34.0,19.0,3.0,0.0,16.0,15,,35.0,1.0,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,8.0,19.0,42.1,23.0,9.0,39.1,37.8,13.0,76.9,60.4,17.0,2.0,11.8,0.0,10.5,390.0,494.0,78.9,8321.0,2612.0,136.0,153.0,88.9,182.0,212.0,85.8,67.0,113.0,59.3,3,0.4,9.0,33.0,5.0,3.0,33.0,2,0,0,11,6,1,10,15,15,0.0,0.0,0,74.0,24.0,23.0,51.1,2018
5,2017-09-15,20:00,Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,0.7,1.5,38,10369,Lewis Dunk,4-4-1-1,Craig Pawson,Match Report,,Brighton and Hove Albion,1,9,1,11.1,0.11,1.0,14.3,0.0,0,0,0.7,0.7,0.08,0.3,0.3,13.0,4.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,18,17.0,5.0,0.0,3.0,18.0,16.7,15.0,199.0,64.0,32.2,86.0,93.0,20.0,13.0,7.0,0.0,6.0,9,,28.0,0.0,3,2,1,33.3,0,1.8,-0.2,0,0,0,0,12.0,28.0,42.9,19.0,0.0,78.9,53.0,13.0,100.0,64.2,14.0,0.0,0.0,0.0,3.0,314.0,426.0,73.7,7148.0,2624.0,108.0,135.0,80.0,124.0,155.0,80.0,77.0,119.0,64.7,1,0.4,5.0,21.0,2.0,2.0,25.0,0,0,0,14,5,1,8,9,18,0.0,0.0,0,81.0,23.0,21.0,52.3,2018
6,2017-09-19,19:45,EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,,,40,10372,Liam Rosenior,3-4-3,Kevin Friend,Match Report,Required Extra Time,Brighton and Hove Albion,0,13,5,38.5,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,18,,,,10,1,9,90.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,0,12,12,6,26,18,15,0.0,0.0,0,,,,,2018
7,2017-09-24,16:00,Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,1.0,1.3,50,30468,Bruno,4-4-1-1,Andre Marriner,Match Report,,Brighton and Hove Albion,1,6,3,50.0,0.17,0.33,10.7,0.0,0,0,1.0,1.0,0.17,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,14,8.0,7.0,3.0,4.0,17.0,23.5,13.0,134.0,47.0,35.1,58.0,54.0,22.0,17.0,6.0,0.0,11.0,6,,32.0,1.0,5,0,5,100.0,1,0.6,0.6,0,0,0,0,11.0,25.0,44.0,22.0,2.0,68.2,52.5,11.0,90.9,65.7,11.0,0.0,0.0,0.0,10.8,370.0,494.0,74.9,8325.0,2691.0,128.0,150.0,85.3,148.0,188.0,78.7,87.0,137.0,63.5,1,0.5,4.0,26.0,7.0,2.0,30.0,2,0,0,6,8,1,22,6,14,0.0,0.0,0,98.0,38.0,20.0,65.5,2018
8,2017-10-01,12:00,Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,0.4,3.0,37,59378,Bruno,4-1-4-1,Kevin Friend,Match Report,,Brighton and Hove Albion,0,10,1,10.0,0.0,0.0,19.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,18.0,7.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9,9.0,2.0,1.0,6.0,15.0,40.0,9.0,154.0,37.0,24.0,93.0,43.0,18.0,20.0,9.0,2.0,11.0,21,,18.0,1.0,8,2,6,75.0,0,2.8,0.8,0,0,0,0,7.0,28.0,25.0,25.0,6.0,60.0,45.2,14.0,92.9,60.1,4.0,0.0,0.0,1.0,22.0,304.0,409.0,74.3,5724.0,2165.0,133.0,149.0,89.3,115.0,140.0,82.1,46.0,99.0,46.5,0,0.4,8.0,22.0,5.0,2.0,19.0,2,0,0,10,8,3,11,21,9,0.0,0.0,0,68.0,18.0,26.0,40.9,2018
9,2017-10-15,13:30,Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,1.1,1.5,47,30565,Bruno,4-4-2,Michael Oliver,Match Report,,Brighton and Hove Albion,1,12,3,25.0,0.08,0.33,15.8,0.0,0,0,1.1,1.1,0.1,-0.1,-0.1,13.0,7.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,9,9.0,8.0,1.0,12.0,29.0,41.4,17.0,152.0,38.0,25.0,46.0,81.0,25.0,17.0,2.0,0.0,15.0,20,,32.0,0.0,5,1,5,100.0,0,1.9,0.9,1,1,0,0,12.0,25.0,48.0,24.0,3.0,79.2,53.8,9.0,66.7,53.9,7.0,0.0,0.0,0.0,14.4,310.0,431.0,71.9,6697.0,2723.0,112.0,134.0,83.6,117.0,154.0,76.0,67.0,122.0,54.9,1,0.8,6.0,22.0,9.0,4.0,33.0,4,0,0,17,9,5,15,20,9,0.0,1.0,0,105.0,23.0,24.0,48.9,2018
