,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Away,W,3,0,Crystal Palace,1.7,1.1,44,25448,Tommy Smith,4-2-3-1,Jonathan Moss,Match Report,,Huddersfield Town,2,9,6,66.7,0.22,0.33,15.6,0.0,0,0,1.7,1.7,0.18,0.3,0.3,12.0,6.0,4.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,26.0,13,11.0,10.0,5.0,6.0,24.0,25.0,18.0,208.0,67.0,32.2,73.0,95.0,40.0,17.0,4.0,0.0,13.0,13,,29.0,0.0,4,0,4,100.0,1,1.5,1.5,0,0,0,0,12.0,28.0,42.9,22.0,3.0,81.8,62.4,10.0,100.0,78.7,9.0,0.0,0.0,1.0,16.2,236.0,357.0,66.1,4951.0,2224.0,97.0,116.0,83.6,85.0,121.0,70.2,45.0,96.0,46.9,2,1.3,6.0,16.0,3.0,1.0,15.0,3,0,0,20,7,2,5,13,13,0.0,0.0,0,83.0,19.0,19.0,50.0,2018
1,2017-08-20,13:30,Premier League,Matchweek 2,Sun,Home,W,1,0,Newcastle Utd,0.3,1.4,51,24128,Tommy Smith,4-2-3-1,Craig Pawson,Match Report,,Huddersfield Town,1,7,3,42.9,0.14,0.33,22.0,0.0,0,0,0.3,0.3,0.04,0.7,0.7,6.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,15,13.0,13.0,1.0,9.0,26.0,34.6,17.0,164.0,55.0,33.5,53.0,76.0,35.0,23.0,5.0,0.0,18.0,8,,55.0,1.0,5,0,5,100.0,1,1.2,1.2,0,0,0,0,11.0,24.0,45.8,35.0,2.0,60.0,49.0,4.0,75.0,53.3,5.0,0.0,0.0,3.0,18.1,370.0,472.0,78.4,7542.0,2121.0,147.0,164.0,89.6,142.0,169.0,84.0,68.0,112.0,60.7,1,0.2,3.0,14.0,3.0,1.0,25.0,3,0,0,15,12,5,14,8,15,0.0,0.0,0,90.0,27.0,24.0,52.9,2018
2,2017-08-23,19:45,EFL Cup,Second round,Wed,Home,W,2,1,Rotherham Utd,,,59,8290,Christopher Schindler,4-2-3-1,Peter Bankes,Match Report,,Huddersfield Town,2,16,6,37.5,0.06,0.17,,,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,4,1,3,75.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0,0,13,10,1,25,0,0,1.0,0.0,0,,,,,2018
3,2017-08-26,15:00,Premier League,Matchweek 3,Sat,Home,D,0,0,Southampton,1.4,0.8,44,23548,Tommy Smith,4-2-3-1,Stuart Attwell,Match Report,,Huddersfield Town,0,16,6,37.5,0.0,0.0,15.8,0.0,0,0,1.4,1.4,0.09,-1.4,-1.4,28.0,22.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,2.0,12.0,5.0,3.0,11.0,27.3,8.0,155.0,50.0,32.3,27.0,81.0,47.0,14.0,1.0,1.0,13.0,8,,20.0,0.0,2,0,2,100.0,1,0.7,0.7,0,0,0,0,10.0,24.0,41.7,29.0,6.0,62.1,48.3,10.0,60.0,50.5,3.0,0.0,0.0,0.0,14.3,300.0,436.0,68.8,5915.0,2439.0,144.0,167.0,86.2,96.0,142.0,67.6,55.0,106.0,51.9,0,1.0,12.0,28.0,7.0,5.0,23.0,0,0,0,12,10,0,18,8,14,0.0,0.0,0,118.0,24.0,18.0,57.1,2018
4,2017-09-11,20:00,Premier League,Matchweek 4,Mon,Away,L,0,2,West Ham,0.3,1.7,55,56977,Tommy Smith,4-2-3-1,Kevin Friend,Match Report,,Huddersfield Town,0,9,2,22.2,0.0,0.0,23.7,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,12.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7,9.0,6.0,2.0,7.0,11.0,63.6,4.0,130.0,32.0,24.6,52.0,55.0,23.0,25.0,8.0,0.0,17.0,3,,42.0,0.0,4,2,2,50.0,0,1.3,-0.7,0,0,0,0,4.0,22.0,18.2,32.0,4.0,46.9,43.6,11.0,63.6,51.5,14.0,1.0,7.1,1.0,16.4,345.0,462.0,74.7,6326.0,1906.0,150.0,175.0,85.7,146.0,177.0,82.5,42.0,88.0,47.7,0,0.2,7.0,13.0,2.0,1.0,24.0,2,0,0,16,12,1,9,3,7,0.0,0.0,0,108.0,24.0,39.0,38.1,2018
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Home,D,1,1,Leicester City,1.1,1.4,58,24129,Tommy Smith,4-2-3-1,Jonathan Moss,Match Report,,Huddersfield Town,1,16,3,18.8,0.06,0.33,18.0,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,18.0,15.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,12,10.0,4.0,4.0,13.0,23.0,56.5,10.0,175.0,57.0,32.6,58.0,61.0,56.0,12.0,6.0,1.0,6.0,12,,54.0,0.0,0,1,0,,0,0.7,-0.3,1,1,0,0,10.0,21.0,47.6,31.0,3.0,51.6,44.6,7.0,71.4,57.7,4.0,0.0,0.0,1.0,14.6,414.0,542.0,76.4,8124.0,2814.0,191.0,212.0,90.1,143.0,177.0,80.8,70.0,131.0,53.4,1,0.8,9.0,31.0,14.0,10.0,29.0,1,0,0,7,8,3,29,12,12,0.0,1.0,0,107.0,28.0,31.0,47.5,2018
6,2017-09-19,19:45,EFL Cup,Third round,Tue,Away,L,0,1,Crystal Palace,,,59,6607,Jonathan Hogg,4-2-3-1,Lee Probert,Match Report,,Huddersfield Town,0,13,5,38.5,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,15,,,,6,1,5,83.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,9,14,1,19,15,17,0.0,0.0,0,,,,,2018
7,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Burnley,0.3,0.5,47,20759,Tommy Smith,4-2-3-1,Chris Kavanagh,Match Report,,Huddersfield Town,0,9,2,22.2,0.0,0.0,22.5,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,12.0,7.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,15,19.0,9.0,0.0,6.0,14.0,42.9,8.0,172.0,59.0,34.3,63.0,80.0,29.0,11.0,2.0,0.0,9.0,19,,49.0,0.0,2,0,2,100.0,1,0.0,0.0,0,0,0,0,10.0,30.0,33.3,39.0,3.0,66.7,48.8,6.0,66.7,57.7,7.0,1.0,14.3,0.0,13.8,333.0,450.0,74.0,6751.0,2550.0,116.0,137.0,84.7,160.0,193.0,82.9,53.0,107.0,49.5,0,0.2,5.0,28.0,3.0,1.0,27.0,2,0,0,14,12,4,10,19,15,0.0,0.0,0,91.0,28.0,31.0,47.5,2018
8,2017-09-30,12:30,Premier League,Matchweek 7,Sat,Home,L,0,4,Tottenham,0.2,2.0,41,24169,Tommy Smith,4-2-3-1,Niel Swarbrick,Match Report,,Huddersfield Town,0,6,1,16.7,0.0,0.0,23.0,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10,11.0,9.0,3.0,8.0,28.0,28.6,20.0,185.0,57.0,30.8,65.0,86.0,34.0,21.0,4.0,0.0,17.0,24,,21.0,2.0,7,4,3,42.9,0,2.8,-1.2,0,0,0,0,13.0,27.0,48.1,33.0,3.0,60.6,50.2,7.0,100.0,72.3,7.0,0.0,0.0,0.0,14.9,306.0,429.0,71.3,6193.0,2442.0,137.0,160.0,85.6,116.0,154.0,75.3,49.0,95.0,51.6,0,0.1,2.0,15.0,2.0,0.0,16.0,1,0,0,8,3,4,14,24,10,0.0,0.0,0,85.0,23.0,16.0,59.0,2018
9,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Away,L,0,2,Swansea City,0.4,1.5,59,20657,Tommy Smith,4-2-3-1,Paul Tierney,Match Report,,Huddersfield Town,0,7,2,28.6,0.0,0.0,20.4,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,11.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13,10.0,10.0,2.0,11.0,16.0,68.8,5.0,171.0,59.0,34.5,66.0,77.0,28.0,12.0,1.0,0.0,11.0,11,,25.0,1.0,3,2,1,33.3,0,1.9,-0.1,0,0,0,0,16.0,27.0,59.3,49.0,5.0,49.0,40.6,5.0,60.0,44.0,5.0,2.0,40.0,2.0,16.3,474.0,574.0,82.6,9777.0,3080.0,187.0,211.0,88.6,207.0,234.0,88.5,77.0,117.0,65.8,0,0.4,5.0,24.0,5.0,2.0,28.0,5,0,0,21,12,0,11,11,13,0.0,0.0,0,88.0,22.0,22.0,50.0,2018
