,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2017-08-11,19:45,Premier League,Matchweek 1,Fri,Away,L,3,4,Arsenal,1.3,2.3,31,59387,Wes Morgan,4-4-1-1,Mike Dean,Match Report,,Leicester City,3,6,4,66.7,0.5,0.75,10.3,0.0,0,0,1.3,1.3,0.22,1.7,1.7,7.0,4.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,0.0,1.0,18.0,8,5.0,8.0,5.0,4.0,17.0,23.5,13.0,139.0,31.0,22.3,49.0,52.0,38.0,20.0,11.0,0.0,9.0,19,,34.0,0.0,10,4,6,60.0,0,3.0,-1.0,0,0,0,0,15.0,37.0,40.5,26.0,0.0,96.2,65.3,12.0,100.0,73.1,10.0,0.0,0.0,1.0,27.7,181.0,299.0,60.5,4126.0,2019.0,77.0,94.0,81.9,56.0,79.0,70.9,41.0,104.0,39.4,3,1.2,4.0,19.0,3.0,3.0,12.0,1,0,0,13,10,3,19,19,8,0.0,0.0,0,80.0,18.0,18.0,50.0,2018
1,2017-08-19,15:00,Premier League,Matchweek 2,Sat,Home,W,2,0,Brighton,1.7,0.2,44,31902,Wes Morgan,4-4-1-1,Lee Probert,Match Report,,Leicester City,2,14,3,21.4,0.14,0.67,17.1,1.0,0,0,1.7,1.7,0.13,0.3,0.3,15.0,9.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,10,7.0,8.0,0.0,3.0,11.0,27.3,8.0,138.0,44.0,31.9,35.0,65.0,38.0,12.0,3.0,0.0,9.0,4,,28.0,0.0,2,0,2,100.0,1,0.1,0.1,0,0,0,0,9.0,22.0,40.9,29.0,6.0,58.6,49.3,5.0,100.0,73.4,10.0,0.0,0.0,1.0,15.8,360.0,460.0,78.3,7177.0,2321.0,155.0,173.0,89.6,145.0,170.0,85.3,54.0,101.0,53.5,1,1.2,7.0,15.0,4.0,1.0,23.0,1,0,0,9,10,1,13,4,10,0.0,0.0,0,100.0,22.0,18.0,55.0,2018
2,2017-08-22,19:45,EFL Cup,Second round,Tue,Away,W,4,1,Sheffield Utd,,,54,11280,Andy King,4-4-2,Tony Harrington,Match Report,,Leicester City,4,23,7,30.4,0.17,0.57,,,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,10,,,,6,1,5,83.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,0,0,13,10,3,23,10,8,0.0,0.0,0,,,,,2018
3,2017-08-26,17:30,Premier League,Matchweek 3,Sat,Away,L,0,2,Manchester Utd,0.6,2.6,31,75021,Wes Morgan,4-4-1-1,Michael Oliver,Match Report,,Leicester City,0,11,4,36.4,0.0,0.0,20.5,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,18.0,11.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20,19.0,14.0,1.0,9.0,32.0,28.1,23.0,242.0,64.0,26.4,111.0,104.0,27.0,22.0,7.0,0.0,15.0,11,,41.0,0.0,6,2,4,66.7,0,2.6,0.6,1,0,1,0,10.0,31.0,32.3,25.0,3.0,80.0,57.2,11.0,100.0,70.8,20.0,0.0,0.0,3.0,19.9,211.0,322.0,65.5,4199.0,1767.0,100.0,126.0,79.4,69.0,97.0,71.1,35.0,88.0,39.8,0,0.5,8.0,17.0,4.0,1.0,21.0,2,0,0,11,11,3,5,11,20,0.0,1.0,0,94.0,29.0,25.0,53.7,2018
4,2017-09-09,15:00,Premier League,Matchweek 4,Sat,Home,L,1,2,Chelsea,1.6,1.5,42,30923,Wes Morgan,4-4-2,Lee Mason,Match Report,,Leicester City,1,7,1,14.3,0.0,0.0,20.3,0.0,1,1,1.6,0.8,0.11,-0.6,-0.8,8.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,18,10.0,9.0,3.0,8.0,21.0,38.1,13.0,198.0,67.0,33.8,53.0,84.0,61.0,20.0,6.0,0.0,14.0,25,,17.0,0.0,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,15.0,25.0,60.0,27.0,5.0,66.7,46.5,8.0,87.5,64.9,7.0,0.0,0.0,2.0,19.4,293.0,396.0,74.0,6479.0,2730.0,114.0,146.0,78.1,108.0,130.0,83.1,64.0,104.0,61.5,0,0.7,3.0,29.0,8.0,4.0,36.0,1,0,0,13,8,1,17,25,18,1.0,0.0,0,67.0,20.0,13.0,60.6,2018
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Away,D,1,1,Huddersfield,1.4,1.1,42,24129,Wes Morgan,4-4-1-1,Jonathan Moss,Match Report,,Leicester City,1,9,0,0.0,0.0,,18.9,1.0,1,1,1.4,0.7,0.08,-0.4,-0.7,17.0,9.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,5,4.0,4.0,0.0,5.0,16.0,31.3,11.0,175.0,43.0,24.6,76.0,73.0,26.0,21.0,6.0,0.0,15.0,11,,44.0,0.0,3,1,2,66.7,0,1.1,0.1,0,0,0,0,9.0,27.0,33.3,31.0,2.0,74.2,56.9,4.0,100.0,82.3,27.0,3.0,11.1,3.0,15.2,283.0,387.0,73.1,5667.0,2457.0,121.0,145.0,83.4,108.0,136.0,79.4,47.0,93.0,50.5,0,0.4,7.0,25.0,4.0,0.0,27.0,1,0,0,9,7,2,5,11,5,1.0,0.0,0,96.0,31.0,28.0,52.5,2018
6,2017-09-19,19:45,EFL Cup,Third round,Tue,Home,W,2,0,Liverpool,,,30,31609,Wes Morgan,4-4-2,Stuart Attwell,Match Report,,Leicester City,2,8,5,62.5,0.25,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,20,,,,3,0,3,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,0,9,10,0,10,20,13,0.0,0.0,0,,,,,2018
7,2017-09-23,17:30,Premier League,Matchweek 6,Sat,Home,L,2,3,Liverpool,3.0,1.9,46,32004,Wes Morgan,4-4-1-1,Anthony Taylor,Match Report,,Leicester City,2,10,5,50.0,0.2,0.4,15.6,0.0,0,1,3.0,2.3,0.23,-1.0,-0.3,12.0,7.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,12,9.0,6.0,1.0,4.0,14.0,28.6,10.0,161.0,45.0,28.0,44.0,82.0,35.0,21.0,9.0,0.0,12.0,14,,22.0,0.0,6,3,3,50.0,0,1.0,-2.0,0,0,0,0,12.0,29.0,41.4,22.0,2.0,95.5,63.0,8.0,100.0,77.6,5.0,0.0,0.0,1.0,14.6,274.0,429.0,63.9,5398.0,2011.0,119.0,156.0,76.3,101.0,157.0,64.3,45.0,103.0,43.7,1,0.3,5.0,22.0,4.0,2.0,20.0,3,0,0,16,15,4,18,14,12,1.0,0.0,0,118.0,34.0,44.0,43.6,2018
8,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Away,D,0,0,Bournemouth,0.4,1.7,40,10444,Wes Morgan,4-4-1-1,Graham Scott,Match Report,,Leicester City,0,8,1,12.5,0.0,0.0,21.1,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10,11.0,8.0,0.0,10.0,26.0,38.5,16.0,163.0,38.0,23.3,63.0,65.0,35.0,16.0,5.0,0.0,11.0,28,,29.0,0.0,4,0,4,100.0,1,0.7,0.7,0,0,0,0,11.0,36.0,30.6,31.0,4.0,80.6,63.2,12.0,91.7,66.6,10.0,2.0,20.0,0.0,9.2,236.0,386.0,61.1,5102.0,2266.0,94.0,126.0,74.6,89.0,122.0,73.0,48.0,120.0,40.0,0,0.1,3.0,24.0,2.0,1.0,31.0,0,0,0,11,7,3,7,28,10,0.0,0.0,0,119.0,27.0,23.0,54.0,2018
9,2017-10-16,20:00,Premier League,Matchweek 8,Mon,Home,D,1,1,West Brom,0.9,0.2,57,30203,Wes Morgan,4-4-1-1,Mike Dean,Match Report,,Leicester City,1,10,3,30.0,0.1,0.33,16.3,0.0,0,0,0.9,0.9,0.09,0.1,0.1,14.0,11.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,20,15.0,10.0,1.0,8.0,20.0,40.0,12.0,216.0,75.0,34.7,65.0,103.0,48.0,15.0,2.0,0.0,13.0,14,,36.0,0.0,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,8.0,12.0,66.7,20.0,3.0,50.0,38.6,2.0,100.0,61.5,7.0,1.0,14.3,3.0,24.4,407.0,537.0,75.8,8094.0,2510.0,163.0,189.0,86.2,176.0,217.0,81.1,62.0,113.0,54.9,1,0.6,6.0,30.0,6.0,3.0,34.0,2,0,0,14,7,2,19,14,20,0.0,0.0,0,95.0,31.0,30.0,50.8,2018
