,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Home,D,0,0,Swansea City,2.1,0.5,59,31447,Steven Davis,4-2-3-1,Mike Jones,Match Report,,Southampton,0,28,2,7.1,0.0,0.0,17.9,1.0,0,0,2.1,2.1,0.07,-2.1,-2.1,45.0,38.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13,6.0,8.0,1.0,3.0,8.0,37.5,5.0,109.0,42.0,38.5,19.0,57.0,33.0,10.0,2.0,0.0,8.0,9,,18.0,0.0,0,0,0,,1,0.0,0.0,0,0,0,0,2.0,9.0,22.2,11.0,1.0,54.5,41.6,4.0,75.0,65.5,4.0,0.0,0.0,1.0,19.0,471.0,573.0,82.2,8520.0,2727.0,219.0,237.0,92.4,191.0,216.0,88.4,53.0,93.0,57.0,0,1.8,22.0,41.0,21.0,8.0,52.0,2,0,0,11,13,0,22,9,13,0.0,0.0,0,91.0,24.0,20.0,54.5,2018
1,2017-08-19,15:00,Premier League,Matchweek 2,Sat,Home,W,3,2,West Ham,2.1,1.7,66,31424,Steven Davis,4-2-3-1,Lee Mason,Match Report,,Southampton,3,12,3,25.0,0.08,0.33,23.5,0.0,2,2,2.1,0.6,0.05,0.9,0.4,28.0,24.0,1.0,1.0,0.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,13.0,10,5.0,5.0,3.0,3.0,9.0,33.3,6.0,121.0,38.0,31.4,27.0,63.0,31.0,11.0,3.0,0.0,8.0,7,,15.0,0.0,8,2,5,75.0,0,1.9,-0.1,0,0,0,0,3.0,10.0,30.0,13.0,1.0,61.5,47.2,8.0,25.0,30.5,6.0,0.0,0.0,0.0,14.5,504.0,619.0,81.4,8987.0,2838.0,224.0,252.0,88.9,232.0,263.0,88.2,44.0,93.0,47.3,1,0.5,11.0,38.0,14.0,0.0,54.0,1,0,0,20,10,1,17,7,10,2.0,0.0,0,103.0,16.0,31.0,34.0,2018
2,2017-08-23,19:45,EFL Cup,Second round,Wed,Home,L,0,2,Wolves,,,58,17931,Maya Yoshida,4-2-3-1,James Linington,Match Report,,Southampton,0,12,3,25.0,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,10,,,,3,2,1,33.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0,0,14,9,2,33,10,8,0.0,0.0,0,,,,,2018
3,2017-08-26,15:00,Premier League,Matchweek 3,Sat,Away,D,0,0,Huddersfield,0.8,1.4,56,23548,Steven Davis,4-2-3-1,Stuart Attwell,Match Report,,Southampton,0,6,2,33.3,0.0,0.0,19.3,0.0,0,0,0.8,0.8,0.13,-0.8,-0.8,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14,9.0,7.0,1.0,4.0,14.0,28.6,10.0,155.0,54.0,34.8,66.0,59.0,30.0,24.0,7.0,0.0,17.0,7,,25.0,1.0,6,0,6,100.0,1,1.8,1.8,0,0,0,0,5.0,15.0,33.3,18.0,5.0,66.7,49.0,8.0,37.5,40.0,16.0,0.0,0.0,0.0,12.0,414.0,550.0,75.3,7941.0,2917.0,165.0,197.0,83.8,187.0,220.0,85.0,58.0,115.0,50.4,0,0.8,6.0,25.0,3.0,1.0,37.0,1,0,0,10,12,3,6,7,14,0.0,0.0,0,118.0,18.0,24.0,42.9,2018
4,2017-09-09,15:00,Premier League,Matchweek 4,Sat,Home,L,0,2,Watford,0.4,0.6,53,31435,Steven Davis,4-2-3-1,Lee Probert,Match Report,,Southampton,0,9,1,11.1,0.0,0.0,21.6,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,12.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12,12.0,12.0,1.0,12.0,30.0,40.0,18.0,204.0,63.0,30.9,67.0,101.0,36.0,20.0,5.0,0.0,15.0,12,,31.0,1.0,3,2,1,33.3,0,0.4,-1.6,0,0,0,0,6.0,20.0,30.0,21.0,3.0,52.4,46.9,11.0,81.8,60.8,6.0,0.0,0.0,0.0,12.0,338.0,477.0,70.9,6804.0,2326.0,145.0,168.0,86.3,131.0,173.0,75.7,57.0,118.0,48.3,0,0.4,7.0,36.0,9.0,1.0,37.0,0,0,0,10,11,2,12,12,12,0.0,0.0,0,112.0,22.0,28.0,44.0,2018
5,2017-09-16,12:30,Premier League,Matchweek 5,Sat,Away,W,1,0,Crystal Palace,0.9,2.1,53,24199,Steven Davis,4-2-3-1,Robert Madley,Match Report,,Southampton,1,13,5,38.5,0.08,0.2,20.7,0.0,0,0,0.9,0.9,0.07,0.1,0.1,22.0,18.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,17,8.0,11.0,1.0,3.0,12.0,25.0,9.0,164.0,56.0,34.1,76.0,69.0,19.0,9.0,2.0,0.0,7.0,14,,34.0,0.0,3,0,3,100.0,1,1.2,1.2,0,0,0,0,6.0,23.0,26.1,18.0,4.0,72.2,56.8,11.0,90.9,70.5,11.0,0.0,0.0,0.0,8.8,420.0,532.0,78.9,9055.0,2938.0,147.0,170.0,86.5,193.0,220.0,87.7,74.0,124.0,59.7,0,0.6,10.0,36.0,11.0,2.0,42.0,1,0,0,15,14,1,10,14,17,0.0,0.0,0,102.0,22.0,27.0,44.9,2018
6,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,1.3,1.3,61,31930,Steven Davis,4-2-3-1,Craig Pawson,Match Report,,Southampton,0,14,3,21.4,0.0,0.0,17.9,0.0,0,0,1.3,1.3,0.09,-1.3,-1.3,21.0,15.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12,11.0,9.0,2.0,2.0,6.0,33.3,4.0,144.0,52.0,36.1,42.0,70.0,32.0,12.0,2.0,0.0,10.0,7,,20.0,0.0,4,1,3,75.0,0,1.1,0.1,0,0,0,0,7.0,15.0,46.7,25.0,6.0,44.0,42.3,4.0,100.0,69.5,3.0,1.0,33.3,1.0,14.8,486.0,597.0,81.4,9510.0,3400.0,200.0,225.0,88.9,227.0,259.0,87.6,59.0,99.0,59.6,0,0.8,10.0,41.0,12.0,3.0,44.0,1,0,0,14,11,3,19,7,12,0.0,0.0,0,100.0,16.0,21.0,43.2,2018
7,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Away,L,1,2,Stoke City,1.9,2.5,69,29285,Steven Davis,4-2-3-1,Mike Jones,Match Report,,Southampton,1,20,3,15.0,0.05,0.33,15.5,0.0,0,0,1.9,1.9,0.09,-0.9,-0.9,31.0,26.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,10,11.0,2.0,2.0,7.0,13.0,53.8,6.0,111.0,43.0,38.7,45.0,39.0,27.0,20.0,9.0,0.0,11.0,11,,20.0,0.0,5,2,3,60.0,0,1.7,-0.3,1,0,1,0,2.0,10.0,20.0,16.0,5.0,50.0,45.9,2.0,100.0,71.5,4.0,0.0,0.0,1.0,11.0,568.0,675.0,84.1,10563.0,3098.0,250.0,270.0,92.6,232.0,257.0,90.3,80.0,132.0,60.6,1,1.7,17.0,36.0,16.0,3.0,43.0,2,0,0,10,12,3,15,11,10,0.0,1.0,0,98.0,28.0,34.0,45.2,2018
8,2017-10-15,16:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Newcastle Utd,1.7,1.0,62,31437,Maya Yoshida,4-4-2,Kevin Friend,Match Report,,Southampton,2,11,1,9.1,0.09,1.0,19.8,0.0,1,1,1.7,0.9,0.08,0.3,0.1,20.0,16.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,17.0,14,6.0,6.0,5.0,3.0,9.0,33.3,6.0,98.0,42.0,42.9,28.0,39.0,31.0,16.0,7.0,1.0,9.0,5,,37.0,0.0,5,2,3,60.0,0,0.9,-1.1,0,0,0,0,4.0,16.0,25.0,14.0,2.0,64.3,44.8,8.0,87.5,59.8,11.0,1.0,9.1,0.0,14.7,521.0,625.0,83.4,11044.0,3252.0,183.0,206.0,88.8,238.0,261.0,91.2,93.0,143.0,65.0,1,0.9,9.0,45.0,12.0,3.0,48.0,1,0,0,12,12,1,18,5,14,1.0,0.0,0,89.0,26.0,22.0,54.2,2018
9,2017-10-21,17:30,Premier League,Matchweek 9,Sat,Home,W,1,0,West Brom,1.9,0.4,65,29947,Steven Davis,4-2-3-1◆,Graham Scott,Match Report,,Southampton,1,20,6,30.0,0.05,0.17,18.4,1.0,0,0,1.9,1.9,0.1,-0.9,-0.9,31.0,23.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,13,6.0,10.0,4.0,2.0,7.0,28.6,5.0,154.0,56.0,36.4,59.0,59.0,36.0,12.0,1.0,0.0,11.0,19,,46.0,0.0,2,0,2,100.0,1,0.3,0.3,0,0,0,0,4.0,14.0,28.6,20.0,5.0,40.0,36.8,6.0,100.0,70.8,10.0,0.0,0.0,0.0,12.3,509.0,619.0,82.2,9926.0,2970.0,195.0,223.0,87.4,244.0,264.0,92.4,60.0,106.0,56.6,0,1.1,14.0,39.0,12.0,2.0,43.0,0,0,0,14,8,2,21,19,13,0.0,0.0,0,96.0,27.0,23.0,54.0,2018
10,2017-10-29,13:30,Premier League,Matchweek 10,Sun,Away,D,1,1,Brighton,0.5,0.9,48,30564,Steven Davis,4-1-4-1,Niel Swarbrick,Match Report,,Southampton,1,7,1,14.3,0.14,1.0,17.2,1.0,0,0,0.5,0.5,0.08,0.5,0.5,8.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,13,9.0,9.0,3.0,2.0,15.0,13.3,13.0,138.0,40.0,29.0,47.0,58.0,33.0,13.0,1.0,0.0,12.0,3,,36.0,0.0,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,8.0,21.0,38.1,25.0,5.0,56.0,49.5,7.0,100.0,67.6,11.0,3.0,27.3,0.0,16.0,377.0,479.0,78.7,7463.0,2279.0,157.0,173.0,90.8,163.0,186.0,87.6,55.0,109.0,50.5,0,0.2,3.0,27.0,6.0,4.0,25.0,1,0,0,12,10,1,15,3,13,0.0,0.0,0,79.0,17.0,22.0,43.6,2018
11,2017-11-04,15:00,Premier League,Matchweek 11,Sat,Home,L,0,1,Burnley,1.1,0.2,63,30491,Steven Davis,4-2-3-1,Lee Probert,Match Report,,Southampton,0,14,3,21.4,0.0,0.0,15.4,0.0,0,0,1.1,1.1,0.08,-1.1,-1.1,22.0,19.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9,5.0,7.0,3.0,3.0,9.0,33.3,6.0,117.0,41.0,35.0,32.0,55.0,30.0,15.0,2.0,0.0,13.0,6,,41.0,0.0,1,1,0,0.0,0,0.6,-0.4,0,0,0,0,6.0,19.0,31.6,17.0,3.0,76.5,52.6,7.0,85.7,64.6,5.0,1.0,20.0,1.0,13.7,500.0,618.0,80.9,9502.0,2759.0,210.0,231.0,90.9,221.0,262.0,84.4,63.0,111.0,56.8,0,1.0,10.0,42.0,8.0,2.0,39.0,0,0,0,3,4,2,17,6,9,0.0,0.0,0,96.0,24.0,33.0,42.1,2018
12,2017-11-18,15:00,Premier League,Matchweek 12,Sat,Away,L,0,3,Liverpool,0.5,2.0,39,53256,Steven Davis,4-2-3-1,Mike Jones,Match Report,,Southampton,0,5,0,0.0,0.0,,14.5,1.0,0,0,0.5,0.5,0.1,-0.5,-0.5,9.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15,13.0,10.0,1.0,9.0,16.0,56.3,7.0,129.0,35.0,27.1,48.0,54.0,27.0,17.0,7.0,0.0,10.0,16,,38.0,1.0,8,3,5,62.5,0,1.6,-1.4,0,0,0,0,8.0,27.0,29.6,18.0,1.0,77.8,57.1,13.0,100.0,72.3,9.0,0.0,0.0,0.0,10.2,280.0,387.0,72.4,5909.0,2195.0,108.0,126.0,85.7,115.0,143.0,80.4,53.0,104.0,51.0,0,0.5,4.0,26.0,3.0,0.0,25.0,1,0,0,13,14,2,6,16,15,0.0,0.0,0,79.0,13.0,11.0,54.2,2018
13,2017-11-26,13:30,Premier League,Matchweek 13,Sun,Home,W,4,1,Everton,1.9,0.2,66,30461,Steven Davis,4-2-3-1,Kevin Friend,Match Report,,Southampton,4,16,5,31.3,0.25,0.8,14.6,0.0,0,0,1.9,1.9,0.12,2.1,2.1,24.0,19.0,3.0,0.0,1.0,1.0,0.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,20.0,14,8.0,10.0,2.0,5.0,12.0,41.7,7.0,117.0,40.0,34.2,36.0,58.0,23.0,9.0,0.0,0.0,9.0,12,,25.0,0.0,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,3.0,11.0,27.3,18.0,3.0,38.9,40.8,4.0,100.0,64.0,4.0,0.0,0.0,1.0,13.6,598.0,716.0,83.5,11200.0,3182.0,259.0,284.0,91.2,253.0,274.0,92.3,75.0,126.0,59.5,4,1.6,12.0,45.0,13.0,5.0,46.0,0,0,0,6,16,0,18,12,14,0.0,0.0,0,101.0,25.0,26.0,49.0,2018
