,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,0.3,0.5,40,39045,Ryan Shawcross,3-4-3,Niel Swarbrick,Match Report,,Stoke City,0,9,1,11.1,0.0,0.0,22.2,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,12.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12,9.0,9.0,4.0,8.0,12.0,66.7,4.0,138.0,42.0,30.4,43.0,66.0,29.0,17.0,2.0,0.0,15.0,25,,26.0,1.0,4,1,3,75.0,0,0.3,-0.7,0,0,0,0,11.0,20.0,55.0,22.0,3.0,63.6,45.4,8.0,75.0,60.8,9.0,0.0,0.0,0.0,15.0,241.0,360.0,66.9,5019.0,2192.0,92.0,112.0,82.1,96.0,125.0,76.8,48.0,109.0,44.0,0,0.2,6.0,25.0,9.0,1.0,29.0,1,0,0,11,14,6,9,25,12,0.0,0.0,0,91.0,26.0,25.0,51.0,2018
1,2017-08-19,17:30,Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,1.0,1.6,24,29459,Ryan Shawcross,3-4-3,Andre Marriner,Match Report,,Stoke City,1,11,4,36.4,0.09,0.25,14.8,0.0,0,0,1.0,1.0,0.09,0.0,0.0,17.0,9.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,10,13.0,3.0,5.0,8.0,27.0,29.6,19.0,204.0,55.0,27.0,116.0,61.0,27.0,20.0,6.0,0.0,14.0,9,,37.0,0.0,7,0,7,100.0,1,1.2,1.2,0,0,0,0,13.0,37.0,35.1,30.0,3.0,83.3,60.3,12.0,100.0,70.7,11.0,1.0,9.1,1.0,12.5,161.0,243.0,66.3,3810.0,1963.0,56.0,69.0,81.2,68.0,92.0,73.9,34.0,77.0,44.2,1,0.8,7.0,12.0,5.0,2.0,17.0,0,0,0,9,11,4,8,9,10,0.0,0.0,0,70.0,21.0,14.0,60.0,2018
2,2017-08-23,20:00,EFL Cup,Second round,Wed,Home,W,4,0,Rochdale,,,46,9930,Joe Allen,3-4-3,Scott Duncan,Match Report,,Stoke City,4,21,7,33.3,0.19,0.57,,,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,17,,,,3,0,3,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0,0,0,7,5,2,16,17,12,0.0,0.0,0,,,,,2018
3,2017-08-27,13:30,Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,1.2,0.6,56,22704,Ryan Shawcross,3-4-3,Anthony Taylor,Match Report,,Stoke City,1,15,2,13.3,0.07,0.5,20.4,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,25.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7,9.0,6.0,5.0,8.0,16.0,50.0,8.0,137.0,30.0,21.9,51.0,65.0,21.0,15.0,2.0,0.0,13.0,2,,47.0,0.0,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,3.0,14.0,21.4,24.0,6.0,41.7,37.3,7.0,57.1,52.1,14.0,2.0,14.3,0.0,13.6,397.0,476.0,83.4,7824.0,2604.0,169.0,181.0,93.4,157.0,178.0,88.2,64.0,101.0,63.4,0,0.5,12.0,49.0,14.0,3.0,44.0,2,0,0,10,12,0,13,2,7,0.0,0.0,0,76.0,35.0,18.0,66.0,2018
4,2017-09-09,17:30,Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,1.1,2.4,37,29320,Darren Fletcher,3-4-3,Niel Swarbrick,Match Report,,Stoke City,2,10,5,50.0,0.2,0.4,16.7,0.0,0,0,1.1,1.1,0.11,0.9,0.9,16.0,12.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,20.0,12,12.0,6.0,2.0,3.0,15.0,20.0,12.0,145.0,32.0,22.1,68.0,58.0,19.0,18.0,4.0,0.0,14.0,10,,23.0,0.0,9,2,7,77.8,0,2.1,0.1,0,0,0,0,10.0,28.0,35.7,28.0,3.0,75.0,51.4,7.0,100.0,76.1,12.0,1.0,8.3,0.0,13.1,270.0,359.0,75.2,5485.0,2189.0,117.0,133.0,88.0,113.0,131.0,86.3,38.0,85.0,44.7,2,1.1,9.0,22.0,3.0,2.0,18.0,0,0,0,11,10,1,8,10,12,0.0,0.0,0,74.0,25.0,18.0,58.1,2018
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,0.7,2.0,61,51795,Darren Fletcher,3-4-3,Stuart Attwell,Match Report,,Stoke City,1,13,4,30.8,0.08,0.25,19.9,1.0,0,0,0.7,0.7,0.06,0.3,0.3,22.0,18.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10,8.0,5.0,3.0,6.0,17.0,35.3,11.0,126.0,46.0,36.5,45.0,50.0,31.0,15.0,5.0,0.0,10.0,10,,17.0,0.0,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,7.0,24.0,29.2,32.0,6.0,59.4,47.5,8.0,62.5,51.4,9.0,0.0,0.0,1.0,13.3,350.0,477.0,73.4,7506.0,2826.0,117.0,146.0,80.1,156.0,187.0,83.4,65.0,116.0,56.0,1,0.5,10.0,41.0,6.0,2.0,44.0,1,0,0,12,13,1,10,10,10,0.0,0.0,0,98.0,32.0,30.0,51.6,2018
6,2017-09-19,19:45,EFL Cup,Third round,Tue,Away,L,0,2,Bristol City,,,47,13826,Darren Fletcher,3-4-3,Geoff Eltringham,Match Report,,Stoke City,0,14,5,35.7,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,12,,,,7,2,5,71.4,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3,0,0,18,9,3,21,12,16,0.0,0.0,0,,,,,2018
7,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,0.6,1.4,44,29661,Darren Fletcher,3-4-3,Mike Dean,Match Report,,Stoke City,0,13,2,15.4,0.0,0.0,17.5,1.0,0,0,0.6,0.6,0.04,-0.6,-0.6,16.0,9.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15,16.0,4.0,3.0,5.0,20.0,25.0,15.0,151.0,57.0,37.7,50.0,58.0,43.0,7.0,0.0,0.0,7.0,18,,14.0,1.0,4,4,0,0.0,0,2.9,-1.1,0,0,0,0,8.0,25.0,32.0,38.0,7.0,57.9,47.2,3.0,100.0,60.3,2.0,1.0,50.0,0.0,13.1,352.0,456.0,77.2,7098.0,2903.0,135.0,151.0,89.4,159.0,183.0,86.9,52.0,100.0,52.0,0,0.3,6.0,42.0,7.0,0.0,36.0,2,0,0,7,13,0,13,18,15,0.0,0.0,0,98.0,10.0,17.0,37.0,2018
8,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,2.5,1.9,31,29285,Darren Fletcher,3-4-3,Mike Jones,Match Report,,Stoke City,2,16,5,31.3,0.13,0.4,16.5,0.0,0,1,2.5,1.8,0.13,-0.5,0.2,24.0,14.0,2.0,1.0,6.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,8,8.0,4.0,3.0,5.0,19.0,26.3,14.0,179.0,43.0,24.0,63.0,79.0,37.0,13.0,6.0,0.0,7.0,13,,34.0,0.0,3,1,2,66.7,0,1.2,0.2,0,0,0,0,9.0,28.0,32.1,17.0,1.0,76.5,55.1,15.0,100.0,75.2,11.0,1.0,9.1,1.0,16.3,197.0,297.0,66.3,4369.0,2164.0,77.0,94.0,81.9,84.0,108.0,77.8,35.0,82.0,42.7,2,0.8,9.0,14.0,5.0,0.0,29.0,1,0,0,12,10,1,7,13,8,1.0,0.0,0,87.0,34.0,28.0,54.8,2018
9,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,0.7,3.9,21,54128,Darren Fletcher,4-4-1-1,Craig Pawson,Match Report,,Stoke City,1,5,1,20.0,0.2,1.0,20.3,0.0,0,0,0.7,0.7,0.13,0.3,0.3,9.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,8,12.0,2.0,1.0,2.0,6.0,33.3,4.0,118.0,22.0,18.6,62.0,43.0,13.0,14.0,0.0,0.0,14.0,21,,18.0,0.0,12,7,5,41.7,0,5.0,-2.0,0,0,0,0,7.0,32.0,21.9,23.0,5.0,69.6,53.4,16.0,100.0,73.9,4.0,0.0,0.0,0.0,8.1,164.0,236.0,69.5,3426.0,1513.0,61.0,70.0,87.1,75.0,91.0,82.4,23.0,68.0,33.8,1,0.4,3.0,11.0,1.0,1.0,12.0,1,0,0,10,7,1,2,21,8,0.0,0.0,0,52.0,12.0,21.0,36.4,2018
