,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Away,D,0,0,Southampton,0.5,2.1,41,31447,Leon Britton,4-4-2◆,Mike Jones,Match Report,,Swansea City,0,4,0,0.0,0.0,,14.8,0.0,0,0,0.5,0.5,0.12,-0.5,-0.5,7.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5,4.0,2.0,4.0,1.0,10.0,10.0,9.0,145.0,35.0,24.1,70.0,52.0,23.0,29.0,11.0,0.0,18.0,14,,35.0,0.0,2,0,2,100.0,1,0.3,0.3,0,0,0,0,14.0,29.0,48.3,22.0,3.0,54.5,41.7,22.0,77.3,59.9,18.0,2.0,11.1,0.0,5.5,310.0,398.0,77.9,6621.0,2209.0,112.0,125.0,89.6,137.0,164.0,83.5,57.0,98.0,58.2,0,0.4,3.0,16.0,3.0,1.0,17.0,1,0,0,14,11,1,5,14,5,0.0,0.0,0,55.0,20.0,24.0,45.5,2018
1,2017-08-19,12:30,Premier League,Matchweek 2,Sat,Home,L,0,4,Manchester Utd,0.3,3.3,42,20862,Federico Fernández,3-5-2,Jonathan Moss,Match Report,,Swansea City,0,6,1,16.7,0.0,0.0,19.2,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11,14.0,6.0,4.0,6.0,18.0,33.3,12.0,221.0,61.0,27.6,82.0,99.0,40.0,8.0,3.0,0.0,5.0,8,,40.0,2.0,8,4,3,50.0,0,3.3,-0.7,0,0,0,0,9.0,20.0,45.0,20.0,6.0,60.0,46.9,8.0,100.0,71.8,10.0,0.0,0.0,0.0,12.8,345.0,453.0,76.2,6544.0,2477.0,157.0,179.0,87.7,134.0,164.0,81.7,50.0,92.0,54.3,0,0.2,2.0,18.0,6.0,4.0,29.0,1,0,0,14,11,1,14,8,11,0.0,0.0,0,94.0,20.0,13.0,60.6,2018
2,2017-08-22,19:45,EFL Cup,Second round,Tue,Away,W,4,1,MK Dons,,,67,5162,Àngel Rangel,4-2-3-1,Robert Jones,Match Report,,Swansea City,4,20,6,30.0,0.2,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,11,,,,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0,0,0,13,10,2,31,11,6,0.0,0.0,0,,,,,2018
3,2017-08-26,15:00,Premier League,Matchweek 3,Sat,Away,W,2,0,Crystal Palace,1.1,0.9,48,23477,Federico Fernández,3-5-2,Andre Marriner,Match Report,,Swansea City,2,7,3,42.9,0.29,0.67,12.7,0.0,0,0,1.1,1.1,0.16,0.9,0.9,10.0,6.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,20.0,15,12.0,7.0,1.0,1.0,11.0,9.1,10.0,129.0,40.0,31.0,60.0,43.0,26.0,11.0,1.0,0.0,10.0,3,,28.0,0.0,3,0,3,100.0,1,0.5,0.5,0,0,0,0,12.0,27.0,44.4,20.0,3.0,55.0,51.2,18.0,88.9,66.9,15.0,1.0,6.7,1.0,13.5,393.0,497.0,79.1,8703.0,2871.0,154.0,169.0,91.1,145.0,169.0,85.8,89.0,146.0,61.0,2,0.4,4.0,20.0,3.0,1.0,20.0,1,0,0,8,10,3,3,3,15,0.0,0.0,0,82.0,29.0,32.0,47.5,2018
4,2017-09-10,16:00,Premier League,Matchweek 4,Sun,Home,L,0,1,Newcastle Utd,1.1,0.9,62,20872,Federico Fernández,4-4-2◆,Mike Jones,Match Report,,Swansea City,0,10,3,30.0,0.0,0.0,16.4,2.0,0,0,1.1,1.1,0.11,-1.1,-1.1,15.0,7.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9,8.0,3.0,1.0,3.0,10.0,30.0,7.0,131.0,61.0,46.6,48.0,56.0,27.0,15.0,3.0,0.0,12.0,11,,42.0,0.0,8,1,7,87.5,0,1.6,0.6,0,0,0,0,4.0,11.0,36.4,29.0,7.0,24.1,34.7,5.0,80.0,65.0,7.0,0.0,0.0,1.0,18.1,453.0,569.0,79.6,9466.0,3063.0,166.0,192.0,86.5,202.0,235.0,86.0,81.0,125.0,64.8,0,1.0,6.0,28.0,10.0,4.0,39.0,2,0,0,13,15,1,20,11,9,0.0,0.0,0,107.0,27.0,24.0,52.9,2018
5,2017-09-16,17:30,Premier League,Matchweek 5,Sat,Away,D,0,0,Tottenham,0.2,1.5,25,65366,Federico Fernández,3-5-2,Mike Dean,Match Report,,Swansea City,0,4,0,0.0,0.0,,19.5,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,5.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12,11.0,7.0,1.0,6.0,13.0,46.2,7.0,170.0,40.0,23.5,90.0,59.0,21.0,22.0,4.0,0.0,18.0,14,,41.0,0.0,7,0,7,100.0,1,1.1,1.1,0,0,0,0,14.0,38.0,36.8,23.0,4.0,73.9,58.9,21.0,100.0,71.2,16.0,1.0,6.3,0.0,6.6,179.0,275.0,65.1,4326.0,1975.0,64.0,78.0,82.1,62.0,83.0,74.7,46.0,98.0,46.9,0,0.1,2.0,12.0,1.0,1.0,15.0,3,0,0,9,9,0,6,14,12,0.0,0.0,0,69.0,25.0,22.0,53.2,2018
6,2017-09-19,20:00,EFL Cup,Third round,Tue,Away,W,2,0,Reading,,,42,8729,Àngel Rangel,4-3-3,Andrew Davies,Match Report,,Swansea City,2,12,4,33.3,0.17,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,13,,,,4,0,4,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0,0,8,9,0,18,13,12,0.0,0.0,0,,,,,2018
7,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Home,L,1,2,Watford,1.2,1.7,50,20372,Federico Fernández,3-5-2,Lee Mason,Match Report,,Swansea City,1,10,4,40.0,0.1,0.25,11.9,1.0,0,0,1.2,1.2,0.13,-0.2,-0.2,14.0,5.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,10,8.0,8.0,4.0,13.0,28.0,46.4,15.0,146.0,47.0,32.2,45.0,70.0,31.0,11.0,3.0,0.0,8.0,9,,25.0,1.0,4,2,2,50.0,0,2.2,0.2,0,0,0,0,6.0,15.0,40.0,17.0,3.0,64.7,48.6,4.0,100.0,66.8,6.0,0.0,0.0,0.0,14.7,363.0,485.0,74.8,7418.0,2523.0,142.0,165.0,86.1,150.0,180.0,83.3,63.0,122.0,51.6,0,0.5,7.0,25.0,8.0,1.0,27.0,1,0,0,9,18,0,20,9,10,0.0,0.0,0,104.0,26.0,30.0,46.4,2018
8,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Away,L,0,1,West Ham,0.2,0.9,56,56922,Federico Fernández,4-4-2◆,Roger East,Match Report,,Swansea City,0,6,1,16.7,0.0,0.0,25.4,1.0,0,0,0.2,0.2,0.04,-0.2,-0.2,9.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,8.0,6.0,0.0,6.0,15.0,40.0,9.0,140.0,43.0,30.7,48.0,63.0,29.0,4.0,3.0,0.0,1.0,26,,20.0,0.0,4,1,3,75.0,0,1.4,0.4,0,0,0,0,5.0,15.0,33.3,17.0,5.0,58.8,45.7,5.0,100.0,68.0,15.0,2.0,13.3,0.0,10.0,436.0,554.0,78.7,7808.0,2509.0,204.0,224.0,91.1,171.0,206.0,83.0,52.0,100.0,52.0,0,0.1,4.0,25.0,1.0,0.0,35.0,2,0,0,13,14,0,13,26,9,0.0,0.0,0,107.0,16.0,31.0,34.0,2018
9,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Home,W,2,0,Huddersfield,1.5,0.4,41,20657,Leon Britton,4-3-3,Paul Tierney,Match Report,,Swansea City,2,7,3,42.9,0.29,0.67,15.0,1.0,0,0,1.5,1.5,0.25,0.5,0.5,8.0,5.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,12,3.0,11.0,5.0,8.0,17.0,47.1,9.0,179.0,40.0,22.3,43.0,81.0,55.0,12.0,4.0,0.0,8.0,27,,20.0,0.0,2,0,2,100.0,1,0.0,0.0,0,0,0,0,6.0,16.0,37.5,16.0,3.0,56.3,48.6,7.0,100.0,69.9,9.0,1.0,11.1,0.0,9.5,301.0,392.0,76.8,6342.0,2305.0,127.0,141.0,90.1,113.0,135.0,83.7,58.0,103.0,56.3,2,0.6,3.0,39.0,5.0,1.0,34.0,1,0,0,13,21,1,10,27,12,0.0,0.0,0,54.0,22.0,22.0,50.0,2018
10,2017-10-21,15:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Leicester City,0.9,1.7,57,20521,Leon Britton,4-3-3,Michael Oliver,Match Report,,Swansea City,1,18,4,22.2,0.06,0.25,20.7,1.0,0,0,0.9,0.9,0.05,0.1,0.1,28.0,22.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,8,7.0,8.0,2.0,7.0,25.0,28.0,18.0,203.0,62.0,30.5,52.0,103.0,48.0,13.0,4.0,0.0,9.0,15,,33.0,0.0,6,2,5,66.7,0,1.9,0.9,0,0,0,0,4.0,10.0,40.0,18.0,6.0,27.8,35.1,5.0,100.0,66.0,6.0,0.0,0.0,1.0,11.8,423.0,524.0,80.7,8200.0,2770.0,186.0,213.0,87.3,169.0,196.0,86.2,60.0,97.0,61.9,1,0.7,13.0,43.0,8.0,4.0,43.0,0,0,0,10,13,0,17,15,8,0.0,0.0,1,83.0,24.0,22.0,52.2,2018
11,2017-10-24,19:45,EFL Cup,Fourth round,Tue,Home,L,0,2,Manchester Utd,,,43,20083,Àngel Rangel,4-2-3-1,Robert Madley,Match Report,,Swansea City,0,10,3,30.0,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,7,,,,5,2,3,60.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3,0,0,17,10,4,16,7,9,0.0,0.0,0,,,,,2018
12,2017-10-28,15:00,Premier League,Matchweek 10,Sat,Away,L,1,2,Arsenal,0.6,1.6,28,59493,Federico Fernández,3-5-2,Lee Mason,Match Report,,Swansea City,1,4,2,50.0,0.25,0.5,15.6,0.0,0,0,0.6,0.6,0.16,0.4,0.4,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,8,12.0,2.0,1.0,3.0,7.0,42.9,4.0,164.0,42.0,25.6,83.0,59.0,22.0,13.0,4.0,0.0,9.0,19,,40.0,0.0,5,2,3,60.0,0,1.7,-0.3,0,0,0,0,13.0,34.0,38.2,24.0,3.0,70.8,53.7,17.0,100.0,70.5,8.0,0.0,0.0,1.0,14.3,243.0,328.0,74.1,5099.0,1910.0,92.0,107.0,86.0,101.0,110.0,91.8,42.0,100.0,42.0,1,0.2,2.0,14.0,3.0,0.0,9.0,0,0,0,9,12,1,2,19,8,0.0,0.0,0,52.0,17.0,21.0,44.7,2018
