,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2017-08-13,16:00,Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,0.6,2.1,45,74928,Mark Noble,4-2-3-1,Martin Atkinson,Match Report,,West Ham United,0,9,1,11.1,0.0,0.0,16.4,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,12.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12,13.0,8.0,2.0,12.0,39.0,30.8,27.0,158.0,45.0,28.5,62.0,84.0,12.0,16.0,9.0,0.0,7.0,14,,28.0,0.0,5,4,1,20.0,0,2.4,-1.6,0,0,0,0,6.0,20.0,30.0,22.0,5.0,31.8,37.1,13.0,100.0,71.2,9.0,2.0,22.2,0.0,17.0,322.0,419.0,76.8,6664.0,2169.0,119.0,140.0,85.0,143.0,169.0,84.6,58.0,105.0,55.2,0,0.5,6.0,18.0,7.0,0.0,33.0,2,0,0,10,18,4,11,14,12,0.0,0.0,0,79.0,19.0,30.0,38.8,2018
1,2017-08-19,15:00,Premier League,Matchweek 2,Sat,Away,L,2,3,Southampton,1.7,2.1,34,31424,Mark Noble,4-2-3-1,Lee Mason,Match Report,,West Ham United,2,15,8,53.3,0.13,0.25,12.5,0.0,0,0,1.7,1.7,0.11,0.3,0.3,21.0,11.0,5.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,13,8.0,7.0,0.0,3.0,13.0,23.1,10.0,138.0,37.0,26.8,70.0,53.0,15.0,10.0,2.0,0.0,8.0,8,,31.0,0.0,3,3,2,66.7,0,2.5,-0.5,2,2,0,0,12.0,36.0,33.3,24.0,0.0,100.0,63.0,12.0,100.0,68.4,13.0,4.0,30.8,0.0,13.2,219.0,326.0,67.2,5274.0,2291.0,68.0,87.0,78.2,91.0,119.0,76.5,57.0,109.0,52.3,0,0.7,11.0,15.0,6.0,5.0,14.0,1,1,0,9,20,0,6,8,13,0.0,2.0,0,88.0,31.0,16.0,66.0,2018
2,2017-08-23,19:45,EFL Cup,Second round,Wed,Away,W,2,0,Cheltenham,,,66,6259,Mark Noble,4-3-3,Oliver Langford,Match Report,,West Ham United,2,12,4,33.3,0.17,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,6,,,,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,0,0,5,14,2,27,6,16,0.0,0.0,0,,,,,2018
3,2017-08-26,15:00,Premier League,Matchweek 3,Sat,Away,L,0,3,Newcastle Utd,0.5,3.3,62,52093,Mark Noble,4-2-3-1,Niel Swarbrick,Match Report,,West Ham United,0,8,3,37.5,0.0,0.0,22.9,1.0,0,0,0.5,0.5,0.07,-0.5,-0.5,13.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10,11.0,3.0,2.0,4.0,18.0,22.2,14.0,118.0,38.0,32.2,52.0,46.0,20.0,16.0,5.0,0.0,11.0,5,,17.0,0.0,8,3,5,62.5,0,3.1,0.1,0,0,0,0,13.0,34.0,38.2,34.0,6.0,67.6,47.6,11.0,100.0,68.7,13.0,3.0,23.1,0.0,11.3,399.0,536.0,74.4,8700.0,2739.0,138.0,160.0,86.3,182.0,214.0,85.0,75.0,139.0,54.0,0,0.1,5.0,24.0,3.0,2.0,25.0,3,0,0,12,17,2,10,5,10,0.0,0.0,0,100.0,30.0,30.0,50.0,2018
4,2017-09-11,20:00,Premier League,Matchweek 4,Mon,Home,W,2,0,Huddersfield,1.7,0.3,45,56977,Winston Reid,3-4-3,Kevin Friend,Match Report,,West Ham United,2,19,4,21.1,0.11,0.5,18.4,2.0,0,0,1.7,1.7,0.1,0.3,0.3,25.0,16.0,4.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,10,8.0,6.0,2.0,4.0,13.0,30.8,9.0,169.0,60.0,35.5,54.0,76.0,39.0,24.0,6.0,0.0,18.0,22,,20.0,0.0,2,0,2,100.0,1,0.2,0.2,0,0,0,0,8.0,17.0,47.1,20.0,3.0,65.0,53.2,4.0,100.0,80.3,9.0,0.0,0.0,0.0,14.0,256.0,377.0,67.9,5791.0,2522.0,90.0,115.0,78.3,101.0,124.0,81.5,62.0,119.0,52.1,1,0.7,10.0,28.0,6.0,3.0,32.0,1,0,0,12,14,0,17,22,10,0.0,0.0,0,88.0,39.0,24.0,61.9,2018
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Away,D,0,0,West Brom,0.3,0.6,64,24942,Winston Reid,3-4-3,Paul Tierney,Match Report,,West Ham United,0,10,1,10.0,0.0,0.0,20.9,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,15.0,10.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6,5.0,5.0,2.0,4.0,15.0,26.7,11.0,121.0,33.0,27.3,35.0,49.0,37.0,8.0,3.0,0.0,5.0,10,,16.0,0.0,1,0,1,100.0,1,0.5,0.5,0,0,0,0,14.0,26.0,53.8,29.0,4.0,75.9,54.1,7.0,57.1,56.4,6.0,0.0,0.0,1.0,22.3,448.0,543.0,82.5,10222.0,3168.0,130.0,147.0,88.4,221.0,245.0,90.2,93.0,139.0,66.9,0,0.3,8.0,36.0,6.0,3.0,35.0,2,0,0,8,14,2,18,10,6,0.0,0.0,0,84.0,31.0,12.0,72.1,2018
6,2017-09-19,19:45,EFL Cup,Third round,Tue,Home,W,3,0,Bolton,,,67,35806,Mark Noble,4-4-2,Simon Hooper,Match Report,,West Ham United,3,18,4,22.2,0.17,0.75,,,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,7,,,,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,0,0,10,11,2,17,7,12,0.0,0.0,0,,,,,2018
7,2017-09-23,12:30,Premier League,Matchweek 6,Sat,Home,L,2,3,Tottenham,0.9,1.5,50,56988,Mark Noble,3-4-3,Michael Oliver,Match Report,,West Ham United,2,10,4,40.0,0.2,0.5,18.2,0.0,0,0,0.9,0.9,0.09,1.1,1.1,16.0,11.0,4.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,23.0,14,10.0,11.0,2.0,5.0,12.0,41.7,7.0,172.0,67.0,39.0,57.0,77.0,38.0,20.0,4.0,0.0,16.0,15,,24.0,0.0,5,3,1,40.0,0,2.0,-1.0,0,0,0,0,12.0,33.0,36.4,32.0,2.0,87.5,59.6,6.0,83.3,62.2,8.0,0.0,0.0,1.0,14.0,293.0,428.0,68.5,6385.0,2461.0,121.0,139.0,87.1,93.0,131.0,71.0,69.0,132.0,52.3,2,0.8,7.0,23.0,5.0,3.0,22.0,4,0,0,10,23,6,19,15,14,0.0,0.0,0,112.0,20.0,26.0,43.5,2018
8,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Home,W,1,0,Swansea City,0.9,0.2,44,56922,Mark Noble,4-4-2,Roger East,Match Report,,West Ham United,1,9,4,44.4,0.11,0.25,14.0,0.0,0,0,0.9,0.9,0.1,0.1,0.1,17.0,13.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,14,11.0,10.0,2.0,9.0,17.0,52.9,8.0,82.0,22.0,26.8,33.0,40.0,9.0,15.0,2.0,0.0,13.0,26,,34.0,0.0,1,0,1,100.0,1,0.0,0.0,0,0,0,0,10.0,18.0,55.6,22.0,2.0,59.1,47.4,5.0,100.0,71.6,12.0,0.0,0.0,1.0,16.3,328.0,428.0,76.6,6776.0,2780.0,133.0,148.0,89.9,122.0,153.0,79.7,62.0,102.0,60.8,1,0.9,9.0,22.0,9.0,6.0,27.0,3,0,0,14,13,1,18,26,14,0.0,0.0,0,67.0,31.0,16.0,66.0,2018
9,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Away,D,1,1,Burnley,1.1,1.3,38,20945,Winston Reid,4-4-2,Stuart Attwell,Match Report,,West Ham United,1,7,6,85.7,0.14,0.17,20.7,0.0,0,0,1.1,1.1,0.16,-0.1,-0.1,11.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,7,5.0,4.0,0.0,5.0,17.0,29.4,12.0,122.0,38.0,31.1,54.0,46.0,22.0,20.0,7.0,0.0,13.0,15,,49.0,0.0,5,1,4,80.0,0,1.2,0.2,0,0,0,0,14.0,44.0,31.8,31.0,2.0,87.1,63.7,17.0,100.0,76.9,14.0,1.0,7.1,0.0,9.3,201.0,295.0,68.1,4345.0,1970.0,90.0,108.0,83.3,76.0,94.0,80.9,32.0,84.0,38.1,1,1.1,5.0,13.0,6.0,1.0,16.0,3,1,1,13,10,1,4,15,7,0.0,0.0,0,68.0,26.0,29.0,47.3,2018
