,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2018-08-11,15:00,Premier League,Matchweek 1,Sat,Away,L,0,2,Bournemouth,1.2,2.1,37,10353,Sean Morrison,4-1-4-1,Kevin Friend,Match Report,,Cardiff City,0,10,1,10.0,0.0,0.0,12.9,1.0,0,0,1.2,1.2,0.12,-1.2,-1.2,16.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,13,15.0,6.0,5.0,4.0,14.0,28.6,10.0,131.0,46.0,35.1,65.0,45.0,21.0,25.0,4.0,0.0,21.0,18,,24.0,0.0,3,2,1,33.3,0,2.5,0.5,1,0,1,0,10.0,33.0,30.3,23.0,0.0,95.7,64.9,11.0,100.0,76.3,5.0,0.0,0.0,2.0,18.6,189.0,325.0,58.2,4384.0,1966.0,62.0,90.0,68.9,81.0,116.0,69.8,42.0,102.0,41.2,0,0.6,7.0,22.0,6.0,2.0,27.0,1,0,0,13,12,2,10,18,13,0,1,0,111.0,31.0,28.0,52.5,2019
1,2018-08-18,12:30,Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,0.9,1.5,54,30720,Sean Morrison,4-3-3,Craig Pawson,Match Report,,Cardiff City,0,13,0,0.0,0.0,,15.3,1.0,0,0,0.9,0.9,0.07,-0.9,-0.9,22.0,13.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15,9.0,10.0,2.0,3.0,11.0,27.3,8.0,154.0,65.0,42.2,45.0,76.0,33.0,15.0,5.0,0.0,10.0,18,,25.0,0.0,5,0,5,100.0,1,0.8,0.8,1,0,1,0,9.0,30.0,30.0,29.0,3.0,93.1,60.3,3.0,100.0,75.0,3.0,0.0,0.0,1.0,16.0,227.0,377.0,60.2,4600.0,1870.0,102.0,132.0,77.3,72.0,120.0,60.0,49.0,107.0,45.8,0,0.8,10.0,23.0,6.0,4.0,31.0,2,0,0,15,22,2,12,18,15,0,1,0,124.0,34.0,42.0,44.7,2019
2,2018-08-25,15:00,Premier League,Matchweek 3,Sat,Away,D,0,0,Huddersfield,1.0,0.3,42,21193,Sean Morrison,4-1-4-1,Michael Oliver,Match Report,,Cardiff City,0,14,4,28.6,0.0,0.0,17.0,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0,21.0,13.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18,15.0,6.0,3.0,2.0,8.0,25.0,6.0,164.0,55.0,33.5,60.0,70.0,34.0,14.0,2.0,0.0,12.0,12,,45.0,1.0,1,0,1,100.0,1,0.5,0.5,0,0,0,0,10.0,23.0,43.5,25.0,5.0,76.0,54.9,4.0,100.0,72.5,12.0,0.0,0.0,2.0,20.8,220.0,329.0,66.9,5077.0,2311.0,70.0,90.0,77.8,94.0,119.0,79.0,55.0,107.0,51.4,0,0.9,11.0,33.0,6.0,1.0,30.0,1,0,0,12,12,1,8,12,18,0,0,0,91.0,40.0,30.0,57.1,2019
3,2018-08-28,19:45,EFL Cup,Second round,Tue,Home,L,1,3,Norwich City,,,51,6953,Bruno Ecuele Manga,3-5-2,Andy Madley,Match Report,,Cardiff City,1,10,5,50.0,0.1,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,8,3,5,62.5,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,0,0,11,12,2,8,0,0,0,0,0,,,,,2019
4,2018-09-02,13:30,Premier League,Matchweek 4,Sun,Home,L,2,3,Arsenal,1.4,1.5,28,32316,Sean Morrison,4-4-2,Anthony Taylor,Match Report,,Cardiff City,2,14,3,21.4,0.14,0.67,15.1,0.0,0,0,1.4,1.4,0.1,0.6,0.6,17.0,10.0,3.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,10,11.0,4.0,4.0,6.0,12.0,50.0,6.0,172.0,54.0,31.4,68.0,68.0,36.0,11.0,2.0,0.0,9.0,33,,30.0,1.0,11,3,8,72.7,0,3.2,0.2,0,0,0,0,5.0,16.0,31.3,12.0,0.0,91.7,62.7,5.0,100.0,71.2,5.0,0.0,0.0,0.0,8.4,163.0,260.0,62.7,3328.0,1636.0,73.0,94.0,77.7,56.0,76.0,73.7,30.0,79.0,38.0,2,0.7,6.0,16.0,4.0,2.0,24.0,3,0,0,17,17,3,14,33,10,0,0,0,84.0,28.0,19.0,59.6,2019
5,2018-09-15,15:00,Premier League,Matchweek 5,Sat,Away,L,1,4,Chelsea,0.6,2.5,24,40499,Sean Morrison,4-4-1-1,Jonathan Moss,Match Report,,Cardiff City,1,6,2,33.3,0.17,0.5,10.3,0.0,0,0,0.6,0.6,0.11,0.4,0.4,8.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,11,9.0,6.0,1.0,5.0,12.0,41.7,7.0,182.0,47.0,25.8,68.0,75.0,39.0,11.0,5.0,0.0,6.0,36,,13.0,0.0,6,4,3,50.0,0,4.1,0.1,1,1,0,0,13.0,34.0,38.2,20.0,0.0,100.0,67.9,14.0,100.0,74.6,7.0,0.0,0.0,0.0,10.8,150.0,256.0,58.6,3983.0,1973.0,50.0,67.0,74.6,47.0,70.0,67.1,48.0,103.0,46.6,1,0.6,5.0,23.0,5.0,1.0,13.0,0,0,0,13,9,0,5,36,11,0,1,0,72.0,30.0,13.0,69.8,2019
6,2018-09-22,15:00,Premier League,Matchweek 6,Sat,Home,L,0,5,Manchester City,0.1,2.5,22,32321,Sean Morrison,4-4-1-1,Michael Oliver,Match Report,,Cardiff City,0,2,2,100.0,0.0,0.0,17.8,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7,9.0,2.0,1.0,3.0,16.0,18.8,13.0,277.0,43.0,15.5,110.0,140.0,27.0,11.0,6.0,0.0,5.0,19,,30.0,0.0,10,5,5,50.0,0,4.2,-0.8,0,0,0,0,10.0,27.0,37.0,24.0,1.0,91.7,62.6,5.0,100.0,65.6,9.0,0.0,0.0,1.0,12.1,158.0,239.0,66.1,3471.0,1598.0,66.0,81.0,81.5,64.0,88.0,72.7,27.0,66.0,40.9,0,0.1,1.0,15.0,3.0,1.0,14.0,1,0,0,10,6,2,4,19,7,0,0,0,67.0,12.0,11.0,52.2,2019
7,2018-09-30,16:00,Premier League,Matchweek 7,Sun,Home,L,1,2,Burnley,1.6,0.5,53,30411,Sean Morrison,4-4-1-1,Martin Atkinson,Match Report,,Cardiff City,1,20,4,20.0,0.05,0.25,16.1,1.0,0,0,1.6,1.6,0.08,-0.6,-0.6,26.0,19.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,4,4.0,2.0,4.0,4.0,7.0,57.1,3.0,110.0,52.0,47.3,33.0,43.0,34.0,11.0,1.0,0.0,10.0,13,,25.0,0.0,2,2,0,0.0,0,1.3,-0.7,0,0,0,0,13.0,27.0,48.1,23.0,2.0,100.0,67.5,4.0,100.0,76.0,4.0,0.0,0.0,1.0,13.1,223.0,377.0,59.2,5163.0,2558.0,85.0,113.0,75.2,80.0,133.0,60.2,58.0,118.0,49.2,1,0.9,13.0,36.0,11.0,3.0,41.0,1,0,0,11,15,3,23,13,4,0,0,0,142.0,62.0,34.0,64.6,2019
8,2018-10-06,15:00,Premier League,Matchweek 8,Sat,Away,L,0,1,Tottenham,1.0,2.2,25,43268,Sean Morrison,4-1-4-1,Mike Dean,Match Report,,Cardiff City,0,8,5,62.5,0.0,0.0,18.6,0.0,0,0,1.0,1.0,0.14,-1.0,-1.0,11.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,6.0,5.0,2.0,3.0,23.0,13.0,20.0,181.0,45.0,24.9,71.0,62.0,48.0,24.0,7.0,1.0,17.0,27,,19.0,1.0,6,1,5,83.3,0,1.2,0.2,0,0,0,0,8.0,28.0,28.6,25.0,0.0,88.0,63.0,6.0,100.0,77.5,14.0,1.0,7.1,1.0,17.5,156.0,257.0,60.7,3488.0,1616.0,63.0,85.0,74.1,52.0,75.0,69.3,36.0,82.0,43.9,0,0.4,5.0,21.0,3.0,0.0,16.0,1,1,0,12,8,3,5,27,7,0,0,0,93.0,22.0,15.0,59.5,2019
9,2018-10-20,15:00,Premier League,Matchweek 9,Sat,Home,W,4,2,Fulham,2.0,0.8,41,29681,Sean Morrison,4-4-1-1,Kevin Friend,Match Report,,Cardiff City,4,24,5,20.8,0.17,0.8,18.2,0.0,0,0,2.0,2.0,0.09,2.0,2.0,32.0,22.0,3.0,0.0,5.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0,13,1.0,13.0,1.0,4.0,11.0,36.4,7.0,99.0,41.0,41.4,21.0,43.0,35.0,12.0,3.0,0.0,9.0,17,,17.0,0.0,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,7.0,24.0,29.2,22.0,0.0,90.9,62.6,4.0,100.0,66.8,4.0,1.0,25.0,1.0,12.8,222.0,349.0,63.6,4695.0,2123.0,99.0,120.0,82.5,75.0,116.0,64.7,42.0,97.0,43.3,3,1.6,17.0,21.0,11.0,6.0,23.0,3,0,0,15,15,0,19,17,13,0,0,0,128.0,27.0,30.0,47.4,2019
