,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2018-08-11,15:00,Premier League,Matchweek 1,Sat,Away,W,2,0,Fulham,1.0,0.6,34,24821,Luka Milivojević,4-4-2,Mike Dean,Match Report,,Crystal Palace,2,12,10,83.3,0.17,0.2,16.6,0.0,0,0,1.0,1.0,0.09,1.0,1.0,19.0,13.0,3.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,22.0,15,10.0,11.0,1.0,5.0,13.0,38.5,8.0,111.0,29.0,26.1,41.0,50.0,20.0,10.0,4.0,0.0,6.0,26,,31.0,0.0,6,0,6,100.0,1,0.8,0.8,0,0,0,0,7.0,20.0,35.0,22.0,4.0,63.6,51.3,8.0,75.0,65.8,18.0,0.0,0.0,1.0,10.6,287.0,384.0,74.7,5616.0,2572.0,122.0,148.0,82.4,112.0,131.0,85.5,47.0,87.0,54.0,2,1.0,10.0,19.0,5.0,2.0,21.0,2,0,0,12,14,3,12,26,15,0,0,0,81.0,20.0,12.0,62.5,2019
1,2018-08-20,20:00,Premier League,Matchweek 2,Mon,Home,L,0,2,Liverpool,0.3,2.8,37,25750,Luka Milivojević,4-4-2,Michael Oliver,Match Report,,Crystal Palace,0,8,2,25.0,0.0,0.0,20.7,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,13.0,8.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16,16.0,3.0,1.0,8.0,25.0,32.0,17.0,136.0,41.0,30.1,68.0,41.0,27.0,20.0,6.0,0.0,14.0,8,,28.0,0.0,5,2,4,80.0,0,1.5,-0.5,1,1,0,0,6.0,21.0,28.6,22.0,5.0,59.1,53.6,9.0,88.9,75.1,8.0,0.0,0.0,0.0,11.0,307.0,392.0,78.3,6253.0,2564.0,134.0,151.0,88.7,109.0,129.0,84.5,57.0,93.0,61.3,0,0.3,6.0,21.0,6.0,2.0,21.0,1,1,0,8,14,4,9,8,16,0,1,0,68.0,18.0,16.0,52.9,2019
2,2018-08-26,13:30,Premier League,Matchweek 3,Sun,Away,L,1,2,Watford,1.2,0.9,56,20014,Luka Milivojević,4-4-2,Anthony Taylor,Match Report,,Crystal Palace,1,9,3,33.3,0.11,0.33,12.6,0.0,0,0,1.2,1.2,0.14,-0.2,-0.2,17.0,13.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,14,14.0,6.0,1.0,10.0,28.0,35.7,18.0,148.0,51.0,34.5,55.0,71.0,22.0,19.0,4.0,0.0,15.0,22,,34.0,0.0,5,2,3,60.0,0,0.8,-1.2,0,0,0,0,11.0,25.0,44.0,18.0,5.0,66.7,46.7,13.0,100.0,74.8,8.0,0.0,0.0,0.0,11.0,349.0,461.0,75.7,6867.0,2825.0,157.0,188.0,83.5,123.0,155.0,79.4,61.0,103.0,59.2,1,1.2,9.0,30.0,10.0,2.0,37.0,2,0,0,14,13,3,7,22,14,0,0,0,81.0,25.0,29.0,46.3,2019
3,2018-08-28,19:30,EFL Cup,Second round,Tue,Away,W,1,0,Swansea City,,,50,9122,Jason Puncheon,4-4-1-1,John Brooks,Match Report,,Crystal Palace,1,20,6,30.0,0.05,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,3,0,3,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,8,16,2,27,0,0,0,0,0,,,,,2019
4,2018-09-01,15:00,Premier League,Matchweek 4,Sat,Home,L,0,2,Southampton,1.9,2.5,50,25495,Luka Milivojević,4-4-2,Martin Atkinson,Match Report,,Crystal Palace,0,20,6,30.0,0.0,0.0,16.2,0.0,0,0,1.9,1.9,0.1,-1.9,-1.9,31.0,24.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,10.0,1.0,5.0,6.0,19.0,31.6,13.0,138.0,40.0,29.0,58.0,44.0,36.0,24.0,7.0,0.0,17.0,18,,25.0,1.0,6,2,4,66.7,0,2.0,0.0,1,0,1,0,10.0,16.0,62.5,20.0,6.0,50.0,45.4,12.0,50.0,53.1,10.0,0.0,0.0,1.0,20.0,365.0,475.0,76.8,7484.0,3178.0,142.0,162.0,87.7,161.0,189.0,85.2,57.0,106.0,53.8,0,1.6,16.0,30.0,14.0,5.0,41.0,1,0,0,11,13,0,19,18,9,0,1,0,109.0,33.0,24.0,57.9,2019
5,2018-09-15,15:00,Premier League,Matchweek 5,Sat,Away,W,1,0,Huddersfield,1.0,0.8,42,23696,Luka Milivojević,4-3-3,Lee Mason,Match Report,,Crystal Palace,1,8,2,25.0,0.13,0.5,14.5,0.0,0,0,1.0,1.0,0.12,0.0,0.0,14.0,11.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,7,12.0,4.0,1.0,1.0,10.0,10.0,9.0,131.0,35.0,26.7,59.0,57.0,15.0,11.0,4.0,0.0,7.0,12,,38.0,0.0,1,0,1,100.0,1,0.2,0.2,0,0,0,0,6.0,23.0,26.1,20.0,3.0,75.0,54.8,8.0,100.0,74.5,22.0,0.0,0.0,0.0,12.0,300.0,384.0,78.1,6196.0,2425.0,118.0,137.0,86.1,128.0,149.0,85.9,52.0,90.0,57.8,1,0.7,6.0,25.0,2.0,0.0,24.0,2,0,0,18,11,2,6,12,7,0,0,0,69.0,15.0,24.0,38.5,2019
6,2018-09-22,15:00,Premier League,Matchweek 6,Sat,Home,D,0,0,Newcastle Utd,1.4,0.5,61,25679,Luka Milivojević,4-3-3,Andre Marriner,Match Report,,Crystal Palace,0,16,4,25.0,0.0,0.0,17.5,3.0,0,0,1.4,1.4,0.09,-1.4,-1.4,16.0,12.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,18,16.0,9.0,6.0,10.0,15.0,66.7,5.0,184.0,75.0,40.8,58.0,71.0,55.0,12.0,0.0,0.0,12.0,14,,22.0,0.0,3,0,3,100.0,1,0.3,0.3,0,0,0,0,5.0,15.0,33.3,29.0,5.0,41.4,42.6,4.0,75.0,71.8,4.0,0.0,0.0,1.0,16.0,410.0,529.0,77.5,7616.0,2704.0,178.0,199.0,89.4,178.0,209.0,85.2,46.0,90.0,51.1,0,1.0,7.0,18.0,9.0,4.0,30.0,1,0,0,10,14,2,12,14,18,0,0,0,109.0,21.0,29.0,42.0,2019
7,2018-09-25,20:00,EFL Cup,Third round,Tue,Away,W,3,0,West Brom,,,55,10818,Jason Puncheon,4-4-2,Peter Bankes,Match Report,,Crystal Palace,3,19,12,63.2,0.16,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,5,0,5,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,0,6,9,1,14,0,0,0,0,0,,,,,2019
8,2018-10-01,20:00,Premier League,Matchweek 7,Mon,Away,L,1,2,Bournemouth,0.5,2.0,55,10199,Luka Milivojević,4-3-3,Mike Dean,Match Report,,Crystal Palace,1,11,2,18.2,0.09,0.5,20.1,1.0,0,0,0.5,0.5,0.05,0.5,0.5,19.0,12.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,11,10.0,9.0,1.0,8.0,24.0,33.3,16.0,160.0,51.0,31.9,57.0,67.0,36.0,13.0,4.0,0.0,9.0,24,,11.0,0.0,4,2,3,75.0,0,2.7,0.7,1,1,0,0,7.0,16.0,43.8,19.0,5.0,52.6,41.9,7.0,85.7,67.4,7.0,0.0,0.0,0.0,17.4,467.0,567.0,82.4,8839.0,2876.0,190.0,210.0,90.5,206.0,235.0,87.7,61.0,104.0,58.7,1,0.4,9.0,35.0,14.0,2.0,38.0,4,0,0,12,11,2,15,24,11,0,1,0,82.0,11.0,17.0,39.3,2019
9,2018-10-06,15:00,Premier League,Matchweek 8,Sat,Home,L,0,1,Wolves,1.1,1.1,66,25715,Luka Milivojević,4-4-2,Michael Oliver,Match Report,,Crystal Palace,0,11,4,36.4,0.0,0.0,19.2,1.0,0,0,1.1,1.1,0.11,-1.1,-1.1,16.0,10.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13,8.0,10.0,5.0,6.0,10.0,60.0,4.0,130.0,45.0,34.6,34.0,66.0,30.0,17.0,2.0,0.0,15.0,7,,12.0,0.0,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,6.0,22.0,27.3,28.0,1.0,57.1,47.4,8.0,75.0,64.8,4.0,0.0,0.0,2.0,21.5,567.0,689.0,82.3,10630.0,3447.0,226.0,264.0,85.6,273.0,302.0,90.4,63.0,105.0,60.0,0,0.5,5.0,39.0,6.0,1.0,46.0,3,0,0,11,19,1,14,7,13,0,0,0,109.0,20.0,17.0,54.1,2019
