,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2018-08-11,15:00,Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,0.6,1.0,66,24821,Tom Cairney,4-3-3,Mike Dean,Match Report,,Fulham,0,15,6,40.0,0.0,0.0,19.0,1.0,0,0,0.6,0.6,0.04,-0.6,-0.6,23.0,17.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17,9.0,16.0,3.0,10.0,22.0,45.5,12.0,66.0,18.0,27.3,14.0,36.0,16.0,9.0,3.0,0.0,6.0,21,,25.0,0.0,10,2,7,80.0,0,2.2,0.2,0,0,0,0,3.0,6.0,50.0,22.0,9.0,22.7,33.1,5.0,20.0,25.2,5.0,0.0,0.0,2.0,18.1,628.0,730.0,86.0,11502.0,3433.0,258.0,278.0,92.8,265.0,294.0,90.1,82.0,126.0,65.1,0,0.4,10.0,49.0,11.0,6.0,43.0,1,0,0,14,12,2,22,21,17,0,0,0,88.0,12.0,20.0,37.5,2019
1,2018-08-18,15:00,Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,1.2,3.1,41,58297,Tom Cairney,4-3-3,Anthony Taylor,Match Report,,Fulham,1,10,3,30.0,0.1,0.33,17.4,0.0,0,0,1.2,1.2,0.12,-0.2,-0.2,19.0,17.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,7,11.0,4.0,1.0,5.0,13.0,38.5,8.0,144.0,33.0,22.9,65.0,58.0,21.0,10.0,5.0,0.0,5.0,13,,27.0,1.0,12,3,9,75.0,0,5.0,2.0,0,0,0,0,13.0,23.0,56.5,25.0,5.0,60.0,43.4,9.0,88.9,50.6,13.0,0.0,0.0,0.0,11.7,377.0,466.0,80.9,7030.0,2519.0,189.0,211.0,89.6,128.0,150.0,85.3,52.0,90.0,57.8,1,1.2,9.0,18.0,6.0,2.0,24.0,0,0,0,9,9,3,8,13,7,0,0,0,82.0,12.0,15.0,44.4,2019
2,2018-08-26,16:00,Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,2.1,1.4,62,23438,Tom Cairney,4-3-3,David Coote,Match Report,,Fulham,4,26,12,46.2,0.15,0.33,20.3,0.0,0,0,2.1,2.1,0.08,1.9,1.9,42.0,40.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,10.0,8,5.0,3.0,2.0,6.0,10.0,60.0,4.0,88.0,37.0,42.0,28.0,42.0,18.0,13.0,6.0,0.0,7.0,14,,32.0,1.0,2,2,0,0.0,0,1.8,-0.2,0,0,0,0,11.0,21.0,52.4,31.0,4.0,38.7,38.5,9.0,100.0,60.1,13.0,2.0,15.4,2.0,16.3,511.0,602.0,84.9,9623.0,3556.0,222.0,237.0,93.7,212.0,232.0,91.4,65.0,113.0,57.5,3,1.9,22.0,32.0,10.0,2.0,37.0,2,0,0,13,9,1,11,14,8,0,0,0,86.0,18.0,16.0,52.9,2019
3,2018-08-28,19:45,EFL Cup,Second round,Tue,Home,W,2,0,Exeter City,,,57,9333,Stefan Johansen,4-3-3,Kevin Friend,Match Report,,Fulham,2,21,8,38.1,0.1,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,9,10,0,19,0,0,0,0,0,,,,,2019
4,2018-09-01,15:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,1.1,2.9,58,30526,Kevin McDonald,4-3-3,Lee Probert,Match Report,,Fulham,2,10,5,50.0,0.2,0.4,17.6,1.0,0,0,1.1,1.1,0.12,0.9,0.9,17.0,12.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,11,9.0,7.0,0.0,10.0,22.0,45.5,12.0,164.0,51.0,31.1,67.0,60.0,37.0,12.0,2.0,0.0,10.0,14,,24.0,0.0,3,2,2,66.7,0,2.3,0.3,2,1,1,0,9.0,20.0,45.0,22.0,5.0,54.5,44.1,9.0,88.9,62.9,12.0,2.0,16.7,0.0,12.3,491.0,594.0,82.7,9150.0,2758.0,230.0,260.0,88.5,198.0,226.0,87.6,57.0,93.0,61.3,1,0.5,6.0,31.0,5.0,0.0,25.0,3,0,0,15,14,4,5,14,11,0,2,0,91.0,20.0,14.0,58.8,2019
5,2018-09-15,15:00,Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,0.3,4.1,36,53307,Kevin McDonald,4-3-3,Stuart Attwell,Match Report,,Fulham,0,9,3,33.3,0.0,0.0,22.0,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,8.0,5.0,1.0,2.0,19.0,10.5,17.0,157.0,38.0,24.2,63.0,65.0,29.0,24.0,10.0,0.0,14.0,20,,23.0,0.0,9,3,5,66.7,0,3.7,0.7,0,0,0,0,12.0,25.0,48.0,27.0,3.0,55.6,44.9,11.0,90.9,57.9,8.0,0.0,0.0,0.0,10.8,335.0,427.0,78.5,6590.0,2265.0,156.0,174.0,89.7,123.0,145.0,84.8,52.0,97.0,53.6,0,0.2,6.0,22.0,7.0,0.0,28.0,0,0,0,12,6,2,7,20,9,0,0,0,65.0,7.0,11.0,38.9,2019
6,2018-09-22,12:30,Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,1.5,1.5,59,23418,Kevin McDonald,4-3-3,Martin Atkinson,Match Report,,Fulham,1,15,3,20.0,0.07,0.33,15.0,0.0,0,0,1.5,1.5,0.1,-0.5,-0.5,25.0,17.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,10,7.0,3.0,2.0,3.0,9.0,33.3,6.0,143.0,51.0,35.7,66.0,63.0,14.0,10.0,2.0,0.0,8.0,18,,45.0,1.0,6,1,5,83.3,0,2.3,1.3,0,0,0,0,8.0,22.0,36.4,27.0,7.0,55.6,41.2,9.0,77.8,51.4,13.0,1.0,7.7,1.0,17.1,417.0,559.0,74.6,8034.0,2958.0,175.0,207.0,84.5,172.0,205.0,83.9,61.0,120.0,50.8,1,1.2,12.0,27.0,6.0,1.0,45.0,2,0,0,12,9,5,13,18,10,0,0,0,124.0,28.0,18.0,60.9,2019
7,2018-09-25,19:45,EFL Cup,Third round,Tue,Away,W,3,1,Millwall,,,60,5839,Kevin McDonald,3-4-3,Darren Bond,Match Report,,Fulham,3,16,6,37.5,0.19,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0,0,0,10,9,2,16,0,0,0,0,0,,,,,2019
8,2018-09-29,15:00,Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,0.7,2.4,49,38788,Marcus Bettinelli,4-4-1-1,Roger East,Match Report,,Fulham,0,6,0,0.0,0.0,,21.1,0.0,0,0,0.7,0.7,0.12,-0.7,-0.7,12.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12,12.0,9.0,2.0,6.0,22.0,27.3,16.0,253.0,71.0,28.1,99.0,109.0,45.0,13.0,6.0,0.0,7.0,26,,28.0,1.0,6,3,3,50.0,0,1.7,-1.3,1,0,0,1,6.0,15.0,40.0,19.0,2.0,57.9,46.8,6.0,66.7,55.2,11.0,0.0,0.0,0.0,13.5,347.0,430.0,80.7,6991.0,2467.0,127.0,150.0,84.7,164.0,180.0,91.1,51.0,85.0,60.0,0,0.7,6.0,28.0,7.0,1.0,31.0,3,0,0,15,15,0,6,26,12,0,1,0,73.0,18.0,17.0,51.4,2019
9,2018-10-07,12:00,Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,0.9,1.5,48,25401,Marcus Bettinelli,3-4-3,Paul Tierney,Match Report,,Fulham,1,21,4,19.0,0.05,0.25,21.9,0.0,0,0,0.9,0.9,0.04,0.1,0.1,33.0,22.0,3.0,0.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,13,8.0,9.0,0.0,5.0,22.0,22.7,17.0,203.0,54.0,26.6,60.0,101.0,42.0,10.0,2.0,0.0,8.0,51,,5.0,0.0,7,5,2,28.6,0,3.8,-1.2,0,0,0,0,15.0,22.0,68.2,25.0,7.0,52.0,40.1,10.0,90.0,68.1,4.0,1.0,25.0,1.0,14.4,402.0,506.0,79.4,8063.0,3025.0,166.0,180.0,92.2,180.0,209.0,86.1,54.0,98.0,55.1,1,0.8,14.0,30.0,8.0,2.0,35.0,2,0,0,13,13,4,8,51,13,0,0,0,97.0,17.0,15.0,53.1,2019
10,2018-10-20,15:00,Premier League,Matchweek 9,Sat,Away,L,2,4,Cardiff City,0.8,2.0,59,29681,Kevin McDonald,4-3-3,Kevin Friend,Match Report,,Fulham,2,9,4,44.4,0.22,0.5,21.3,2.0,0,0,0.8,0.8,0.09,1.2,1.2,18.0,11.0,3.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,12,14.0,3.0,1.0,6.0,16.0,37.5,10.0,150.0,47.0,31.3,64.0,66.0,20.0,13.0,6.0,0.0,7.0,17,,44.0,2.0,5,4,1,20.0,0,2.4,-1.6,0,0,0,0,8.0,22.0,36.4,26.0,5.0,53.8,41.9,13.0,61.5,48.4,14.0,0.0,0.0,1.0,13.1,388.0,498.0,77.9,7350.0,2852.0,162.0,196.0,82.7,162.0,183.0,88.5,52.0,99.0,52.5,2,0.6,7.0,27.0,6.0,0.0,29.0,3,0,0,16,14,0,6,17,12,0,0,0,82.0,30.0,27.0,52.6,2019
11,2018-10-27,15:00,Premier League,Matchweek 10,Sat,Home,L,0,3,Bournemouth,0.5,2.0,51,25071,Kevin McDonald,4-2-3-1,Andre Marriner,Match Report,,Fulham,0,11,1,9.1,0.0,0.0,16.5,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,20.0,15.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,13.0,6.0,0.0,4.0,11.0,36.4,7.0,120.0,40.0,33.3,44.0,49.0,27.0,11.0,3.0,0.0,8.0,21,,23.0,0.0,4,3,2,50.0,0,2.0,-1.0,1,1,0,0,7.0,21.0,33.3,18.0,5.0,61.1,43.7,11.0,90.9,58.0,13.0,0.0,0.0,2.0,15.5,478.0,587.0,81.4,9079.0,2635.0,189.0,211.0,89.6,231.0,261.0,88.5,54.0,105.0,51.4,0,0.5,10.0,39.0,3.0,1.0,26.0,3,1,1,15,3,1,10,21,14,0,1,0,81.0,22.0,14.0,61.1,2019
12,2018-11-01,19:45,EFL Cup,Fourth round,Thu,Away,L,0,2,Manchester City,,,35,35271,Tom Cairney,4-3-3,Martin Atkinson,Match Report,,Fulham,0,5,2,40.0,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,9,,,,7,2,5,71.4,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8,7,2,6,9,10,0,0,0,,,,,2019
13,2018-11-05,20:00,Premier League,Matchweek 11,Mon,Away,L,0,1,Huddersfield,0.4,0.6,55,17082,Tom Cairney,4-3-3,Anthony Taylor,Match Report,,Fulham,0,8,1,12.5,0.0,0.0,14.4,1.0,0,0,0.4,0.4,0.05,-0.4,-0.4,14.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11,11.0,11.0,3.0,5.0,9.0,55.6,4.0,126.0,32.0,25.4,41.0,67.0,18.0,16.0,4.0,0.0,12.0,18,,18.0,0.0,2,1,2,50.0,0,0.9,0.9,0,0,0,0,11.0,28.0,39.3,31.0,5.0,64.5,46.2,11.0,72.7,56.1,15.0,0.0,0.0,2.0,13.3,388.0,529.0,73.3,7168.0,2917.0,173.0,206.0,84.0,155.0,197.0,78.7,49.0,99.0,49.5,0,0.4,7.0,18.0,1.0,0.0,15.0,2,0,0,11,11,6,5,18,11,0,0,1,104.0,26.0,36.0,41.9,2019
14,2018-11-11,12:00,Premier League,Matchweek 12,Sun,Away,L,0,2,Liverpool,0.5,2.1,29,53128,Tom Cairney,4-2-3-1,Paul Tierney,Match Report,,Fulham,0,8,3,37.5,0.0,0.0,26.7,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,13.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11,13.0,6.0,0.0,3.0,13.0,23.1,10.0,154.0,33.0,21.4,69.0,61.0,24.0,14.0,7.0,0.0,7.0,33,,27.0,0.0,7,2,5,71.4,0,2.0,0.0,0,0,0,0,7.0,15.0,46.7,10.0,4.0,60.0,52.4,12.0,75.0,52.0,12.0,0.0,0.0,0.0,9.5,210.0,312.0,67.3,3991.0,1881.0,101.0,121.0,83.5,77.0,108.0,71.3,29.0,75.0,38.7,0,0.5,7.0,14.0,3.0,0.0,15.0,1,0,0,13,12,5,4,33,11,0,0,0,64.0,11.0,15.0,42.3,2019
15,2018-11-24,15:00,Premier League,Matchweek 13,Sat,Home,W,3,2,Southampton,1.3,2.0,38,24603,Tom Cairney,4-2-3-1,Michael Oliver,Match Report,,Fulham,3,10,5,50.0,0.3,0.6,14.8,0.0,0,0,1.3,1.3,0.13,1.7,1.7,18.0,14.0,2.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,19.0,9,10.0,8.0,1.0,3.0,8.0,37.5,5.0,134.0,28.0,20.9,58.0,50.0,26.0,18.0,5.0,0.0,13.0,13,,39.0,0.0,8,2,6,75.0,0,1.6,-0.4,0,0,0,0,10.0,25.0,40.0,19.0,0.0,78.9,52.9,10.0,100.0,72.7,11.0,0.0,0.0,0.0,9.9,293.0,411.0,71.3,6188.0,2443.0,112.0,142.0,78.9,132.0,164.0,80.5,47.0,95.0,49.5,3,1.3,10.0,25.0,10.0,3.0,31.0,2,0,0,12,6,4,7,13,9,0,0,0,106.0,23.0,13.0,63.9,2019
16,2018-12-02,12:00,Premier League,Matchweek 14,Sun,Away,L,0,2,Chelsea,0.3,1.8,35,40551,Tom Cairney,4-4-2◆,Craig Pawson,Match Report,,Fulham,0,10,4,40.0,0.0,0.0,23.8,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,16.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15,7.0,13.0,3.0,9.0,18.0,50.0,9.0,170.0,48.0,28.2,50.0,82.0,38.0,14.0,7.0,0.0,7.0,16,,18.0,0.0,9,2,7,77.8,0,2.3,0.3,0,0,0,0,5.0,24.0,20.8,28.0,5.0,71.4,47.6,5.0,80.0,54.8,6.0,1.0,16.7,0.0,9.0,285.0,400.0,71.3,5699.0,2023.0,119.0,141.0,84.4,104.0,132.0,78.8,52.0,107.0,48.6,0,0.3,9.0,23.0,4.0,2.0,25.0,1,0,0,18,9,1,9,16,15,0,0,0,92.0,12.0,20.0,37.5,2019
17,2018-12-05,19:45,Premier League,Matchweek 15,Wed,Home,D,1,1,Leicester City,1.7,1.5,46,22881,Aleksandar Mitrović,4-2-3-1,David Coote,Match Report,,Fulham,1,25,6,24.0,0.04,0.17,16.9,2.0,0,0,1.7,1.7,0.07,-0.7,-0.7,41.0,25.0,9.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3,4.0,0.0,0.0,1.0,5.0,20.0,4.0,67.0,24.0,35.8,17.0,34.0,16.0,25.0,1.0,0.0,24.0,14,,13.0,0.0,5,1,4,80.0,0,1.5,0.5,0,0,0,0,12.0,23.0,52.2,19.0,1.0,73.7,55.9,9.0,100.0,74.1,7.0,0.0,0.0,1.0,12.8,247.0,380.0,65.0,5283.0,2881.0,102.0,136.0,75.0,85.0,128.0,66.4,54.0,101.0,53.5,1,1.5,21.0,28.0,6.0,1.0,36.0,0,0,0,12,8,2,9,14,3,0,0,0,124.0,30.0,21.0,58.8,2019
18,2018-12-08,15:00,Premier League,Matchweek 16,Sat,Away,L,1,4,Manchester Utd,1.1,2.5,38,74523,Tom Cairney,4-2-3-1,Lee Probert,Match Report,,Fulham,1,9,3,33.3,0.0,0.0,19.6,0.0,1,1,1.1,0.4,0.04,-0.1,-0.4,15.0,12.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,9,6.0,10.0,2.0,7.0,19.0,36.8,12.0,143.0,39.0,27.3,47.0,66.0,30.0,17.0,4.0,0.0,13.0,10,,32.0,0.0,11,4,7,63.6,0,3.0,-1.0,0,0,0,0,11.0,27.0,40.7,19.0,1.0,89.5,54.2,10.0,100.0,66.8,9.0,1.0,11.1,0.0,8.3,302.0,408.0,74.0,5130.0,2084.0,158.0,178.0,88.8,93.0,120.0,77.5,35.0,79.0,44.3,0,0.3,7.0,20.0,5.0,0.0,25.0,2,1,1,16,13,3,5,10,9,1,0,0,85.0,13.0,25.0,34.2,2019
19,2018-12-15,17:30,Premier League,Matchweek 17,Sat,Home,L,0,2,West Ham,1.1,0.5,56,24081,Tom Cairney,4-4-2,Mike Dean,Match Report,,Fulham,0,16,4,25.0,0.0,0.0,20.2,0.0,0,0,1.1,1.1,0.07,-1.1,-1.1,22.0,16.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13,10.0,6.0,1.0,8.0,17.0,47.1,9.0,136.0,46.0,33.8,37.0,61.0,38.0,10.0,1.0,0.0,9.0,13,,22.0,0.0,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,11.0,20.0,55.0,16.0,1.0,81.3,52.9,8.0,87.5,56.6,9.0,0.0,0.0,3.0,19.7,418.0,543.0,77.0,7651.0,3058.0,209.0,238.0,87.8,142.0,174.0,81.6,60.0,109.0,55.0,0,0.9,11.0,40.0,5.0,3.0,46.0,2,0,0,15,11,6,17,13,13,0,0,0,115.0,25.0,24.0,51.0,2019
