,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2018-08-05,15:00,Community Shield,FA Community Shield,Sun,Neutral,W,2,0,Chelsea,,,53,72724,Fernandinho,4-3-3,Jonathan Moss,Match Report,,Manchester City,2,18,9,50.0,0.11,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,9,,,,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,0,0,10,6,3,10,9,12,0,0,0,,,,,2019
1,2018-08-12,16:00,Premier League,Matchweek 1,Sun,Away,W,2,0,Arsenal,1.8,0.6,57,59934,Fernandinho,4-2-3-1,Michael Oliver,Match Report,,Manchester City,2,17,7,41.2,0.12,0.29,17.8,1.0,0,0,1.8,1.8,0.11,0.2,0.2,25.0,16.0,1.0,4.0,3.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,4,2.0,4.0,1.0,2.0,9.0,22.2,7.0,107.0,30.0,28.0,23.0,48.0,36.0,12.0,2.0,0.0,10.0,20,,13.0,0.0,3,0,3,100.0,1,0.1,0.1,0,0,0,0,6.0,16.0,37.5,37.0,9.0,29.7,32.5,8.0,62.5,47.5,8.0,3.0,37.5,1.0,13.5,480.0,584.0,82.2,9274.0,2884.0,194.0,210.0,92.4,204.0,228.0,89.5,72.0,120.0,60.0,2,0.8,10.0,23.0,10.0,0.0,28.0,2,0,0,16,15,2,9,20,4,0,0,0,93.0,11.0,8.0,57.9,2019
2,2018-08-19,13:30,Premier League,Matchweek 2,Sun,Home,W,6,1,Huddersfield,3.4,0.6,77,54021,Vincent Kompany,3-5-2,Andre Marriner,Match Report,,Manchester City,5,32,14,43.8,0.16,0.36,18.0,1.0,0,0,3.4,3.4,0.11,1.6,1.6,49.0,36.0,1.0,7.0,3.0,2.0,0.0,7.0,3.0,1.0,1.0,0.0,2.0,0.0,7.0,5,3.0,3.0,1.0,0.0,4.0,0.0,4.0,84.0,32.0,38.1,23.0,34.0,27.0,20.0,4.0,0.0,16.0,8,,28.0,0.0,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,5.0,9.0,55.6,21.0,6.0,28.6,35.1,6.0,50.0,45.7,3.0,0.0,0.0,1.0,16.6,732.0,801.0,91.4,13741.0,3609.0,307.0,320.0,95.9,305.0,327.0,93.3,103.0,126.0,81.7,2,2.2,21.0,77.0,21.0,2.0,63.0,0,0,0,9,8,1,20,8,5,0,0,0,92.0,16.0,13.0,55.2,2019
3,2018-08-25,12:30,Premier League,Matchweek 3,Sat,Away,D,1,1,Wolves,1.5,1.1,71,31322,Vincent Kompany,4-3-3,Martin Atkinson,Match Report,,Manchester City,1,18,6,33.3,0.06,0.17,18.0,1.0,0,0,1.5,1.5,0.08,-0.5,-0.5,26.0,19.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,9,4.0,6.0,1.0,10.0,18.0,55.6,8.0,130.0,42.0,32.3,48.0,48.0,34.0,9.0,3.0,0.0,6.0,13,,21.0,0.0,2,1,1,50.0,0,1.1,0.1,0,0,0,0,3.0,3.0,100.0,15.0,1.0,0.0,21.5,6.0,50.0,43.7,8.0,1.0,12.5,0.0,16.5,599.0,683.0,87.7,11691.0,3399.0,223.0,243.0,91.8,289.0,319.0,90.6,81.0,112.0,72.3,1,1.0,12.0,47.0,20.0,2.0,63.0,2,0,0,9,14,3,15,13,9,0,0,0,85.0,12.0,13.0,48.0,2019
4,2018-09-01,17:30,Premier League,Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,2.6,0.7,78,53946,David Silva,4-4-2◆,Kevin Friend,Match Report,,Manchester City,2,24,8,33.3,0.08,0.25,17.4,3.0,0,0,2.6,2.6,0.12,-0.6,-0.6,40.0,26.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,9,5.0,5.0,2.0,4.0,12.0,33.3,8.0,119.0,45.0,37.8,28.0,56.0,35.0,7.0,0.0,0.0,7.0,10,,14.0,0.0,2,1,1,50.0,0,1.2,0.2,0,0,0,0,3.0,5.0,60.0,20.0,6.0,20.0,29.0,3.0,33.3,34.3,5.0,1.0,20.0,1.0,14.8,728.0,812.0,89.7,13663.0,3842.0,287.0,310.0,92.6,348.0,376.0,92.6,87.0,110.0,79.1,2,1.8,15.0,65.0,12.0,3.0,68.0,0,0,0,5,17,3,19,10,9,0,0,0,91.0,19.0,18.0,51.4,2019
5,2018-09-15,15:00,Premier League,Matchweek 5,Sat,Home,W,3,0,Fulham,4.1,0.3,64,53307,David Silva,4-3-3,Stuart Attwell,Match Report,,Manchester City,3,28,9,32.1,0.11,0.33,15.9,1.0,0,0,4.1,4.1,0.15,-1.1,-1.1,47.0,38.0,2.0,3.0,3.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,22.0,14,10.0,8.0,4.0,11.0,19.0,57.9,8.0,247.0,70.0,28.3,60.0,123.0,64.0,12.0,3.0,0.0,9.0,18,,18.0,0.0,3,0,3,100.0,1,0.5,0.5,0,0,0,0,3.0,3.0,100.0,18.0,3.0,11.1,20.7,4.0,25.0,34.8,5.0,0.0,0.0,1.0,21.3,681.0,760.0,89.6,12862.0,3728.0,268.0,289.0,92.7,319.0,351.0,90.9,79.0,95.0,83.2,2,3.5,23.0,49.0,19.0,4.0,49.0,0,0,0,6,11,5,21,18,14,0,0,0,84.0,11.0,7.0,61.1,2019
6,2018-09-19,20:00,Champions Lg,Group stage,Wed,Home,L,1,2,fr Lyon,1.8,0.8,69,40111,David Silva,4-1-4-1,Daniele Orsato,Match Report,,Manchester City,1,21,8,38.1,0.05,0.13,17.0,1.0,0,0,1.8,1.8,0.08,-0.8,-0.8,36.0,26.0,5.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,9,2.0,10.0,1.0,5.0,26.0,19.2,21.0,121.0,29.0,24.0,21.0,61.0,39.0,13.0,5.0,0.0,8.0,13,,5.0,1.0,3,2,1,33.3,0,0.9,-1.1,0,0,0,0,6.0,8.0,75.0,29.0,3.0,20.7,28.6,4.0,50.0,40.5,4.0,1.0,25.0,2.0,26.9,662.0,757.0,87.5,12848.0,3988.0,267.0,299.0,89.3,300.0,328.0,91.5,92.0,118.0,78.0,1,1.3,16.0,50.0,21.0,2.0,72.0,1,0,0,16,12,1,21,13,9,0,0,0,106.0,11.0,6.0,64.7,2019
7,2018-09-22,15:00,Premier League,Matchweek 6,Sat,Away,W,5,0,Cardiff City,2.5,0.1,78,32321,Fernandinho,4-3-3,Michael Oliver,Match Report,,Manchester City,5,21,10,47.6,0.24,0.5,13.3,1.0,0,0,2.5,2.5,0.12,2.5,2.5,38.0,29.0,1.0,2.0,3.0,2.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,13.0,9,5.0,7.0,1.0,3.0,8.0,37.5,5.0,74.0,32.0,43.2,16.0,34.0,24.0,2.0,0.0,0.0,2.0,15,,28.0,0.0,2,0,2,100.0,1,0.2,0.2,0,0,0,0,3.0,5.0,60.0,29.0,8.0,13.8,26.7,4.0,25.0,38.5,3.0,1.0,33.3,2.0,20.7,747.0,828.0,90.2,14434.0,3498.0,288.0,308.0,93.5,361.0,384.0,94.0,95.0,130.0,73.1,4,1.9,15.0,42.0,14.0,1.0,51.0,1,0,0,6,10,1,20,15,9,0,0,0,75.0,11.0,12.0,47.8,2019
8,2018-09-25,19:45,EFL Cup,Third round,Tue,Away,W,3,0,Oxford United,,,71,11956,Vincent Kompany,3-4-3,Roger East,Match Report,,Manchester City,3,27,7,25.9,0.11,0.43,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,0,9,12,5,29,0,0,0,0,0,,,,,2019
9,2018-09-29,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,3.0,0.5,79,54152,David Silva,4-3-3,Lee Mason,Match Report,,Manchester City,2,26,8,30.8,0.08,0.25,16.1,0.0,0,0,3.0,3.0,0.12,-1.0,-1.0,45.0,39.0,3.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,10,5.0,8.0,4.0,7.0,12.0,58.3,5.0,113.0,35.0,31.0,22.0,44.0,47.0,8.0,2.0,0.0,6.0,12,,13.0,0.0,1,0,1,100.0,1,0.2,0.2,0,0,0,0,2.0,2.0,100.0,12.0,3.0,8.3,22.6,2.0,50.0,36.5,2.0,0.0,0.0,0.0,14.5,815.0,893.0,91.3,14117.0,3365.0,390.0,408.0,95.6,343.0,368.0,93.2,71.0,100.0,71.0,2,2.7,22.0,74.0,30.0,4.0,61.0,0,0,0,4,12,1,19,12,10,0,0,0,71.0,15.0,10.0,60.0,2019
