,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2018-08-10,20:00,Premier League,Matchweek 1,Fri,Home,W,2,1,Leicester City,1.7,1.0,46,74439,Paul Pogba,4-3-3,Andre Marriner,Match Report,,Manchester United,2,8,5,62.5,0.13,0.2,19.0,0.0,1,1,1.7,1.0,0.12,0.3,0.0,16.0,12.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,27.0,14,15.0,10.0,2.0,3.0,17.0,17.6,14.0,168.0,39.0,23.2,65.0,78.0,25.0,16.0,5.0,0.0,11.0,23,,32.0,0.0,4,1,3,75.0,0,1.4,0.4,0,0,0,0,5.0,17.0,29.4,17.0,2.0,70.6,55.6,5.0,100.0,71.8,15.0,1.0,6.7,0.0,14.3,414.0,504.0,82.1,7519.0,2539.0,221.0,241.0,91.7,127.0,154.0,82.5,58.0,96.0,60.4,1,1.0,8.0,32.0,3.0,0.0,22.0,2,0,0,19,7,4,11,23,14,0,0,0,79.0,10.0,16.0,38.5,2019
1,2018-08-19,16:00,Premier League,Matchweek 2,Sun,Away,L,2,3,Brighton,1.4,1.5,66,30592,Paul Pogba,4-3-3,Kevin Friend,Match Report,,Manchester United,2,8,2,25.0,0.13,0.5,20.3,0.0,1,1,1.4,0.6,0.08,0.6,0.4,10.0,6.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,16.0,8,7.0,7.0,2.0,2.0,6.0,33.3,4.0,133.0,45.0,33.8,38.0,56.0,39.0,7.0,0.0,0.0,7.0,13,,20.0,0.0,2,3,0,0.0,0,2.6,-0.4,1,1,0,0,7.0,18.0,38.9,30.0,3.0,46.7,43.6,4.0,100.0,64.0,10.0,4.0,40.0,2.0,23.5,518.0,613.0,84.5,10046.0,3249.0,194.0,216.0,89.8,229.0,250.0,91.6,74.0,112.0,66.1,0,0.3,4.0,26.0,5.0,0.0,36.0,1,0,0,13,18,2,6,13,8,1,1,0,78.0,24.0,16.0,60.0,2019
2,2018-08-27,20:00,Premier League,Matchweek 3,Mon,Home,L,0,3,Tottenham,1.8,1.4,56,74400,Antonio Valencia,3-5-1-1,Craig Pawson,Match Report,,Manchester United,0,23,5,21.7,0.0,0.0,17.4,1.0,0,0,1.8,1.8,0.08,-1.8,-1.8,41.0,31.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9,7.0,10.0,3.0,8.0,17.0,47.1,9.0,151.0,56.0,37.1,31.0,81.0,39.0,11.0,2.0,0.0,9.0,21,,24.0,1.0,5,3,2,40.0,0,2.4,-0.6,0,0,0,0,15.0,29.0,51.7,33.0,4.0,75.8,54.5,4.0,100.0,70.5,4.0,0.0,0.0,0.0,10.5,406.0,531.0,76.5,8491.0,3339.0,170.0,198.0,85.9,153.0,187.0,81.8,80.0,132.0,60.6,0,1.3,18.0,35.0,14.0,6.0,53.0,2,0,0,12,18,2,20,21,9,0,0,0,100.0,28.0,12.0,70.0,2019
3,2018-09-02,16:00,Premier League,Matchweek 4,Sun,Away,W,2,0,Burnley,2.9,0.7,53,21525,Antonio Valencia,4-3-3,Jonathan Moss,Match Report,,Manchester United,2,20,8,40.0,0.1,0.25,17.6,0.0,0,1,2.9,2.1,0.11,-0.9,-0.1,38.0,29.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,5,2.0,6.0,0.0,1.0,6.0,16.7,5.0,78.0,21.0,26.9,23.0,37.0,18.0,9.0,2.0,0.0,7.0,9,,31.0,0.0,3,0,3,100.0,1,0.7,0.7,0,0,0,0,7.0,23.0,30.4,22.0,5.0,59.1,50.8,10.0,100.0,72.1,17.0,3.0,17.6,0.0,10.5,471.0,557.0,84.6,9121.0,3042.0,227.0,245.0,92.7,169.0,187.0,90.4,67.0,107.0,62.6,1,1.8,17.0,38.0,16.0,5.0,39.0,3,1,0,15,10,1,14,9,5,1,0,0,86.0,23.0,18.0,56.1,2019
4,2018-09-15,17:30,Premier League,Matchweek 5,Sat,Away,W,2,1,Watford,1.2,0.9,57,20537,Antonio Valencia,4-3-3,Mike Dean,Match Report,,Manchester United,2,9,6,66.7,0.22,0.33,14.5,0.0,0,0,1.2,1.2,0.14,0.8,0.8,16.0,11.0,2.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,15.0,9,7.0,6.0,2.0,7.0,18.0,38.9,11.0,128.0,46.0,35.9,48.0,55.0,25.0,17.0,6.0,0.0,11.0,12,,38.0,1.0,5,1,4,80.0,0,0.9,-0.1,0,0,0,0,7.0,17.0,41.2,12.0,1.0,66.7,53.2,9.0,100.0,72.0,13.0,0.0,0.0,0.0,12.0,451.0,561.0,80.4,9299.0,3394.0,186.0,208.0,89.4,172.0,207.0,83.1,87.0,127.0,68.5,1,1.2,7.0,39.0,6.0,1.0,40.0,2,1,1,11,13,4,15,12,9,0,0,0,94.0,25.0,20.0,55.6,2019
5,2018-09-19,21:00,Champions Lg,Group stage,Wed,Away,W,3,0,ch Young Boys,2.1,1.7,56,31120,Paul Pogba,4-1-4-1,Deniz Aytekin,Match Report,,Manchester United,3,14,3,21.4,0.14,0.67,18.0,1.0,1,1,2.1,1.4,0.1,0.9,0.6,29.0,23.0,1.0,4.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,16.0,12,10.0,6.0,0.0,7.0,20.0,35.0,13.0,157.0,59.0,37.6,62.0,68.0,27.0,20.0,7.0,0.0,13.0,12,,23.0,0.0,3,0,3,100.0,1,0.3,0.3,0,0,0,0,7.0,16.0,43.8,24.0,7.0,41.7,40.2,10.0,60.0,57.5,15.0,1.0,6.7,0.0,11.9,468.0,565.0,82.8,8849.0,3218.0,209.0,230.0,90.9,194.0,227.0,85.5,60.0,96.0,62.5,2,1.3,12.0,40.0,8.0,2.0,42.0,1,0,0,10,13,2,15,12,12,0,0,0,97.0,10.0,5.0,66.7,2019
6,2018-09-22,15:00,Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,0.5,0.6,64,74489,Antonio Valencia,4-3-3,Kevin Friend,Match Report,,Manchester United,1,15,6,40.0,0.07,0.17,22.6,3.0,0,0,0.5,0.5,0.03,0.5,0.5,24.0,19.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,9,9.0,5.0,1.0,7.0,17.0,41.2,10.0,117.0,42.0,35.9,34.0,51.0,32.0,11.0,0.0,0.0,11.0,13,,18.0,0.0,8,1,7,87.5,0,1.4,0.4,0,0,0,0,12.0,21.0,57.1,24.0,4.0,66.7,46.9,7.0,71.4,55.3,3.0,0.0,0.0,0.0,8.0,615.0,724.0,84.9,11702.0,3704.0,280.0,300.0,93.3,236.0,272.0,86.8,87.0,126.0,69.0,1,0.2,8.0,50.0,12.0,3.0,55.0,1,0,0,7,17,3,21,13,9,0,0,0,83.0,17.0,23.0,42.5,2019
7,2018-09-25,20:00,EFL Cup,Third round,Tue,Home,D,2 (7),2 (8),Derby County,,,48,55227,Ashley Young,4-2-3-1,Stuart Attwell,Match Report,Derby County won on penalty kicks following extra time,Manchester United,2,14,4,28.6,0.14,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,8,,,,6,2,4,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,0,16,10,3,17,8,7,0,0,0,,,,,2019
8,2018-09-29,12:30,Premier League,Matchweek 7,Sat,Away,L,1,3,West Ham,0.3,1.3,52,56938,Ashley Young,3-5-2,Michael Oliver,Match Report,,Manchester United,1,9,4,44.4,0.11,0.25,19.0,1.0,0,0,0.3,0.3,0.03,0.7,0.7,18.0,13.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,10,6.0,5.0,2.0,5.0,10.0,50.0,5.0,157.0,39.0,24.8,54.0,69.0,34.0,11.0,1.0,0.0,10.0,12,,25.0,0.0,3,3,1,0.0,0,1.2,-0.8,0,0,0,0,6.0,11.0,54.5,13.0,3.0,53.8,43.4,6.0,66.7,45.3,7.0,0.0,0.0,0.0,16.0,421.0,513.0,82.1,8129.0,2746.0,179.0,195.0,91.8,172.0,200.0,86.0,63.0,101.0,62.4,1,0.3,8.0,39.0,6.0,4.0,35.0,1,0,0,15,12,4,23,12,10,0,0,1,69.0,18.0,9.0,66.7,2019
9,2018-10-02,20:00,Champions Lg,Group stage,Tue,Home,D,0,0,es Valencia,1.0,0.4,53,73569,Antonio Valencia,4-3-2-1,Slavko Vinčič,Match Report,,Manchester United,0,17,4,23.5,0.0,0.0,18.6,4.0,0,0,1.0,1.0,0.06,-1.0,-1.0,23.0,13.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15,7.0,7.0,4.0,9.0,14.0,64.3,5.0,239.0,73.0,30.5,70.0,117.0,52.0,13.0,2.0,0.0,11.0,15,,10.0,0.0,1,0,1,100.0,1,0.1,0.1,0,0,0,0,6.0,11.0,54.5,9.0,2.0,44.4,40.8,7.0,100.0,72.3,7.0,0.0,0.0,0.0,4.5,439.0,550.0,79.8,8387.0,3058.0,200.0,226.0,88.5,174.0,206.0,84.5,63.0,103.0,61.2,0,0.5,9.0,34.0,11.0,2.0,45.0,1,0,0,16,15,4,20,15,15,0,0,0,90.0,8.0,4.0,66.7,2019
