,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2018-08-11,15:00,Premier League,Matchweek 1,Sat,Home,W,2,0,Brighton,1.6,0.2,52,20051,Troy Deeney,4-4-2,Jonathan Moss,Match Report,,Watford,2,19,5,26.3,0.11,0.4,17.0,2.0,0,0,1.6,1.6,0.09,0.4,0.4,23.0,12.0,5.0,0.0,2.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,14,6.0,9.0,2.0,3.0,13.0,23.1,10.0,124.0,45.0,36.3,22.0,70.0,32.0,11.0,2.0,0.0,9.0,30,,14.0,0.0,0,0,0,,1,0.0,0.0,0,0,0,0,12.0,28.0,42.9,33.0,3.0,63.6,49.7,8.0,87.5,71.1,10.0,2.0,20.0,1.0,12.1,347.0,469.0,74.0,7202.0,2697.0,147.0,170.0,86.5,130.0,162.0,80.2,63.0,123.0,51.2,2,0.8,12.0,22.0,11.0,4.0,31.0,2,0,0,11,18,0,17,30,14,0,0,0,98.0,20.0,23.0,46.5,2019
1,2018-08-19,13:30,Premier League,Matchweek 2,Sun,Away,W,3,1,Burnley,1.3,0.4,43,18822,Troy Deeney,4-4-2,Paul Tierney,Match Report,,Watford,3,9,6,66.7,0.33,0.5,17.7,0.0,0,0,1.3,1.3,0.15,1.7,1.7,15.0,11.0,1.0,0.0,2.0,0.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,18.0,11,11.0,5.0,2.0,4.0,9.0,44.4,5.0,159.0,51.0,32.1,57.0,59.0,43.0,14.0,1.0,0.0,13.0,16,,32.0,0.0,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,9.0,31.0,29.0,24.0,2.0,87.5,60.5,10.0,100.0,71.3,17.0,5.0,29.4,0.0,12.2,264.0,390.0,67.7,4933.0,2209.0,127.0,151.0,84.1,90.0,124.0,72.6,38.0,97.0,39.2,2,0.9,7.0,19.0,9.0,2.0,25.0,2,0,0,20,11,4,9,16,11,0,0,0,91.0,30.0,38.0,44.1,2019
2,2018-08-26,13:30,Premier League,Matchweek 3,Sun,Home,W,2,1,Crystal Palace,0.9,1.2,44,20014,Troy Deeney,4-4-2,Anthony Taylor,Match Report,,Watford,2,13,5,38.5,0.15,0.4,17.8,0.0,0,0,0.9,0.9,0.07,1.1,1.1,24.0,18.0,1.0,4.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,29.0,15,16.0,8.0,5.0,10.0,21.0,47.6,11.0,226.0,67.0,29.6,78.0,109.0,39.0,12.0,1.0,0.0,11.0,19,,30.0,0.0,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,10.0,27.0,37.0,18.0,0.0,77.8,54.3,13.0,100.0,72.7,7.0,1.0,14.3,1.0,17.2,252.0,362.0,69.6,5424.0,2216.0,99.0,114.0,86.8,96.0,122.0,78.7,50.0,102.0,49.0,2,0.9,13.0,25.0,8.0,3.0,32.0,4,0,0,16,14,1,12,19,15,0,0,0,91.0,29.0,25.0,53.7,2019
3,2018-08-29,20:00,EFL Cup,Second round,Wed,Away,W,2,0,Reading,,,55,9265,Adrian Mariappa,4-4-1-1,Andrew Davies,Match Report,,Watford,2,14,4,28.6,0.14,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0,0,17,13,1,16,0,0,0,0,0,,,,,2019
4,2018-09-02,16:00,Premier League,Matchweek 4,Sun,Home,W,2,1,Tottenham,0.4,0.6,34,20141,Troy Deeney,4-2-2-2,Andre Marriner,Match Report,,Watford,2,7,3,42.9,0.29,0.67,16.8,1.0,0,0,0.4,0.4,0.06,1.6,1.6,13.0,8.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,12,7.0,8.0,0.0,8.0,20.0,40.0,12.0,99.0,36.0,36.4,39.0,45.0,15.0,22.0,2.0,0.0,20.0,24,,40.0,0.0,2,1,2,50.0,0,0.0,0.0,0,0,0,0,6.0,29.0,20.7,21.0,0.0,100.0,63.8,8.0,100.0,76.1,15.0,2.0,13.3,2.0,14.5,207.0,313.0,66.1,4303.0,2038.0,85.0,105.0,81.0,69.0,96.0,71.9,44.0,95.0,46.3,2,0.4,6.0,20.0,7.0,3.0,21.0,2,0,0,10,12,2,14,24,12,0,0,1,98.0,18.0,19.0,48.6,2019
5,2018-09-15,17:30,Premier League,Matchweek 5,Sat,Home,L,1,2,Manchester Utd,0.9,1.2,43,20537,Troy Deeney,4-4-2,Mike Dean,Match Report,,Watford,1,14,5,35.7,0.07,0.2,18.4,1.0,0,0,0.9,0.9,0.07,0.1,0.1,24.0,15.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,15,12.0,8.0,4.0,6.0,13.0,46.2,7.0,146.0,44.0,30.1,52.0,63.0,31.0,17.0,2.0,0.0,15.0,12,,22.0,0.0,6,2,4,66.7,0,2.3,0.3,0,0,0,0,4.0,22.0,18.2,23.0,1.0,87.0,60.9,2.0,100.0,74.0,10.0,0.0,0.0,3.0,22.4,309.0,428.0,72.2,5774.0,2094.0,165.0,180.0,91.7,102.0,137.0,74.5,41.0,97.0,42.3,1,0.9,12.0,32.0,9.0,2.0,39.0,2,0,0,14,11,2,15,12,15,0,0,0,104.0,20.0,25.0,44.4,2019
6,2018-09-22,12:30,Premier League,Matchweek 6,Sat,Away,D,1,1,Fulham,1.5,1.5,41,23418,Troy Deeney,4-2-2-2,Martin Atkinson,Match Report,,Watford,1,11,6,54.5,0.09,0.17,15.8,0.0,0,0,1.5,1.5,0.13,-0.5,-0.5,10.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,9,3.0,4.0,5.0,3.0,15.0,20.0,12.0,184.0,59.0,32.1,40.0,97.0,47.0,22.0,6.0,0.0,16.0,25,,24.0,0.0,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,14.0,43.0,32.6,32.0,1.0,100.0,71.0,12.0,91.7,72.5,10.0,0.0,0.0,0.0,8.7,236.0,387.0,61.0,5511.0,2658.0,80.0,110.0,72.7,92.0,135.0,68.1,56.0,126.0,44.4,1,0.9,5.0,28.0,6.0,0.0,34.0,1,0,0,9,11,6,15,25,9,0,0,0,106.0,18.0,28.0,39.1,2019
7,2018-09-26,20:00,EFL Cup,Third round,Wed,Away,D,2 (2),2 (4),Tottenham,,,48,23650,Adrian Mariappa,4-5-1,Lee Mason,Match Report,Tottenham won on penalty kicks following extra time,Watford,2,8,6,75.0,0.25,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,3,2,2,66.7,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,1,0,7,14,1,4,0,0,0,1,0,,,,,2019
8,2018-09-29,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,Arsenal,1.5,1.6,37,60019,Troy Deeney,4-4-2,Anthony Taylor,Match Report,,Watford,0,13,4,30.8,0.0,0.0,17.5,1.0,0,0,1.5,1.5,0.11,-1.5,-1.5,19.0,12.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,10.0,10.0,1.0,8.0,19.0,42.1,11.0,155.0,39.0,25.2,53.0,69.0,33.0,17.0,1.0,0.0,16.0,28,,33.0,0.0,2,2,1,0.0,0,0.6,-0.4,0,0,0,0,12.0,26.0,46.2,19.0,2.0,89.5,61.4,9.0,100.0,78.3,11.0,2.0,18.2,1.0,13.3,227.0,338.0,67.2,5419.0,2212.0,91.0,114.0,79.8,75.0,99.0,75.8,58.0,113.0,51.3,0,1.0,8.0,17.0,6.0,1.0,24.0,2,0,0,20,12,3,20,28,12,0,0,1,76.0,25.0,26.0,49.0,2019
9,2018-10-06,15:00,Premier League,Matchweek 8,Sat,Home,L,0,4,Bournemouth,0.9,2.8,47,20139,Troy Deeney,4-4-2,Jonathan Moss,Match Report,,Watford,0,14,1,7.1,0.0,0.0,16.0,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,20.0,13.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7,10.0,7.0,2.0,6.0,10.0,60.0,4.0,135.0,49.0,36.3,41.0,50.0,44.0,12.0,0.0,0.0,12.0,18,,15.0,0.0,6,4,3,50.0,0,3.5,-0.5,1,1,0,0,12.0,28.0,42.9,24.0,1.0,91.7,58.4,6.0,100.0,72.5,7.0,0.0,0.0,1.0,16.8,302.0,415.0,72.8,6468.0,2138.0,116.0,135.0,85.9,113.0,139.0,81.3,60.0,113.0,53.1,0,0.6,8.0,29.0,5.0,1.0,25.0,4,1,1,11,11,1,9,18,7,0,0,0,64.0,19.0,19.0,50.0,2019
