,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2019-08-10,15:00,Premier League,Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,1.0,1.0,53,10714.0,Steve Cook,3-4-3,Kevin Friend,Match Report,,Bournemouth,1,13,3,23.1,0.08,0.33,18.2,1.0,0,0,1.0,1.0,0.09,0.0,0.0,15.0,7.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,8,10.0,4.0,2.0,4.0,11.0,36.4,7.0,165.0,42.0,25.5,65.0,66.0,34.0,10.0,1.0,0.0,9.0,4,,16.0,0.0,3,1,2,66.7,0,1.1,0.1,0,0,0,0,1.0,10.0,10.0,16.0,5.0,31.3,36.6,9.0,55.6,53.8,11.0,0.0,0.0,1.0,22.0,409.0,529.0,77.3,7788.0,2275.0,149.0,175.0,85.1,188.0,219.0,85.8,57.0,107.0,53.3,0,0.2,6.0,27.0,5.0,0.0,30.0,2,0,0,10,19,1,12,4,8,0.0,0.0,0,109.0,7.0,18.0,28.0,2020
1,2019-08-17,15:00,Premier League,Matchweek 2,Sat,Away,W,2,1,Aston Villa,1.3,1.7,37,40996.0,Steve Cook,4-4-1-1,Martin Atkinson,Match Report,,Bournemouth,2,11,3,27.3,0.09,0.33,18.5,0.0,1,1,1.3,0.5,0.05,0.7,0.5,21.0,17.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,3,7.0,7.0,0.0,9.0,13.0,69.2,4.0,195.0,45.0,23.1,77.0,85.0,33.0,22.0,7.0,0.0,15.0,11,,27.0,1.0,7,1,6,85.7,0,1.5,0.5,0,0,0,0,10.0,34.0,29.4,30.0,3.0,80.0,59.0,11.0,90.9,70.5,19.0,2.0,10.5,0.0,11.0,230.0,321.0,71.7,4645.0,2077.0,96.0,113.0,85.0,92.0,109.0,84.4,34.0,87.0,39.1,0,0.5,10.0,20.0,12.0,2.0,23.0,2,0,0,16,10,2,10,11,3,1.0,0.0,0,72.0,20.0,34.0,37.0,2020
2,2019-08-25,14:00,Premier League,Matchweek 3,Sun,Home,L,1,3,Manchester City,1.5,2.4,26,10486.0,Steve Cook,3-4-3,Andre Marriner,Match Report,,Bournemouth,1,10,7,70.0,0.1,0.14,13.9,1.0,0,0,1.5,1.5,0.15,-0.5,-0.5,12.0,6.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,10,5.0,3.0,3.0,5.0,14.0,35.7,9.0,259.0,62.0,23.9,84.0,122.0,53.0,23.0,8.0,0.0,15.0,17,,25.0,0.0,5,3,2,40.0,0,1.9,-1.1,0,0,0,0,12.0,30.0,40.0,27.0,2.0,92.6,63.2,5.0,100.0,78.6,6.0,0.0,0.0,0.0,16.7,180.0,270.0,66.7,4100.0,1730.0,65.0,83.0,78.3,79.0,99.0,79.8,34.0,78.0,43.6,0,0.7,5.0,17.0,4.0,1.0,21.0,1,0,0,8,14,2,9,17,10,0.0,0.0,0,86.0,14.0,14.0,50.0,2020
3,2019-08-28,19:45,EFL Cup,Second round,Wed,Home,D,0 (3),0 (0),FG Rovers,,,74,9657.0,Andrew Surman,4-4-2,Dean Whitestone,Match Report,Bournemouth won on penalty kicks following extra time,Bournemouth,0,25,6,24.0,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,6,,,,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,10,6,0,34,6,9,,,0,,,,,2020
4,2019-08-31,15:00,Premier League,Matchweek 4,Sat,Away,L,1,3,Leicester City,0.9,1.9,44,31613.0,Steve Cook,4-4-2,Peter Bankes,Match Report,,Bournemouth,1,9,2,22.2,0.11,0.5,17.6,0.0,0,0,0.9,0.9,0.1,0.1,0.1,16.0,12.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,9,8.0,10.0,0.0,8.0,16.0,50.0,8.0,216.0,62.0,28.7,67.0,101.0,48.0,17.0,3.0,0.0,14.0,10,,22.0,2.0,5,3,2,40.0,0,2.6,-0.4,0,0,0,0,3.0,13.0,23.1,21.0,8.0,42.9,36.5,7.0,57.1,47.4,7.0,0.0,0.0,0.0,12.4,355.0,474.0,74.9,6559.0,2450.0,160.0,193.0,82.9,147.0,179.0,82.1,44.0,78.0,56.4,1,0.9,9.0,25.0,8.0,0.0,34.0,3,0,0,13,12,1,11,10,9,0.0,0.0,0,115.0,19.0,16.0,54.3,2020
5,2019-09-15,14:00,Premier League,Matchweek 5,Sun,Home,W,3,1,Everton,1.5,1.4,42,10416.0,Steve Cook,4-4-2,Paul Tierney,Match Report,,Bournemouth,3,16,5,31.3,0.19,0.6,17.5,3.0,0,0,1.5,1.5,0.11,1.5,1.5,26.0,13.0,5.0,2.0,2.0,4.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0,15.0,7,8.0,5.0,2.0,2.0,23.0,8.7,21.0,181.0,50.0,27.6,40.0,89.0,52.0,23.0,6.0,0.0,17.0,13,,34.0,1.0,5,1,4,80.0,0,1.6,0.6,0,0,0,0,7.0,19.0,36.8,24.0,6.0,50.0,40.8,13.0,53.8,49.5,13.0,2.0,15.4,1.0,17.4,249.0,364.0,68.4,5143.0,2041.0,94.0,116.0,81.0,106.0,145.0,73.1,46.0,82.0,56.1,2,0.7,9.0,21.0,2.0,1.0,18.0,0,0,0,5,15,4,6,13,7,0.0,0.0,0,103.0,22.0,23.0,48.9,2020
6,2019-09-20,20:00,Premier League,Matchweek 6,Fri,Away,W,3,1,Southampton,1.2,2.2,35,30168.0,Steve Cook,4-4-2,Chris Kavanagh,Match Report,,Bournemouth,3,6,3,50.0,0.5,1.0,18.8,1.0,0,0,1.2,1.2,0.2,1.8,1.8,7.0,3.0,1.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,9,7.0,4.0,1.0,1.0,11.0,9.1,10.0,241.0,59.0,24.5,83.0,106.0,52.0,20.0,9.0,0.0,11.0,6,,55.0,0.0,6,1,6,100.0,0,2.0,1.0,1,1,0,0,6.0,22.0,27.3,19.0,6.0,52.6,45.4,15.0,80.0,60.4,14.0,0.0,0.0,1.0,12.3,196.0,308.0,63.6,3559.0,1625.0,86.0,102.0,84.3,82.0,110.0,74.5,21.0,68.0,30.9,3,0.3,3.0,16.0,0.0,0.0,21.0,3,0,0,11,15,2,3,6,9,0.0,1.0,0,111.0,24.0,23.0,51.1,2020
7,2019-09-25,19:45,EFL Cup,Third round,Wed,Away,L,0,2,Burton Albion,,,67,2505.0,Simon Francis,4-2-3-1,John Busby,Match Report,,Bournemouth,0,7,1,14.3,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,10,,,,7,2,5,71.4,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0,0,7,11,1,23,10,10,,,0,,,,,2020
8,2019-09-28,15:00,Premier League,Matchweek 7,Sat,Home,D,2,2,West Ham,1.9,1.5,48,10729.0,Steve Cook,4-4-2,Stuart Attwell,Match Report,,Bournemouth,2,13,5,38.5,0.15,0.4,11.8,0.0,0,0,1.9,1.9,0.15,0.1,0.1,22.0,13.0,5.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,7,4.0,5.0,2.0,6.0,12.0,50.0,6.0,92.0,20.0,21.7,18.0,55.0,19.0,20.0,9.0,0.0,11.0,11,,39.0,0.0,6,2,4,66.7,0,1.4,-0.6,0,0,0,0,0.0,11.0,0.0,25.0,7.0,36.0,35.0,4.0,50.0,41.8,8.0,0.0,0.0,0.0,9.9,375.0,477.0,78.6,7548.0,2550.0,130.0,144.0,90.3,180.0,218.0,82.6,61.0,98.0,62.2,2,1.8,12.0,19.0,8.0,2.0,36.0,3,0,0,10,10,2,9,11,7,0.0,0.0,0,98.0,19.0,25.0,43.2,2020
9,2019-10-06,14:00,Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.5,0.9,48,60326.0,Steve Cook,4-4-2,Martin Atkinson,Match Report,,Bournemouth,0,10,2,20.0,0.0,0.0,18.3,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,14.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,10.0,9.0,1.0,4.0,18.0,22.2,14.0,249.0,67.0,26.9,82.0,121.0,46.0,28.0,4.0,0.0,24.0,3,,36.0,0.0,2,1,1,50.0,0,1.0,0.0,0,0,0,0,3.0,10.0,30.0,18.0,5.0,33.3,35.3,10.0,40.0,39.0,8.0,1.0,12.5,1.0,13.6,344.0,442.0,77.8,6721.0,2801.0,133.0,152.0,87.5,155.0,187.0,82.9,49.0,81.0,60.5,0,0.4,8.0,30.0,9.0,0.0,42.0,2,0,0,10,16,0,11,3,11,0.0,0.0,0,96.0,22.0,14.0,61.1,2020
