,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2019-08-10,15:00,Premier League,Matchweek 1,Sat,Home,W,3,0,Southampton,0.7,0.8,46,19784.0,Ben Mee,4-4-2,Graham Scott,Match Report,,Burnley,3,9,4,44.4,0.33,0.75,15.8,0.0,0,0,0.7,0.7,0.08,2.3,2.3,12.0,7.0,2.0,1.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,22.0,14,13.0,7.0,2.0,9.0,20.0,45.0,11.0,143.0,41.0,28.7,43.0,69.0,31.0,16.0,3.0,0.0,13.0,9,,64.0,0.0,3,0,3,100.0,1,0.7,0.7,0,0,0,0,9.0,28.0,32.1,31.0,4.0,74.2,56.5,6.0,83.3,72.5,3.0,0.0,0.0,2.0,18.7,214.0,346.0,61.8,4835.0,2122.0,81.0,107.0,75.7,75.0,111.0,67.6,49.0,107.0,45.8,2,0.4,6.0,10.0,5.0,2.0,13.0,0,0,0,6,13,5,7,9,14,0.0,0.0,0,107.0,30.0,25.0,54.5,2020
1,2019-08-17,12:30,Premier League,Matchweek 2,Sat,Away,L,1,2,Arsenal,1.3,0.9,33,60214.0,Ben Mee,4-4-2,Mike Dean,Match Report,,Burnley,1,17,4,23.5,0.06,0.25,13.9,0.0,0,0,1.3,1.3,0.08,-0.3,-0.3,18.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,9,6.0,8.0,4.0,8.0,19.0,42.1,11.0,116.0,24.0,20.7,25.0,44.0,47.0,20.0,4.0,0.0,16.0,6,,34.0,0.0,9,2,7,77.8,0,1.0,-1.0,0,0,0,0,9.0,23.0,39.1,22.0,2.0,77.3,56.2,6.0,100.0,69.5,9.0,1.0,11.1,3.0,20.0,180.0,271.0,66.4,4073.0,1922.0,65.0,80.0,81.3,72.0,93.0,77.4,38.0,83.0,45.8,0,0.7,10.0,16.0,7.0,3.0,17.0,1,0,0,17,11,1,19,6,9,0.0,0.0,0,80.0,19.0,15.0,55.9,2020
2,2019-08-25,16:30,Premier League,Matchweek 3,Sun,Away,D,1,1,Wolves,1.2,1.5,35,30522.0,Ben Mee,4-4-2,Craig Pawson,Match Report,,Burnley,1,12,2,16.7,0.08,0.5,16.2,0.0,0,0,1.2,1.2,0.1,-0.2,-0.2,16.0,14.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,8,8.0,2.0,2.0,5.0,20.0,25.0,15.0,148.0,29.0,19.6,53.0,70.0,25.0,13.0,5.0,0.0,8.0,9,,38.0,0.0,1,1,1,100.0,0,0.8,-0.2,1,1,0,0,6.0,31.0,19.4,25.0,4.0,84.0,63.9,11.0,90.9,77.0,16.0,2.0,12.5,1.0,15.3,215.0,335.0,64.2,4947.0,2063.0,83.0,104.0,79.8,74.0,102.0,72.5,51.0,117.0,43.6,1,0.9,8.0,21.0,5.0,3.0,22.0,2,0,0,16,10,1,11,9,8,0.0,1.0,0,111.0,21.0,32.0,39.6,2020
3,2019-08-28,19:45,EFL Cup,Second round,Wed,Home,L,1,3,Sunderland,,,63,7445.0,Ben Gibson,4-4-2,Darren England,Match Report,,Burnley,1,16,3,18.8,0.06,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,8,,,,4,3,1,25.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,11,7,1,33,8,7,,,0,,,,,2020
4,2019-08-31,17:30,Premier League,Matchweek 4,Sat,Home,L,0,3,Liverpool,0.4,1.1,37,21762.0,Ben Mee,4-4-2,Chris Kavanagh,Match Report,,Burnley,0,7,2,28.6,0.0,0.0,19.5,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,12.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6,3.0,4.0,1.0,5.0,24.0,20.8,19.0,131.0,37.0,28.2,41.0,56.0,34.0,16.0,6.0,0.0,10.0,14,,46.0,0.0,6,3,3,50.0,0,2.4,0.4,0,0,0,0,8.0,27.0,29.6,31.0,6.0,77.4,54.9,5.0,60.0,54.0,9.0,1.0,11.1,1.0,13.0,211.0,337.0,62.6,4202.0,2010.0,98.0,118.0,83.1,74.0,99.0,74.7,36.0,102.0,35.3,0,0.4,6.0,13.0,0.0,0.0,15.0,0,0,0,14,15,5,7,14,6,0.0,0.0,1,93.0,18.0,18.0,50.0,2020
5,2019-09-14,15:00,Premier League,Matchweek 5,Sat,Away,D,1,1,Brighton,0.6,0.9,36,29398.0,Ben Mee,4-4-2,Michael Oliver,Match Report,,Burnley,1,7,1,14.3,0.14,1.0,18.2,0.0,0,0,0.6,0.6,0.09,0.4,0.4,11.0,9.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,11,11.0,5.0,2.0,7.0,15.0,46.7,8.0,183.0,38.0,20.8,54.0,84.0,45.0,24.0,2.0,0.0,22.0,6,,41.0,0.0,5,1,4,80.0,0,1.0,0.0,0,0,0,0,6.0,29.0,20.7,26.0,3.0,76.9,54.7,12.0,75.0,56.3,15.0,1.0,6.7,4.0,22.3,200.0,316.0,63.3,4084.0,1586.0,92.0,103.0,89.3,68.0,100.0,68.0,36.0,97.0,37.1,1,0.2,5.0,13.0,6.0,2.0,20.0,2,0,0,10,15,2,10,6,11,0.0,0.0,0,86.0,20.0,25.0,44.4,2020
6,2019-09-21,15:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Norwich City,1.5,0.6,42,19712.0,Ben Mee,4-4-2,David Coote,Match Report,,Burnley,2,13,6,46.2,0.15,0.33,13.0,1.0,0,0,1.5,1.5,0.12,0.5,0.5,23.0,15.0,4.0,2.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,14,12.0,4.0,3.0,15.0,30.0,50.0,15.0,148.0,36.0,24.3,30.0,41.0,77.0,20.0,4.0,0.0,16.0,10,,15.0,0.0,2,0,2,100.0,1,0.5,0.5,0,0,0,0,5.0,14.0,35.7,11.0,3.0,63.6,54.8,7.0,100.0,86.7,6.0,1.0,16.7,2.0,19.7,300.0,405.0,74.1,5565.0,2302.0,151.0,158.0,95.6,105.0,133.0,78.9,40.0,98.0,40.8,2,1.3,11.0,25.0,13.0,3.0,34.0,0,0,0,12,9,1,17,10,14,0.0,0.0,0,94.0,18.0,12.0,60.0,2020
7,2019-09-28,15:00,Premier League,Matchweek 7,Sat,Away,D,2,2,Aston Villa,1.5,0.8,39,41546.0,Ben Mee,4-4-2,Lee Mason,Match Report,,Burnley,2,10,3,30.0,0.2,0.67,12.1,2.0,0,0,1.5,1.5,0.15,0.5,0.5,18.0,12.0,3.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,6,9.0,9.0,0.0,7.0,16.0,43.8,9.0,156.0,26.0,16.7,57.0,66.0,33.0,18.0,6.0,0.0,12.0,8,,21.0,0.0,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,12.0,31.0,38.7,22.0,2.0,86.4,60.3,13.0,92.3,75.1,17.0,1.0,5.9,0.0,11.0,200.0,302.0,66.2,4382.0,1883.0,79.0,102.0,77.5,71.0,92.0,77.2,44.0,95.0,46.3,2,1.4,8.0,18.0,5.0,3.0,21.0,4,0,0,18,10,0,4,8,6,0.0,0.0,0,78.0,21.0,18.0,53.8,2020
8,2019-10-05,15:00,Premier League,Matchweek 8,Sat,Home,W,1,0,Everton,0.7,0.9,42,20650.0,Ben Mee,4-4-2,Graham Scott,Match Report,,Burnley,1,9,3,33.3,0.11,0.33,15.4,1.0,0,0,0.7,0.7,0.07,0.3,0.3,15.0,12.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,9,5.0,5.0,4.0,6.0,14.0,42.9,8.0,134.0,43.0,32.1,37.0,70.0,27.0,20.0,6.0,1.0,14.0,9,,40.0,0.0,2,0,2,100.0,1,0.4,0.4,0,0,0,0,4.0,18.0,22.2,19.0,5.0,68.4,52.2,6.0,83.3,67.5,9.0,0.0,0.0,1.0,24.5,245.0,366.0,66.9,4652.0,1995.0,116.0,136.0,85.3,91.0,121.0,75.2,33.0,91.0,36.3,1,0.6,7.0,15.0,8.0,2.0,18.0,2,0,0,6,12,5,10,9,9,0.0,0.0,0,85.0,32.0,33.0,49.2,2020
9,2019-10-19,15:00,Premier League,Matchweek 9,Sat,Away,L,1,2,Leicester City,1.4,1.4,38,32105.0,Ben Mee,4-4-2,Jonathan Moss,Match Report,,Burnley,1,13,4,30.8,0.08,0.25,17.7,1.0,0,0,1.4,1.4,0.11,-0.4,-0.4,16.0,11.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10,4.0,7.0,5.0,5.0,14.0,35.7,9.0,179.0,40.0,22.3,70.0,65.0,44.0,24.0,9.0,0.0,15.0,8,,29.0,0.0,3,2,1,33.3,0,1.8,-0.2,0,0,0,0,8.0,13.0,61.5,6.0,1.0,50.0,46.0,10.0,100.0,76.3,7.0,0.0,0.0,0.0,2.0,263.0,355.0,74.1,5056.0,2286.0,116.0,134.0,86.6,100.0,132.0,75.8,35.0,68.0,51.5,1,0.8,8.0,25.0,7.0,2.0,29.0,3,0,0,12,4,3,8,8,10,0.0,0.0,0,71.0,26.0,22.0,54.2,2020
