,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2019-08-11,14:00,Premier League,Matchweek 1,Sun,Home,L,0,1,Arsenal,0.5,1.0,39,47635.0,Jamaal Lascelles,3-5-2,Martin Atkinson,Match Report,,Newcastle United,0,10,2,20.0,0.0,0.0,20.1,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,15.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12,17.0,7.0,2.0,6.0,17.0,35.3,11.0,254.0,59.0,23.2,74.0,118.0,62.0,15.0,3.0,0.0,12.0,15,,27.0,0.0,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,12.0,20.0,60.0,17.0,1.0,76.5,51.7,7.0,100.0,73.7,4.0,0.0,0.0,1.0,16.4,313.0,411.0,76.2,6381.0,2691.0,135.0,149.0,90.6,129.0,162.0,79.6,48.0,89.0,53.9,0,0.5,9.0,30.0,4.0,1.0,29.0,1,0,0,13,7,1,13,15,12,0.0,0.0,0,87.0,22.0,11.0,66.7,2020
1,2019-08-17,15:00,Premier League,Matchweek 2,Sat,Away,L,1,3,Norwich City,0.7,1.4,37,27059.0,Jamaal Lascelles,3-5-2,Stuart Attwell,Match Report,,Newcastle United,1,12,3,25.0,0.08,0.33,15.4,0.0,0,0,0.7,0.7,0.06,0.3,0.3,15.0,9.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,7,6.0,8.0,4.0,5.0,23.0,21.7,18.0,184.0,34.0,18.5,63.0,71.0,50.0,16.0,4.0,0.0,12.0,9,,21.0,1.0,8,3,5,62.5,0,2.2,-0.8,0,0,0,0,5.0,16.0,31.3,19.0,4.0,52.6,43.9,6.0,100.0,67.0,6.0,1.0,16.7,1.0,15.5,279.0,358.0,77.9,6163.0,2082.0,98.0,104.0,94.2,122.0,142.0,85.9,56.0,102.0,54.9,1,0.6,9.0,28.0,9.0,2.0,25.0,3,0,0,14,11,1,13,9,7,0.0,0.0,0,74.0,9.0,13.0,40.9,2020
2,2019-08-25,16:30,Premier League,Matchweek 3,Sun,Away,W,1,0,Tottenham,0.4,1.2,21,59245.0,Jamaal Lascelles,3-4-3,Mike Dean,Match Report,,Newcastle United,1,8,3,37.5,0.13,0.33,15.3,0.0,0,0,0.4,0.4,0.05,0.6,0.6,14.0,10.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,12,12.0,2.0,1.0,12.0,26.0,46.2,14.0,190.0,35.0,18.4,109.0,61.0,20.0,19.0,7.0,0.0,12.0,5,,64.0,0.0,2,0,2,100.0,1,0.1,0.1,0,0,0,0,5.0,22.0,22.7,16.0,2.0,93.8,60.6,7.0,100.0,71.4,19.0,0.0,0.0,0.0,8.5,155.0,215.0,72.1,3279.0,1513.0,71.0,83.0,85.5,52.0,58.0,89.7,28.0,65.0,43.1,1,0.4,7.0,13.0,4.0,1.0,10.0,2,0,0,10,11,4,1,5,12,0.0,0.0,0,54.0,17.0,10.0,63.0,2020
3,2019-08-28,19:45,EFL Cup,Second round,Wed,Home,D,1 (2),1 (4),Leicester City,,,32,22727.0,Jonjo Shelvey,5-4-1,Tim Robinson,Match Report,Leicester City won on penalty kicks following extra time,Newcastle United,1,7,2,28.6,0.14,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,13,,,,1,1,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,0,0,10,16,3,7,13,13,,,0,,,,,2020
4,2019-08-31,15:00,Premier League,Matchweek 4,Sat,Home,D,1,1,Watford,0.9,1.3,49,44157.0,Jamaal Lascelles,3-4-3,Graham Scott,Match Report,,Newcastle United,1,13,4,30.8,0.08,0.25,18.8,1.0,0,0,0.9,0.9,0.07,0.1,0.1,19.0,12.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6,5.0,4.0,4.0,6.0,19.0,31.6,13.0,205.0,63.0,30.7,63.0,89.0,53.0,18.0,6.0,0.0,12.0,15,,18.0,1.0,3,1,2,66.7,0,1.3,0.3,0,0,0,0,2.0,15.0,13.3,9.0,2.0,44.4,38.7,12.0,91.7,67.0,2.0,0.0,0.0,0.0,11.0,379.0,506.0,74.9,7262.0,2301.0,158.0,185.0,85.4,160.0,185.0,86.5,55.0,119.0,46.2,1,0.6,9.0,29.0,5.0,2.0,29.0,2,0,0,6,13,6,19,15,6,0.0,0.0,0,112.0,21.0,19.0,52.5,2020
5,2019-09-14,12:30,Premier League,Matchweek 5,Sat,Away,L,1,3,Liverpool,0.4,2.7,27,51430.0,Jamaal Lascelles,3-4-3,Andre Marriner,Match Report,,Newcastle United,1,8,1,12.5,0.13,1.0,22.2,0.0,0,0,0.4,0.4,0.05,0.6,0.6,12.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,11,14.0,6.0,1.0,5.0,18.0,27.8,13.0,200.0,49.0,24.5,112.0,66.0,22.0,26.0,3.0,0.0,23.0,6,,22.0,1.0,8,3,5,62.5,0,3.8,0.8,0,0,0,0,6.0,22.0,27.3,15.0,3.0,73.3,52.9,13.0,84.6,62.1,16.0,1.0,6.3,0.0,11.0,220.0,320.0,68.8,4388.0,1915.0,98.0,112.0,87.5,85.0,109.0,78.0,33.0,87.0,37.9,1,0.3,6.0,13.0,6.0,2.0,18.0,0,0,0,8,5,8,5,6,11,0.0,0.0,0,94.0,15.0,24.0,38.5,2020
6,2019-09-21,17:30,Premier League,Matchweek 6,Sat,Home,D,0,0,Brighton,1.0,1.0,30,43316.0,Jamaal Lascelles,3-4-3,Martin Atkinson,Match Report,,Newcastle United,0,11,4,36.4,0.0,0.0,17.8,0.0,0,0,1.0,1.0,0.09,-1.0,-1.0,20.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14,15.0,7.0,3.0,10.0,21.0,47.6,11.0,205.0,39.0,19.0,79.0,94.0,32.0,19.0,6.0,1.0,13.0,9,,26.0,0.0,2,0,2,100.0,1,0.6,0.6,0,0,0,0,5.0,20.0,25.0,19.0,3.0,63.2,52.9,10.0,80.0,59.3,13.0,1.0,7.7,0.0,7.3,220.0,316.0,69.6,4091.0,1557.0,104.0,128.0,81.3,83.0,98.0,84.7,30.0,78.0,38.5,0,1.0,11.0,19.0,3.0,0.0,19.0,2,0,0,13,10,0,12,9,14,0.0,0.0,0,79.0,15.0,16.0,48.4,2020
7,2019-09-29,16:30,Premier League,Matchweek 7,Sun,Away,L,0,5,Leicester City,0.2,1.1,31,32168.0,Jamaal Lascelles,4-2-3-1,Craig Pawson,Match Report,,Newcastle United,0,3,0,0.0,0.0,,34.8,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8,11.0,3.0,2.0,4.0,9.0,44.4,5.0,171.0,46.0,26.9,87.0,62.0,22.0,17.0,3.0,0.0,14.0,8,,33.0,0.0,5,5,1,0.0,0,2.7,-1.3,0,0,0,0,9.0,15.0,60.0,16.0,4.0,50.0,45.1,8.0,87.5,57.8,15.0,0.0,0.0,0.0,11.3,265.0,343.0,77.3,5265.0,2199.0,111.0,129.0,86.0,112.0,132.0,84.8,38.0,68.0,55.9,0,0.1,2.0,18.0,4.0,2.0,12.0,1,1,0,9,14,1,6,8,8,0.0,0.0,1,77.0,10.0,8.0,55.6,2020
8,2019-10-06,16:30,Premier League,Matchweek 8,Sun,Home,W,1,0,Manchester Utd,0.5,0.6,32,51198.0,Jamaal Lascelles,3-4-3,Mike Dean,Match Report,,Newcastle United,1,12,1,8.3,0.08,1.0,22.0,1.0,0,0,0.5,0.5,0.04,0.5,0.5,23.0,16.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,7,13.0,4.0,1.0,6.0,9.0,66.7,3.0,157.0,28.0,17.8,67.0,72.0,18.0,13.0,5.0,0.0,8.0,9,,22.0,0.0,2,0,2,100.0,1,0.4,0.4,0,0,0,0,9.0,21.0,42.9,16.0,4.0,68.8,46.2,10.0,100.0,71.7,12.0,3.0,25.0,1.0,36.0,211.0,299.0,70.6,4654.0,2222.0,87.0,102.0,85.3,79.0,110.0,71.8,43.0,81.0,53.1,1,0.5,11.0,16.0,4.0,2.0,16.0,3,0,0,13,12,1,6,9,7,0.0,0.0,0,67.0,19.0,21.0,47.5,2020
9,2019-10-19,15:00,Premier League,Matchweek 9,Sat,Away,L,0,1,Chelsea,0.3,1.9,29,40513.0,Jamaal Lascelles,3-4-3,Andre Marriner,Match Report,,Newcastle United,0,5,0,0.0,0.0,,16.5,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10,12.0,3.0,0.0,3.0,12.0,25.0,9.0,220.0,45.0,20.5,115.0,80.0,25.0,14.0,4.0,1.0,10.0,13,,38.0,0.0,7,1,6,85.7,0,1.0,0.0,0,0,0,0,10.0,22.0,45.5,17.0,3.0,64.7,49.4,11.0,100.0,69.7,9.0,1.0,11.1,1.0,18.8,192.0,279.0,68.8,3775.0,1568.0,96.0,110.0,87.3,64.0,86.0,74.4,28.0,70.0,40.0,0,0.3,4.0,16.0,4.0,3.0,8.0,1,0,0,13,9,1,10,13,10,0.0,0.0,0,84.0,10.0,14.0,41.7,2020
