,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2019-08-10,15:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.0,1.0,47,10714.0,Oliver Norwood,3-5-2,Kevin Friend,Match Report,,Sheffield United,1,8,3,37.5,0.13,0.33,18.8,0.0,0,0,1.0,1.0,0.14,0.0,0.0,12.0,9.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,11,7.0,8.0,2.0,4.0,14.0,28.6,10.0,190.0,71.0,37.4,61.0,86.0,43.0,18.0,3.0,0.0,15.0,15,,18.0,0.0,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,3.0,24.0,12.5,23.0,2.0,73.9,55.0,7.0,100.0,78.7,9.0,0.0,0.0,0.0,6.8,367.0,477.0,76.9,6393.0,2065.0,177.0,193.0,91.7,135.0,152.0,88.8,41.0,105.0,39.0,0,0.7,6.0,23.0,5.0,2.0,25.0,1,0,0,21,9,1,12,15,11,0.0,0.0,0,87.0,18.0,7.0,72.0,2020
1,2019-08-18,14:00,Premier League,Matchweek 2,Sun,Home,W,1,0,Crystal Palace,1.6,0.2,44,30197.0,Oliver Norwood,3-5-2,David Coote,Match Report,,Sheffield United,1,15,3,20.0,0.07,0.33,15.0,0.0,0,0,1.6,1.6,0.11,-0.6,-0.6,22.0,14.0,5.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,11,11.0,5.0,3.0,4.0,17.0,23.5,13.0,214.0,55.0,25.7,84.0,81.0,49.0,17.0,3.0,0.0,14.0,8,,43.0,0.0,4,0,4,100.0,1,0.6,0.6,0,0,0,0,7.0,15.0,46.7,23.0,5.0,56.5,49.7,2.0,100.0,93.0,5.0,0.0,0.0,0.0,14.8,312.0,411.0,75.9,6301.0,2232.0,134.0,152.0,88.2,112.0,135.0,83.0,57.0,102.0,55.9,0,1.1,11.0,24.0,4.0,1.0,22.0,3,0,0,18,10,0,9,8,11,0.0,0.0,0,93.0,24.0,19.0,55.8,2020
2,2019-08-24,15:00,Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,0.7,0.9,49,30079.0,Oliver Norwood,3-5-2,Andy Madley,Match Report,,Sheffield United,1,8,3,37.5,0.13,0.33,18.2,1.0,0,0,0.7,0.7,0.09,0.3,0.3,13.0,11.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9,8.0,5.0,3.0,5.0,13.0,38.5,8.0,153.0,55.0,35.9,37.0,70.0,46.0,14.0,5.0,0.0,9.0,11,,16.0,0.0,3,2,1,33.3,0,0.5,-1.5,0,0,0,0,4.0,22.0,18.2,15.0,2.0,93.3,68.7,9.0,88.9,73.8,7.0,0.0,0.0,0.0,13.3,342.0,471.0,72.6,6830.0,2303.0,161.0,181.0,89.0,120.0,161.0,74.5,58.0,112.0,51.8,1,0.5,5.0,23.0,14.0,4.0,32.0,1,0,0,11,6,1,19,11,9,0.0,0.0,0,96.0,24.0,28.0,46.2,2020
3,2019-08-27,19:45,EFL Cup,Second round,Tue,Home,W,2,1,Blackburn,,,45,9714.0,Billy Sharp,3-5-2,Geoff Eltringham,Match Report,,Sheffield United,2,2,2,100.0,1.0,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,9,,,,2,1,2,50.0,0,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,0,0,17,16,3,7,9,18,,,0,,,,,2020
4,2019-08-31,15:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Chelsea,1.1,1.7,37,40560.0,Oliver Norwood,3-5-2,Stuart Attwell,Match Report,,Sheffield United,1,8,2,25.0,0.13,0.5,20.3,0.0,0,0,1.1,1.1,0.13,-0.1,-0.1,12.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,12,8.0,6.0,1.0,5.0,14.0,35.7,9.0,182.0,37.0,20.3,47.0,90.0,45.0,11.0,3.0,0.0,8.0,15,,32.0,2.0,5,2,3,60.0,0,1.9,-0.1,0,0,0,0,7.0,25.0,28.0,33.0,4.0,60.6,49.7,5.0,100.0,78.2,9.0,1.0,11.1,0.0,13.0,354.0,447.0,79.2,7183.0,2388.0,152.0,171.0,88.9,137.0,160.0,85.6,61.0,101.0,60.4,1,1.0,7.0,29.0,3.0,3.0,30.0,1,0,0,12,6,0,8,15,12,0.0,0.0,0,75.0,21.0,15.0,58.3,2020
5,2019-09-14,15:00,Premier League,Matchweek 5,Sat,Home,L,0,1,Southampton,1.9,1.3,49,30985.0,Oliver Norwood,3-5-2,Lee Mason,Match Report,,Sheffield United,0,17,4,23.5,0.0,0.0,16.1,0.0,0,0,1.9,1.9,0.11,-1.9,-1.9,29.0,21.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,14.0,3.0,3.0,4.0,26.0,15.4,22.0,153.0,41.0,26.8,67.0,56.0,30.0,12.0,3.0,0.0,9.0,5,,23.0,0.0,7,1,6,85.7,0,2.1,1.1,0,0,0,0,4.0,21.0,19.0,22.0,7.0,68.2,52.9,6.0,100.0,74.8,3.0,1.0,33.3,0.0,11.5,344.0,489.0,70.3,6992.0,2601.0,136.0,168.0,81.0,147.0,183.0,80.3,55.0,114.0,48.2,0,1.9,16.0,30.0,9.0,2.0,40.0,1,1,0,13,7,3,15,5,11,0.0,0.0,0,125.0,13.0,17.0,43.3,2020
6,2019-09-21,15:00,Premier League,Matchweek 6,Sat,Away,W,2,0,Everton,0.2,0.9,30,39354.0,Oliver Norwood,3-5-2,Simon Hooper,Match Report,,Sheffield United,1,2,1,50.0,0.5,1.0,12.1,0.0,0,0,0.2,0.2,0.11,0.8,0.8,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,9,14.0,7.0,1.0,12.0,31.0,38.7,19.0,141.0,29.0,20.6,69.0,42.0,30.0,23.0,7.0,0.0,16.0,5,,76.0,0.0,3,0,3,100.0,1,0.4,0.4,0,0,0,0,8.0,27.0,29.6,16.0,4.0,81.3,62.1,14.0,100.0,83.1,19.0,0.0,0.0,0.0,8.5,159.0,258.0,61.6,3359.0,1591.0,82.0,100.0,82.0,47.0,66.0,71.2,27.0,81.0,33.3,1,0.2,2.0,10.0,4.0,1.0,8.0,3,0,0,10,9,1,8,5,9,0.0,0.0,0,70.0,23.0,18.0,56.1,2020
7,2019-09-25,19:45,EFL Cup,Third round,Wed,Home,L,0,1,Sunderland,,,66,11675.0,Phil Jagielka,3-5-2,Tim Robinson,Match Report,,Sheffield United,0,14,5,35.7,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,5,,,,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,0,10,7,2,27,5,9,,,0,,,,,2020
8,2019-09-28,12:30,Premier League,Matchweek 7,Sat,Home,L,0,1,Liverpool,1.3,1.9,30,31774.0,Oliver Norwood,3-5-2,Anthony Taylor,Match Report,,Sheffield United,0,12,2,16.7,0.0,0.0,13.9,0.0,0,0,1.3,1.3,0.11,-1.3,-1.3,19.0,14.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,7.0,4.0,3.0,2.0,11.0,18.2,9.0,202.0,55.0,27.2,76.0,89.0,37.0,22.0,3.0,0.0,19.0,11,,35.0,0.0,4,1,3,75.0,0,1.3,0.3,0,0,0,0,6.0,29.0,20.7,20.0,2.0,85.0,58.9,12.0,100.0,78.2,6.0,0.0,0.0,0.0,11.1,218.0,309.0,70.6,4794.0,2031.0,87.0,101.0,86.1,77.0,100.0,77.0,47.0,91.0,51.6,0,1.2,9.0,23.0,6.0,4.0,21.0,1,0,0,9,4,0,10,11,8,0.0,0.0,0,78.0,18.0,27.0,40.0,2020
9,2019-10-05,15:00,Premier League,Matchweek 8,Sat,Away,D,0,0,Watford,0.5,1.5,61,20811.0,Oliver Norwood,3-5-2,Andre Marriner,Match Report,,Sheffield United,0,9,2,22.2,0.0,0.0,20.0,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14,12.0,6.0,4.0,7.0,16.0,43.8,9.0,121.0,38.0,31.4,43.0,52.0,26.0,9.0,2.0,0.0,7.0,6,,32.0,0.0,2,0,2,100.0,1,0.5,0.5,0,0,0,0,6.0,21.0,28.6,21.0,3.0,71.4,52.7,6.0,100.0,71.3,10.0,1.0,10.0,1.0,14.8,489.0,612.0,79.9,9910.0,2695.0,218.0,238.0,91.6,172.0,201.0,85.6,93.0,159.0,58.5,0,0.2,6.0,36.0,5.0,1.0,38.0,2,0,0,7,8,3,21,6,14,0.0,0.0,0,108.0,22.0,25.0,46.8,2020
