,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2019-07-25,19:45,Europa Lg,Second qualifying round,Thu,Home,W,2,0,nir Crusaders,,,,29708.0,Conor Coady,3-5-2,Kristoffer Karlsson,Match Report,Leg 1 of 2,Wolverhampton Wanderers,2,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,,,,,,,,,0,,,,,2020
1,2019-08-01,20:00,Europa Lg,Second qualifying round,Thu,Away,W,4,1,nir Crusaders,,,,2700.0,Conor Coady,5-3-2,Nejc Kajtazović,Match Report,Leg 2 of 2; Wolves won,Wolverhampton Wanderers,3,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,0,,,,,,,,,1,,,,,2020
2,2019-08-08,20:00,Europa Lg,Third qualifying round,Thu,Away,W,4,0,am Pyunik,,,,13050.0,Conor Coady,3-5-2,Michael Fabbri,Match Report,Leg 1 of 2,Wolverhampton Wanderers,4,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,0,0,,,,,,,,,0,,,,,2020
3,2019-08-11,14:00,Premier League,Matchweek 1,Sun,Away,D,0,0,Leicester City,0.6,0.6,31.0,32015.0,Conor Coady,3-5-2,Andre Marriner,Match Report,,Wolverhampton Wanderers,0,7.0,2.0,28.6,0.0,0.0,16.6,0.0,0,0,0.6,0.6,0.09,-0.6,-0.6,12.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,16.0,8.0,1.0,12.0,39.0,30.8,27.0,149.0,37.0,24.8,70.0,64.0,15.0,29.0,6.0,0.0,23.0,10.0,,37.0,0.0,1.0,0,1.0,100.0,1,0.2,0.2,0,0,0,0,11.0,25.0,44.0,14.0,1.0,78.6,53.2,14.0,100.0,62.9,9.0,1.0,11.1,0.0,8.7,224.0,324.0,69.1,4314.0,2040.0,111.0,135.0,82.2,72.0,98.0,73.5,36.0,75.0,48.0,0,0.4,6.0,9.0,2.0,0.0,12.0,2,0,0,14.0,6.0,1.0,1.0,10.0,12.0,0.0,0.0,0,85.0,19.0,25.0,43.2,2020
4,2019-08-15,19:45,Europa Lg,Third qualifying round,Thu,Home,W,4,0,am Pyunik,,,,29391.0,Conor Coady,5-3-2,Donatas Rumšas,Match Report,Leg 2 of 2; Wolves won,Wolverhampton Wanderers,4,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,0,0,,,,,,,,,0,,,,,2020
5,2019-08-19,20:00,Premier League,Matchweek 2,Mon,Home,D,1,1,Manchester Utd,0.3,1.3,36.0,31314.0,Conor Coady,3-5-2,Jonathan Moss,Match Report,,Wolverhampton Wanderers,1,7.0,2.0,28.6,0.14,0.5,16.6,0.0,0,0,0.3,0.3,0.04,0.7,0.7,10.0,7.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,13.0,3.0,1.0,9.0,20.0,45.0,11.0,336.0,78.0,23.2,138.0,146.0,52.0,20.0,3.0,0.0,17.0,8.0,,19.0,1.0,1.0,1,0.0,0.0,0,0.9,-0.1,1,0,1,0,5.0,18.0,27.8,16.0,0.0,68.8,46.4,7.0,100.0,55.0,6.0,0.0,0.0,0.0,12.6,285.0,383.0,74.4,5508.0,2033.0,128.0,141.0,90.8,112.0,146.0,76.7,40.0,83.0,48.2,1,0.3,5.0,22.0,3.0,2.0,24.0,2,0,0,19.0,8.0,1.0,10.0,8.0,9.0,0.0,1.0,0,91.0,13.0,15.0,46.4,2020
6,2019-08-22,21:00,Europa Lg,Play-off round,Thu,Away,W,3,2,it Torino,,,37.0,24091.0,Conor Coady,5-3-2,Artur Soares Dias,Match Report,Leg 1 of 2,Wolverhampton Wanderers,2,7.0,3.0,42.9,0.29,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,14.0,,,,4.0,2,3.0,75.0,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,0,0,14.0,14.0,2.0,15.0,14.0,13.0,,,0,,,,,2020
7,2019-08-25,16:30,Premier League,Matchweek 3,Sun,Home,D,1,1,Burnley,1.5,1.2,65.0,30522.0,Conor Coady,3-5-2,Craig Pawson,Match Report,,Wolverhampton Wanderers,1,14.0,1.0,7.1,0.0,0.0,20.8,0.0,1,1,1.5,0.8,0.06,-0.5,-0.8,20.0,16.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,8.0,10.0,3.0,0.0,5.0,12.0,41.7,7.0,108.0,41.0,38.0,49.0,42.0,17.0,10.0,4.0,0.0,6.0,3.0,,30.0,0.0,2.0,1,1.0,50.0,0,0.8,-0.2,0,0,0,0,5.0,13.0,38.5,20.0,5.0,50.0,42.1,6.0,50.0,41.2,10.0,0.0,0.0,0.0,9.7,489.0,621.0,78.7,10244.0,3261.0,186.0,218.0,85.3,208.0,256.0,81.3,92.0,137.0,67.2,0,0.6,10.0,38.0,9.0,3.0,42.0,0,0,0,10.0,16.0,1.0,16.0,3.0,8.0,1.0,0.0,0,132.0,32.0,21.0,60.4,2020
8,2019-08-29,19:45,Europa Lg,Play-off round,Thu,Home,W,2,1,it Torino,,,42.0,29222.0,Conor Coady,3-5-2,Jesús Gil,Match Report,Leg 2 of 2; Wolves won,Wolverhampton Wanderers,2,8.0,5.0,62.5,0.25,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,12.0,,,,3.0,1,2.0,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0,0,16.0,13.0,2.0,12.0,12.0,8.0,,,0,,,,,2020
9,2019-09-01,14:00,Premier League,Matchweek 4,Sun,Away,L,2,3,Everton,1.3,1.4,42.0,39374.0,Conor Coady,3-5-2,Anthony Taylor,Match Report,,Wolverhampton Wanderers,2,8.0,5.0,62.5,0.25,0.4,13.3,0.0,0,0,1.3,1.3,0.17,0.7,0.7,10.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,15.0,14.0,8.0,0.0,4.0,13.0,30.8,9.0,139.0,42.0,30.2,55.0,63.0,21.0,22.0,7.0,0.0,15.0,10.0,,23.0,1.0,6.0,3,3.0,50.0,0,2.2,-0.8,0,0,0,0,7.0,12.0,58.3,8.0,1.0,75.0,45.5,6.0,100.0,58.7,15.0,0.0,0.0,0.0,7.7,231.0,357.0,64.7,5301.0,2275.0,77.0,96.0,80.2,94.0,128.0,73.4,55.0,121.0,45.5,1,0.4,4.0,17.0,3.0,1.0,17.0,6,1,1,11.0,12.0,2.0,11.0,10.0,15.0,0.0,0.0,0,113.0,26.0,26.0,50.0,2020
