,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2020-08-29,16:30,Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,,,40,,Pierre-Emerick Aubameyang,3-4-3,Andre Marriner,Match Report,,Arsenal,1,8,2,25.0,0.13,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,12,,,,4,1,3,75.0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,8,10,2,14,12,7,,,0,,,,,2021
1,2020-09-12,12:30,Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,1.8,0.2,55,,Pierre-Emerick Aubameyang,3-4-3,Chris Kavanagh,Match Report,,Arsenal,3,13,5,38.5,0.23,0.6,13.6,2.0,0,0,1.8,1.8,0.16,1.2,1.2,22.0,10.0,3.0,2.0,4.0,3.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,12.0,9,6.0,3.0,3.0,4.0,11.0,36.4,7.0,128.0,33.0,25.8,45.0,50.0,33.0,12.0,1.0,0.0,11.0,5,,11.0,1.0,2,0,2,100.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,100.0,28.0,2.0,0.0,18.4,4.0,25.0,23.8,9.0,1.0,11.1,1.0,16.5,595.0,671.0,88.7,12138.0,2779.0,188.0,208.0,90.4,312.0,332.0,94.0,91.0,117.0,77.8,2,1.0,8.0,38.0,10.0,3.0,33.0,2,0,0,13,14,2,14,5,9,0.0,0.0,0,63.0,4.0,6.0,40.0,2021
2,2020-09-19,20:00,Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,1.4,1.9,62,,Pierre-Emerick Aubameyang,3-4-3,Michael Oliver,Match Report,,Arsenal,2,6,3,50.0,0.33,0.67,15.3,0.0,0,0,1.4,1.4,0.23,0.6,0.6,10.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,3,2.0,3.0,1.0,1.0,8.0,12.5,7.0,91.0,26.0,28.6,21.0,38.0,32.0,19.0,7.0,0.0,12.0,6,,20.0,0.0,3,1,2,66.7,0.0,0.9,-0.1,0,0,0,0,3.0,3.0,100.0,28.0,5.0,7.1,22.3,5.0,20.0,21.0,9.0,1.0,11.1,2.0,23.2,592.0,693.0,85.4,11240.0,3025.0,245.0,276.0,88.8,265.0,299.0,88.6,79.0,110.0,71.8,2,1.3,5.0,35.0,13.0,1.0,43.0,0,0,0,12,15,5,15,6,3,0.0,0.0,0,94.0,14.0,13.0,51.9,2021
3,2020-09-23,19:45,EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,,,51,,David Luiz,3-4-3,Peter Bankes,Match Report,,Arsenal,1,10,4,40.0,0.1,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,11,,,,2,0,2,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,0,8,3,2,13,11,10,,,0,,,,,2021
4,2020-09-28,20:00,Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,1.2,3.2,33,,Pierre-Emerick Aubameyang,3-4-3,Craig Pawson,Match Report,,Arsenal,1,4,3,75.0,0.25,0.33,15.3,0.0,0,0,1.2,1.2,0.3,-0.2,-0.2,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12,10.0,8.0,1.0,3.0,9.0,33.3,6.0,182.0,41.0,22.5,71.0,87.0,24.0,22.0,7.0,0.0,15.0,9,,40.0,0.0,9,3,6,66.7,0.0,2.9,-0.1,0,0,0,0,2.0,6.0,33.3,30.0,4.0,16.7,25.4,9.0,11.1,14.9,12.0,1.0,8.3,2.0,17.8,304.0,406.0,74.9,5990.0,1568.0,110.0,136.0,80.9,153.0,178.0,86.0,36.0,79.0,45.6,0,0.8,2.0,13.0,2.0,0.0,8.0,2,0,0,11,13,5,5,9,12,0.0,0.0,0,78.0,14.0,5.0,73.7,2021
5,2020-10-01,19:45,EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,,,44,,Granit Xhaka,4-3-3,Kevin Friend,Match Report,Arsenal won on penalty kicks following normal time,Arsenal,0,6,2,33.3,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,9,,,,7,0,7,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0,0,10,14,5,8,9,14,,,0,,,,,2021
6,2020-10-04,14:00,Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,0.4,0.2,63,,Pierre-Emerick Aubameyang,4-3-3,Lee Mason,Match Report,,Arsenal,2,6,5,83.3,0.33,0.4,16.7,0.0,0,0,0.4,0.4,0.06,1.6,1.6,10.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,5,2.0,4.0,0.0,3.0,4.0,75.0,1.0,120.0,37.0,30.8,39.0,50.0,31.0,18.0,2.0,0.0,16.0,4,,20.0,1.0,2,1,1,50.0,0.0,0.6,-0.4,0,0,0,0,1.0,8.0,12.5,38.0,1.0,10.5,26.7,9.0,44.4,41.4,12.0,0.0,0.0,0.0,9.0,631.0,730.0,86.4,12616.0,2787.0,239.0,260.0,91.9,280.0,304.0,92.1,107.0,145.0,73.8,2,0.4,6.0,41.0,4.0,0.0,32.0,0,0,0,3,9,0,14,4,5,0.0,0.0,0,74.0,11.0,16.0,40.7,2021
7,2020-10-17,17:30,Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,0.9,1.5,41,,Pierre-Emerick Aubameyang,3-4-3,Chris Kavanagh,Match Report,,Arsenal,0,11,3,27.3,0.0,0.0,18.2,2.0,0,0,0.9,0.9,0.09,-0.9,-0.9,16.0,8.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,16,9.0,11.0,2.0,5.0,18.0,27.8,13.0,104.0,27.0,26.0,34.0,51.0,19.0,17.0,4.0,0.0,13.0,3,,14.0,1.0,5,1,4,80.0,0.0,1.2,0.2,0,0,0,0,6.0,13.0,46.2,45.0,4.0,24.4,25.1,4.0,50.0,42.3,5.0,0.0,0.0,1.0,16.8,400.0,473.0,84.6,7991.0,1993.0,134.0,147.0,91.2,193.0,210.0,91.9,71.0,109.0,65.1,0,0.6,7.0,17.0,5.0,3.0,18.0,1,0,0,14,16,2,7,3,16,0.0,0.0,0,72.0,13.0,17.0,43.3,2021
8,2020-10-22,18:55,Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,1.4,1.0,66,3000.0,Alexandre Lacazette,4-3-3,Pavel Královec,Match Report,,Arsenal,2,10,4,40.0,0.2,0.5,16.7,1.0,0,0,1.4,1.4,0.14,0.6,0.6,15.0,9.0,2.0,1.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,6,5.0,4.0,2.0,2.0,9.0,22.2,7.0,95.0,26.0,27.4,29.0,34.0,32.0,16.0,4.0,0.0,12.0,4,,23.0,4.0,4,1,3,75.0,0.0,0.6,-0.4,0,0,0,0,6.0,10.0,60.0,36.0,7.0,19.4,25.5,8.0,37.5,36.0,7.0,0.0,0.0,1.0,16.9,551.0,660.0,83.5,11152.0,3032.0,192.0,212.0,90.6,270.0,305.0,88.5,79.0,113.0,69.9,2,1.3,7.0,48.0,11.0,2.0,38.0,4,0,0,15,18,4,12,4,6,0.0,0.0,0,104.0,18.0,9.0,66.7,2021
9,2020-10-25,19:15,Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,0.9,1.2,57,,Pierre-Emerick Aubameyang,3-4-3,Craig Pawson,Match Report,,Arsenal,0,12,4,33.3,0.0,0.0,13.2,1.0,0,0,0.9,0.9,0.08,-0.9,-0.9,20.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,5.0,9.0,0.0,6.0,12.0,50.0,6.0,100.0,39.0,39.0,26.0,49.0,25.0,23.0,2.0,0.0,21.0,3,,9.0,0.0,3,1,2,66.7,0.0,0.8,-0.2,0,0,0,0,2.0,3.0,66.7,24.0,7.0,8.3,22.0,2.0,50.0,30.5,3.0,0.0,0.0,2.0,17.9,520.0,611.0,85.1,11179.0,2418.0,147.0,161.0,91.3,279.0,303.0,92.1,91.0,128.0,71.1,0,0.8,10.0,54.0,12.0,5.0,39.0,3,0,0,14,10,2,12,3,9,0.0,0.0,0,88.0,11.0,16.0,40.7,2021
