,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2020-09-13,16:30,Premier League,Matchweek 1,Sun,Away,W,1,0,Tottenham,1.4,1.0,49,,Séamus Coleman,4-3-3,Martin Atkinson,Match Report,,Everton,1,15,5,33.3,0.07,0.2,17.9,0.0,0,0,1.4,1.4,0.1,-0.4,-0.4,25.0,17.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,15,11.0,5.0,2.0,8.0,14.0,57.1,6.0,117.0,37.0,31.6,48.0,56.0,13.0,16.0,3.0,0.0,13.0,8,,42.0,0.0,5,0,5,100.0,1,0.6,0.6,0,0,0,0,7.0,23.0,30.4,33.0,4.0,63.6,52.9,4.0,50.0,45.8,12.0,1.0,8.3,0.0,12.6,473.0,562.0,84.2,9228.0,2794.0,194.0,214.0,90.7,202.0,221.0,91.4,70.0,108.0,64.8,1,0.7,11.0,26.0,6.0,3.0,32.0,0,0,0,10,16,1,10,8,15,0.0,0.0,0,85.0,17.0,21.0,44.7,2021
1,2020-09-16,20:15,EFL Cup,Second round,Wed,Home,W,3,0,Salford City,,,69,,Gylfi Sigurðsson,4-2-3-1,Marc Edwards,Match Report,,Everton,3,32,8,25.0,0.06,0.25,,,1,1,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,13,,,,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,0,0,13,10,1,26,13,10,,,0,,,,,2021
2,2020-09-19,12:30,Premier League,Matchweek 2,Sat,Home,W,5,2,West Brom,3.4,0.3,72,,Séamus Coleman,4-3-3,Mike Dean,Match Report,,Everton,5,16,7,43.8,0.31,0.71,11.3,1.0,0,0,3.4,3.4,0.22,1.6,1.6,23.0,12.0,6.0,1.0,2.0,2.0,0.0,7.0,3.0,1.0,1.0,2.0,0.0,0.0,15.0,14,6.0,8.0,1.0,2.0,7.0,28.6,5.0,94.0,33.0,35.1,25.0,37.0,32.0,11.0,1.0,0.0,10.0,2,,8.0,0.0,4,2,2,50.0,0,0.5,-1.5,0,0,0,0,2.0,7.0,28.6,32.0,4.0,18.8,25.3,5.0,20.0,30.0,3.0,0.0,0.0,0.0,19.0,742.0,842.0,88.1,14037.0,3738.0,287.0,307.0,93.5,351.0,375.0,93.6,86.0,126.0,68.3,3,1.9,11.0,35.0,7.0,0.0,48.0,1,0,0,12,11,2,13,2,14,0.0,0.0,0,98.0,15.0,10.0,60.0,2021
3,2020-09-23,19:45,EFL Cup,Third round,Wed,Away,W,5,2,Fleetwood Town,,,70,,Gylfi Sigurðsson,4-3-3,Jeremy Simpson,Match Report,,Everton,5,21,8,38.1,0.24,0.63,,,0,0,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,5,,,,3,2,1,33.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,0,0,8,10,1,25,5,4,,,0,,,,,2021
4,2020-09-26,15:00,Premier League,Matchweek 3,Sat,Away,W,2,1,Crystal Palace,2.0,0.4,58,,Séamus Coleman,4-3-3,Kevin Friend,Match Report,,Everton,2,9,4,44.4,0.11,0.25,16.6,1.0,1,1,2.0,1.3,0.14,0.0,-0.3,17.0,13.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,8,9.0,9.0,3.0,6.0,15.0,40.0,9.0,143.0,37.0,25.9,55.0,65.0,23.0,20.0,6.0,0.0,14.0,1,,24.0,0.0,1,1,0,0.0,0,0.7,-0.3,0,0,0,0,8.0,19.0,42.1,25.0,4.0,52.0,40.5,7.0,85.7,64.7,11.0,1.0,9.1,1.0,13.7,451.0,540.0,83.5,8963.0,2795.0,175.0,193.0,90.7,200.0,222.0,90.1,63.0,101.0,62.4,1,1.0,6.0,18.0,4.0,2.0,19.0,1,0,0,20,17,0,9,1,8,0.0,0.0,0,83.0,19.0,16.0,54.3,2021
5,2020-09-30,19:45,EFL Cup,Fourth round,Wed,Home,W,4,1,West Ham,,,52,,Gylfi Sigurðsson,4-3-3,Darren England,Match Report,,Everton,4,14,6,42.9,0.29,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,10,,,,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0,0,0,5,4,1,18,10,12,,,0,,,,,2021
6,2020-10-03,15:00,Premier League,Matchweek 4,Sat,Home,W,4,2,Brighton,1.8,1.2,44,,Séamus Coleman,4-3-3,Simon Hooper,Match Report,,Everton,4,11,6,54.5,0.36,0.67,16.3,0.0,0,0,1.8,1.8,0.16,2.2,2.2,18.0,13.0,3.0,0.0,0.0,2.0,0.0,8.0,5.0,2.0,0.0,0.0,1.0,0.0,20.0,12,9.0,10.0,1.0,4.0,19.0,21.1,15.0,192.0,42.0,21.9,92.0,63.0,37.0,24.0,6.0,0.0,18.0,4,,14.0,0.0,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,4.0,16.0,25.0,23.0,3.0,52.2,41.2,8.0,50.0,46.3,12.0,2.0,16.7,0.0,10.9,417.0,494.0,84.4,7799.0,2435.0,172.0,188.0,91.5,181.0,196.0,92.3,54.0,87.0,62.1,4,1.7,10.0,21.0,10.0,4.0,24.0,0,0,0,14,15,0,11,4,12,0.0,0.0,0,94.0,10.0,4.0,71.4,2021
7,2020-10-17,12:30,Premier League,Matchweek 5,Sat,Home,D,2,2,Liverpool,1.3,2.2,43,,Séamus Coleman,4-3-3,Michael Oliver,Match Report,,Everton,2,11,5,45.5,0.18,0.4,15.5,0.0,0,0,1.3,1.3,0.12,0.7,0.7,20.0,17.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,11.0,8,7.0,4.0,0.0,8.0,22.0,36.4,14.0,168.0,49.0,29.2,61.0,89.0,18.0,14.0,5.0,0.0,9.0,2,,26.0,1.0,8,2,6,75.0,0,2.7,0.7,0,0,0,0,12.0,32.0,37.5,26.0,4.0,73.1,54.2,13.0,100.0,77.5,10.0,0.0,0.0,0.0,12.6,307.0,410.0,74.9,6606.0,2623.0,130.0,156.0,83.3,104.0,128.0,81.3,69.0,116.0,59.5,2,1.2,9.0,23.0,5.0,3.0,22.0,3,1,0,20,10,2,14,2,8,0.0,0.0,0,102.0,27.0,9.0,75.0,2021
8,2020-10-25,14:00,Premier League,Matchweek 6,Sun,Away,L,0,2,Southampton,0.4,0.7,46,,Gylfi Sigurðsson,4-3-3,Kevin Friend,Match Report,,Everton,0,6,2,33.3,0.0,0.0,19.5,1.0,0,0,0.4,0.4,0.06,-0.4,-0.4,10.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13,6.0,10.0,1.0,11.0,25.0,44.0,14.0,213.0,52.0,24.4,55.0,116.0,42.0,17.0,2.0,0.0,15.0,8,,15.0,0.0,6,2,4,66.7,0,1.3,-0.7,0,0,0,0,3.0,7.0,42.9,17.0,0.0,41.2,32.2,6.0,0.0,22.2,5.0,0.0,0.0,0.0,9.0,446.0,532.0,83.8,9022.0,2517.0,158.0,180.0,87.8,213.0,239.0,89.1,68.0,95.0,71.6,0,0.3,4.0,34.0,8.0,1.0,35.0,2,1,0,11,13,1,13,8,13,0.0,0.0,0,83.0,9.0,6.0,60.0,2021
9,2020-11-01,14:00,Premier League,Matchweek 7,Sun,Away,L,1,2,Newcastle Utd,1.2,2.5,62,,Gylfi Sigurðsson,4-3-2-1,Stuart Attwell,Match Report,,Everton,1,15,4,26.7,0.07,0.25,18.0,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,28.0,21.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,9,7.0,9.0,4.0,1.0,10.0,10.0,9.0,124.0,31.0,25.0,33.0,52.0,39.0,17.0,3.0,0.0,14.0,1,,19.0,0.0,3,2,2,66.7,0,2.4,0.4,1,1,0,0,6.0,7.0,85.7,17.0,3.0,41.2,35.0,3.0,0.0,19.3,3.0,0.0,0.0,0.0,,577.0,657.0,87.8,10890.0,3043.0,225.0,245.0,91.8,273.0,300.0,91.0,69.0,89.0,77.5,0,0.8,13.0,52.0,7.0,1.0,32.0,4,0,0,13,9,0,14,1,9,0.0,1.0,0,83.0,13.0,2.0,86.7,2021
