,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2020-09-12,17:30,Premier League,Matchweek 1,Sat,Away,L,3,4,Liverpool,0.6,3.3,50,,Luke Ayling,4-1-4-1,Michael Oliver,Match Report,,Leeds United,3,6,3,50.0,0.5,1.0,17.5,1.0,0,0,0.6,0.6,0.09,2.4,2.4,6.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,32.0,18,21.0,8.0,3.0,10.0,34.0,29.4,24.0,209.0,61.0,29.2,85.0,97.0,27.0,30.0,13.0,0.0,17.0,7,,42.0,1.0,4,4,2,50.0,0,3.7,-0.3,2,2,0,0,7.0,20.0,35.0,47.0,10.0,27.7,30.9,12.0,58.3,42.8,6.0,0.0,0.0,2.0,13.1,373.0,493.0,75.7,7293.0,2433.0,151.0,181.0,83.4,155.0,188.0,82.4,61.0,107.0,57.0,2,0.3,3.0,17.0,5.0,2.0,21.0,0,0,0,8,9,5,8,7,18,0.0,2.0,0,100.0,11.0,17.0,39.3,2021
1,2020-09-16,19:45,EFL Cup,Second round,Wed,Home,D,1 (8),1 (9),Hull City,,,65,,Kiko Casilla,4-1-4-1,David Webb,Match Report,Hull City won on penalty kicks following normal time,Leeds United,1,8,2,25.0,0.13,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,15,,,,7,1,6,85.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,0,15,16,2,15,15,13,,,0,,,,,2021
2,2020-09-19,15:00,Premier League,Matchweek 2,Sat,Home,W,4,3,Fulham,1.7,1.8,51,,Liam Cooper,4-1-4-1,Anthony Taylor,Match Report,,Leeds United,4,9,6,66.7,0.33,0.5,16.1,1.0,1,1,1.7,1.0,0.11,2.3,2.0,14.0,8.0,2.0,1.0,0.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,27.0,19,12.0,10.0,5.0,5.0,22.0,22.7,17.0,195.0,69.0,35.4,65.0,84.0,46.0,12.0,3.0,0.0,9.0,3,,10.0,0.0,5,3,3,60.0,0,2.0,-1.0,1,1,0,0,11.0,16.0,68.8,30.0,4.0,43.3,35.9,9.0,33.3,30.1,11.0,0.0,0.0,0.0,12.5,356.0,488.0,73.0,6582.0,2565.0,147.0,173.0,85.0,141.0,177.0,79.7,52.0,94.0,55.3,2,0.8,6.0,17.0,7.0,2.0,25.0,1,0,0,15,18,3,13,3,19,1.0,1.0,0,111.0,17.0,14.0,54.8,2021
3,2020-09-27,12:00,Premier League,Matchweek 3,Sun,Away,W,1,0,Sheffield Utd,1.6,1.6,63,,Liam Cooper,3-5-2,Paul Tierney,Match Report,,Leeds United,1,18,9,50.0,0.06,0.11,18.1,0.0,0,0,1.6,1.6,0.09,-0.6,-0.6,33.0,27.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,13,9.0,4.0,1.0,4.0,13.0,30.8,9.0,148.0,56.0,37.8,60.0,63.0,25.0,21.0,5.0,0.0,16.0,5,,14.0,0.0,3,0,3,100.0,1,0.8,0.8,0,0,0,0,3.0,6.0,50.0,35.0,11.0,14.3,25.3,6.0,16.7,27.3,5.0,0.0,0.0,2.0,14.7,511.0,628.0,81.4,10301.0,3177.0,184.0,214.0,86.0,231.0,257.0,89.9,82.0,128.0,64.1,1,1.4,16.0,26.0,11.0,3.0,45.0,1,0,0,7,17,1,15,5,13,0.0,0.0,0,114.0,26.0,23.0,53.1,2021
4,2020-10-03,17:30,Premier League,Matchweek 4,Sat,Home,D,1,1,Manchester City,1.7,1.5,52,,Liam Cooper,4-5-1,Mike Dean,Match Report,,Leeds United,1,12,7,58.3,0.08,0.14,11.6,0.0,0,0,1.7,1.7,0.14,-0.7,-0.7,20.0,16.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,21,20.0,11.0,1.0,18.0,47.0,38.3,29.0,221.0,62.0,28.1,96.0,91.0,34.0,24.0,8.0,0.0,16.0,4,,14.0,0.0,1,1,0,0.0,0,0.6,-0.4,0,0,0,0,11.0,23.0,47.8,43.0,7.0,41.9,33.3,14.0,35.7,31.9,6.0,2.0,33.3,0.0,13.5,375.0,465.0,80.6,7388.0,2610.0,145.0,159.0,91.2,174.0,199.0,87.4,54.0,96.0,56.3,0,1.0,9.0,22.0,8.0,1.0,30.0,2,0,0,16,15,2,10,4,21,0.0,0.0,0,67.0,5.0,17.0,22.7,2021
5,2020-10-19,20:00,Premier League,Matchweek 5,Mon,Home,L,0,1,Wolves,1.6,0.5,66,,Luke Ayling,4-1-4-1,David Coote,Match Report,,Leeds United,0,13,2,15.4,0.0,0.0,12.0,0.0,0,0,1.6,1.6,0.12,-1.6,-1.6,20.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,9.0,6.0,1.0,11.0,29.0,37.9,18.0,124.0,37.0,29.8,37.0,55.0,32.0,10.0,4.0,0.0,6.0,9,,11.0,0.0,3,1,2,66.7,0,2.1,1.1,0,0,0,0,3.0,5.0,60.0,25.0,5.0,16.0,24.5,6.0,16.7,19.2,3.0,0.0,0.0,1.0,24.5,494.0,611.0,80.9,10220.0,3277.0,182.0,209.0,87.1,220.0,256.0,85.9,85.0,123.0,69.1,0,1.3,10.0,42.0,19.0,5.0,58.0,2,0,0,15,11,1,23,9,9,0.0,0.0,0,103.0,8.0,17.0,32.0,2021
6,2020-10-23,20:00,Premier League,Matchweek 6,Fri,Away,W,3,0,Aston Villa,3.6,1.2,59,,Luke Ayling,4-4-1-1,Paul Tierney,Match Report,,Leeds United,3,28,9,32.1,0.11,0.33,16.3,1.0,0,0,3.6,3.6,0.13,-0.6,-0.6,46.0,39.0,1.0,2.0,3.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,16.0,11,5.0,7.0,4.0,1.0,14.0,7.1,13.0,140.0,45.0,32.1,45.0,64.0,31.0,19.0,5.0,1.0,14.0,3,,15.0,0.0,3,0,3,100.0,1,0.5,0.5,0,0,0,0,7.0,13.0,53.8,23.0,7.0,43.5,35.8,6.0,50.0,41.8,0.0,0.0,,0.0,10.9,378.0,481.0,78.6,7259.0,2913.0,175.0,201.0,87.1,143.0,165.0,86.7,55.0,98.0,56.1,2,2.5,22.0,29.0,16.0,6.0,47.0,2,0,0,23,17,0,24,3,11,0.0,0.0,0,106.0,16.0,22.0,42.1,2021
7,2020-11-02,20:00,Premier League,Matchweek 7,Mon,Home,L,1,4,Leicester City,1.0,3.5,67,,Liam Cooper,4-1-4-1,Andre Marriner,Match Report,,Leeds United,1,11,5,45.5,0.09,0.2,17.9,0.0,0,0,1.0,1.0,0.09,0.0,0.0,16.0,10.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,18,10.0,7.0,6.0,9.0,16.0,56.3,7.0,116.0,48.0,41.4,37.0,49.0,30.0,8.0,2.0,0.0,6.0,4,,9.0,1.0,7,4,4,57.1,0,3.9,-0.1,1,1,0,0,1.0,2.0,50.0,17.0,5.0,11.8,24.6,2.0,0.0,23.0,6.0,0.0,0.0,0.0,8.2,581.0,692.0,84.0,11305.0,3034.0,230.0,259.0,88.8,263.0,291.0,90.4,80.0,125.0,64.0,1,0.9,8.0,53.0,9.0,0.0,53.0,1,0,0,10,10,2,12,4,18,0.0,1.0,0,106.0,14.0,6.0,70.0,2021
8,2020-11-07,15:00,Premier League,Matchweek 8,Sat,Away,L,1,4,Crystal Palace,0.8,0.9,64,,Liam Cooper,3-5-1-1,Chris Kavanagh,Match Report,,Leeds United,1,9,3,33.3,0.11,0.33,17.4,1.0,0,0,0.8,0.8,0.09,0.2,0.2,14.0,10.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,20,14.0,13.0,5.0,8.0,18.0,44.4,10.0,201.0,78.0,38.8,60.0,85.0,56.0,15.0,2.0,0.0,13.0,3,,6.0,0.0,6,4,3,33.3,0,1.8,-1.2,0,0,0,0,3.0,4.0,75.0,24.0,7.0,12.5,23.3,5.0,20.0,18.2,4.0,0.0,0.0,0.0,11.8,521.0,645.0,80.8,10183.0,2942.0,191.0,220.0,86.8,242.0,274.0,88.3,75.0,120.0,62.5,1,0.7,7.0,48.0,11.0,1.0,50.0,2,0,0,19,10,1,12,3,20,0.0,0.0,1,114.0,20.0,15.0,57.1,2021
9,2020-11-22,16:30,Premier League,Matchweek 9,Sun,Home,D,0,0,Arsenal,2.5,0.9,65,,Liam Cooper,4-1-4-1,Anthony Taylor,Match Report,,Leeds United,0,25,4,16.0,0.0,0.0,17.0,0.0,0,0,2.5,2.5,0.1,-2.5,-2.5,37.0,30.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9,6.0,6.0,6.0,2.0,16.0,12.5,14.0,142.0,44.0,31.0,38.0,66.0,38.0,10.0,2.0,0.0,8.0,17,,15.0,0.0,2,0,2,100.0,1,0.6,0.6,0,0,0,0,2.0,6.0,33.3,15.0,2.0,20.0,28.3,5.0,60.0,38.2,4.0,0.0,0.0,2.0,32.5,540.0,648.0,83.3,10485.0,3021.0,199.0,218.0,91.3,272.0,315.0,86.3,67.0,104.0,64.4,0,1.8,17.0,52.0,14.0,3.0,59.0,3,0,0,14,10,0,21,17,9,0.0,0.0,0,94.0,14.0,12.0,53.8,2021
