,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2020-08-29,16:30,Community Shield,FA Community Shield,Sat,Neutral,D,1 (4),1 (5),Arsenal,,,60,,James Milner,4-3-3,Andre Marriner,Match Report,,Liverpool,1,15,4,26.7,0.07,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,11,,,,2,1,1,50.0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,0,10,8,1,24,11,5,,,0,,,,,2021
1,2020-09-12,17:30,Premier League,Matchweek 1,Sat,Home,W,4,3,Leeds United,3.3,0.6,50,,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,Liverpool,4,20,4,20.0,0.1,0.5,17.0,0.0,2,2,3.3,1.8,0.09,0.7,0.2,28.0,20.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,13.0,7,4.0,6.0,3.0,2.0,13.0,15.4,11.0,174.0,58.0,33.3,32.0,64.0,78.0,14.0,2.0,0.0,12.0,7,,19.0,1.0,3,3,0,0.0,0.0,2.1,-0.9,0,0,0,0,2.0,12.0,16.7,26.0,5.0,34.6,34.7,3.0,100.0,76.3,6.0,0.0,0.0,0.0,15.3,366.0,486.0,75.3,6779.0,2923.0,143.0,162.0,88.3,166.0,195.0,85.1,42.0,96.0,43.8,1,1.5,14.0,35.0,17.0,0.0,58.0,1,0,0,9,7,2,11,7,7,1.0,0.0,0,131.0,17.0,11.0,60.7,2021
2,2020-09-20,16:30,Premier League,Matchweek 2,Sun,Away,W,2,0,Chelsea,2.6,1.0,61,,Jordan Henderson,4-3-3,Paul Tierney,Match Report,,Liverpool,2,17,5,29.4,0.12,0.4,17.7,1.0,0,0,2.6,2.6,0.16,-0.6,-0.6,26.0,17.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,19.0,15,4.0,8.0,7.0,10.0,27.0,37.0,17.0,152.0,57.0,37.5,14.0,64.0,74.0,13.0,0.0,0.0,13.0,7,,5.0,0.0,2,0,2,100.0,1.0,1.0,1.0,1,0,1,0,2.0,2.0,100.0,22.0,5.0,9.1,24.4,2.0,0.0,26.5,2.0,0.0,0.0,0.0,15.5,705.0,807.0,87.4,13908.0,3681.0,266.0,296.0,89.9,319.0,341.0,93.5,112.0,149.0,75.2,1,1.2,12.0,70.0,14.0,0.0,58.0,0,0,0,8,12,1,15,7,15,0.0,1.0,0,94.0,2.0,10.0,16.7,2021
3,2020-09-24,19:45,EFL Cup,Third round,Thu,Away,W,7,2,Lincoln City,,,72,,Virgil van Dijk,4-4-2◆,Tony Harrington,Match Report,,Liverpool,7,23,12,52.2,0.3,0.58,,,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,14,,,,7,2,5,71.4,0.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0,0,0,16,11,0,24,14,6,,,0,,,,,2021
4,2020-09-28,20:00,Premier League,Matchweek 3,Mon,Home,W,3,1,Arsenal,3.2,1.2,67,,Virgil van Dijk,4-3-3,Craig Pawson,Match Report,,Liverpool,3,21,9,42.9,0.14,0.33,16.8,0.0,0,0,3.2,3.2,0.16,-0.2,-0.2,32.0,24.0,1.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0,9,2.0,8.0,2.0,4.0,8.0,50.0,4.0,137.0,40.0,29.2,17.0,46.0,74.0,9.0,0.0,0.0,9.0,7,,14.0,1.0,3,1,2,66.7,0.0,1.7,0.7,0,0,0,0,6.0,10.0,60.0,38.0,1.0,23.7,31.3,3.0,33.3,32.3,4.0,0.0,0.0,2.0,23.5,707.0,811.0,87.2,14375.0,4050.0,249.0,274.0,90.9,357.0,385.0,92.7,95.0,134.0,70.9,1,1.4,14.0,48.0,14.0,4.0,56.0,2,0,0,13,10,0,15,7,9,0.0,0.0,0,100.0,5.0,14.0,26.3,2021
5,2020-10-01,19:45,EFL Cup,Fourth round,Thu,Home,D,0 (4),0 (5),Arsenal,,,57,,James Milner,4-3-3,Kevin Friend,Match Report,Arsenal won on penalty kicks following normal time,Liverpool,0,16,7,43.8,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,13,,,,2,0,2,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0,0,15,9,3,23,13,6,,,0,,,,,2021
6,2020-10-04,19:15,Premier League,Matchweek 4,Sun,Away,L,2,7,Aston Villa,1.8,3.9,69,,Virgil van Dijk,4-3-3,Martin Atkinson,Match Report,,Liverpool,2,14,8,57.1,0.14,0.25,15.8,1.0,0,0,1.8,1.8,0.13,0.2,0.2,21.0,18.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,9,6.0,10.0,5.0,8.0,23.0,34.8,15.0,149.0,45.0,30.2,41.0,68.0,40.0,16.0,8.0,0.0,8.0,4,,13.0,3.0,11,7,4,36.4,0.0,5.6,-1.4,0,0,0,0,4.0,8.0,50.0,29.0,9.0,17.2,27.7,5.0,60.0,43.2,6.0,0.0,0.0,0.0,13.9,564.0,674.0,83.7,11076.0,3458.0,245.0,266.0,92.1,236.0,267.0,88.4,77.0,117.0,65.8,1,1.4,11.0,42.0,13.0,3.0,51.0,1,0,0,11,8,1,12,4,9,0.0,0.0,0,101.0,16.0,14.0,53.3,2021
7,2020-10-17,12:30,Premier League,Matchweek 5,Sat,Away,D,2,2,Everton,2.2,1.3,57,,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,Liverpool,2,22,8,36.4,0.09,0.25,15.0,1.0,0,0,2.2,2.2,0.11,-0.2,-0.2,32.0,21.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,15,7.0,14.0,3.0,7.0,12.0,58.3,5.0,139.0,42.0,30.2,41.0,63.0,35.0,9.0,2.0,0.0,7.0,3,,9.0,0.0,5,2,3,60.0,0.0,1.6,-0.4,0,0,0,0,5.0,17.0,29.4,19.0,5.0,68.4,48.7,9.0,44.4,36.2,12.0,2.0,16.7,0.0,9.8,442.0,551.0,80.2,8788.0,3116.0,162.0,180.0,90.0,206.0,236.0,87.3,57.0,109.0,52.3,1,1.3,13.0,35.0,13.0,3.0,54.0,2,0,0,11,19,3,16,3,15,0.0,0.0,0,112.0,9.0,27.0,25.0,2021
8,2020-10-21,21:00,Champions Lg,Group stage,Wed,Away,W,1,0,nl Ajax,1.8,1.4,52,,James Milner,4-3-3,Felix Brych,Match Report,,Liverpool,0,16,6,37.5,0.0,0.0,15.2,0.0,0,0,1.8,1.8,0.12,-1.8,-1.8,21.0,14.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10,10.0,2.0,3.0,2.0,16.0,12.5,14.0,167.0,66.0,39.5,41.0,77.0,49.0,24.0,3.0,1.0,21.0,5,,24.0,0.0,3,0,3,100.0,1.0,1.4,1.4,0,0,0,0,11.0,23.0,47.8,27.0,3.0,63.0,40.5,8.0,75.0,49.3,15.0,2.0,13.3,0.0,10.5,437.0,583.0,75.0,9197.0,3244.0,167.0,201.0,83.1,181.0,223.0,81.2,85.0,138.0,61.6,0,1.5,12.0,36.0,12.0,0.0,57.0,2,0,0,8,10,1,13,5,10,0.0,0.0,0,148.0,13.0,19.0,40.6,2021
9,2020-10-24,20:00,Premier League,Matchweek 6,Sat,Home,W,2,1,Sheffield Utd,2.5,1.5,61,,Jordan Henderson,4-2-3-1,Mike Dean,Match Report,,Liverpool,2,17,5,29.4,0.12,0.4,18.2,1.0,0,0,2.5,2.5,0.16,-0.5,-0.5,26.0,21.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,9,7.0,3.0,1.0,2.0,10.0,20.0,8.0,106.0,39.0,36.8,45.0,25.0,36.0,21.0,5.0,0.0,16.0,4,,33.0,0.0,1,1,1,100.0,0.0,0.9,-0.1,1,1,0,0,4.0,14.0,28.6,27.0,1.0,37.0,35.1,8.0,50.0,47.1,9.0,0.0,0.0,0.0,13.0,590.0,698.0,84.5,12194.0,3525.0,215.0,240.0,89.6,273.0,302.0,90.4,98.0,138.0,71.0,1,1.7,12.0,49.0,9.0,2.0,61.0,0,0,0,8,22,2,11,4,9,0.0,1.0,0,111.0,19.0,40.0,32.2,2021
10,2020-10-27,20:00,Champions Lg,Group stage,Tue,Home,W,2,0,dk Midtjylland,2.4,0.8,63,,Jordan Henderson,4-3-3,Paweł Raczkowski,Match Report,,Liverpool,2,8,1,12.5,0.13,1.0,15.2,0.0,1,1,2.4,1.6,0.21,-0.4,-0.6,14.0,10.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,12.0,10,2.0,9.0,1.0,2.0,10.0,20.0,8.0,104.0,41.0,39.4,18.0,68.0,18.0,17.0,0.0,0.0,17.0,4,,10.0,0.0,1,0,1,100.0,1.0,0.2,0.2,0,0,0,0,5.0,13.0,38.5,30.0,3.0,30.0,34.1,10.0,40.0,38.1,7.0,0.0,0.0,2.0,15.3,548.0,652.0,84.0,11412.0,3187.0,192.0,223.0,86.1,253.0,273.0,92.7,100.0,147.0,68.0,1,1.6,7.0,30.0,8.0,0.0,36.0,1,0,0,12,13,1,7,4,10,1.0,0.0,0,104.0,19.0,17.0,52.8,2021
11,2020-10-31,17:30,Premier League,Matchweek 7,Sat,Home,W,2,1,West Ham,1.8,0.5,73,,Jordan Henderson,4-3-3,Kevin Friend,Match Report,,Liverpool,2,8,2,25.0,0.13,0.5,18.6,1.0,1,1,1.8,1.1,0.13,0.2,-0.1,18.0,12.0,1.0,1.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,9,4.0,4.0,3.0,4.0,13.0,30.8,9.0,90.0,35.0,38.9,16.0,35.0,39.0,8.0,1.0,0.0,7.0,1,,13.0,1.0,3,1,2,66.7,0.0,0.9,-0.1,0,0,0,0,2.0,6.0,33.3,17.0,5.0,29.4,34.6,3.0,33.3,38.7,9.0,0.0,0.0,1.0,14.7,759.0,866.0,87.6,14526.0,3674.0,291.0,311.0,93.6,357.0,390.0,91.5,100.0,139.0,71.9,1,1.0,7.0,78.0,13.0,1.0,60.0,0,0,0,16,15,1,10,1,9,1.0,0.0,0,107.0,20.0,19.0,51.3,2021
