,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2020-09-13,16:30,Premier League,Matchweek 1,Sun,Home,L,0,1,Everton,1.0,1.4,51.0,,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,Tottenham Hotspur,0.0,10.0,5.0,50.0,0.0,0.0,11.6,0.0,0.0,0.0,1.0,1.0,0.1,-1.0,-1.0,17.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,6.0,1.0,3.0,15.0,20.0,12.0,220.0,43.0,19.5,40.0,97.0,83.0,11.0,4.0,0.0,7.0,2.0,,30.0,0.0,5.0,1.0,4.0,80.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,4.0,7.0,57.1,22.0,7.0,22.7,27.7,8.0,25.0,32.1,8.0,0.0,0.0,2.0,21.5,486.0,580.0,83.8,9517.0,2926.0,185.0,208.0,88.9,220.0,245.0,89.8,74.0,110.0,67.3,0.0,0.8,8.0,47.0,10.0,3.0,41.0,1.0,0.0,0.0,17.0,10.0,0.0,15.0,2.0,3.0,0.0,0.0,0.0,73.0,21.0,17.0,55.3,2021
1,2020-09-17,19:00,Europa Lg,Second qualifying round,Thu,Away,W,2,1,bg Loko Plovdiv,,,,,Hugo Lloris,4-2-3-1,Harm Osmers,Match Report,,Tottenham Hotspur,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,2021
2,2020-09-20,12:00,Premier League,Matchweek 2,Sun,Away,W,5,2,Southampton,2.5,1.5,49.0,,Hugo Lloris,4-3-3,David Coote,Match Report,,Tottenham Hotspur,5.0,9.0,6.0,66.7,0.56,0.83,17.5,0.0,0.0,0.0,2.5,2.5,0.28,2.5,2.5,17.0,13.0,1.0,2.0,1.0,0.0,0.0,9.0,7.0,0.0,1.0,1.0,0.0,0.0,13.0,8.0,7.0,4.0,2.0,3.0,12.0,25.0,9.0,118.0,28.0,23.7,40.0,54.0,24.0,14.0,2.0,0.0,12.0,2.0,,18.0,0.0,5.0,2.0,4.0,80.0,0.0,1.8,-0.2,1.0,1.0,0.0,0.0,2.0,7.0,28.6,17.0,4.0,29.4,30.9,9.0,22.2,27.0,5.0,0.0,0.0,1.0,23.0,336.0,462.0,72.7,6291.0,2118.0,146.0,178.0,82.0,133.0,167.0,79.6,48.0,89.0,53.9,4.0,1.7,8.0,22.0,4.0,1.0,27.0,3.0,0.0,0.0,20.0,21.0,6.0,4.0,2.0,8.0,0.0,1.0,0.0,99.0,25.0,12.0,67.6,2021
3,2020-09-22,18:00,EFL Cup,Third round,Tue,Away,W,3,0,Leyton Orient,,,,,,,Gavin Ward,Match Report,Match awarded to Tottenham,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
4,2020-09-24,20:00,Europa Lg,Third qualifying round,Thu,Away,W,3,1,mk Shkëndija 79,,,,,Toby Alderweireld,4-3-3,Ali Palabıyık,Match Report,,Tottenham Hotspur,3.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,2021
5,2020-09-27,14:00,Premier League,Matchweek 3,Sun,Home,D,1,1,Newcastle Utd,2.3,1.0,66.0,,Hugo Lloris,4-2-3-1,Peter Bankes,Match Report,,Tottenham Hotspur,1.0,23.0,11.0,47.8,0.04,0.09,14.1,2.0,0.0,0.0,2.3,2.3,0.1,-1.3,-1.3,34.0,23.0,5.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,5.0,5.0,1.0,3.0,10.0,30.0,7.0,131.0,33.0,25.2,39.0,49.0,43.0,8.0,3.0,0.0,5.0,3.0,,28.0,0.0,0.0,1.0,0.0,,0.0,0.9,-0.1,1.0,1.0,0.0,0.0,2.0,4.0,50.0,10.0,2.0,40.0,31.6,3.0,0.0,19.3,7.0,0.0,0.0,0.0,11.0,590.0,678.0,87.0,10980.0,3093.0,267.0,292.0,91.4,235.0,263.0,89.4,83.0,107.0,77.6,1.0,1.5,13.0,52.0,11.0,3.0,46.0,1.0,0.0,0.0,15.0,8.0,0.0,10.0,3.0,4.0,0.0,1.0,0.0,96.0,31.0,20.0,60.8,2021
6,2020-09-29,19:45,EFL Cup,Fourth round,Tue,Home,D,1 (5),1 (4),Chelsea,,,37.0,,Hugo Lloris,3-5-2,Lee Mason,Match Report,Tottenham won on penalty kicks following normal time,Tottenham Hotspur,1.0,11.0,3.0,27.3,0.09,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,16.0,,,,3.0,1.0,2.0,66.7,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,0.0,0.0,11.0,13.0,1.0,13.0,16.0,8.0,,,0.0,,,,,2021
7,2020-10-01,20:00,Europa Lg,Play-off round,Thu,Home,W,7,2,il Maccabi Haifa,,,53.0,,Harry Kane,4-2-3-1,Ruddy Buquet,Match Report,,Tottenham Hotspur,7.0,23.0,13.0,56.5,0.22,0.38,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,15.0,,,,5.0,2.0,4.0,80.0,0.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.0,0.0,0.0,8.0,6.0,0.0,12.0,15.0,11.0,,,0.0,,,,,2021
8,2020-10-04,16:30,Premier League,Matchweek 4,Sun,Away,W,6,1,Manchester Utd,3.8,0.9,62.0,,Hugo Lloris,4-3-3,Anthony Taylor,Match Report,,Tottenham Hotspur,6.0,21.0,7.0,33.3,0.24,0.71,15.8,1.0,1.0,1.0,3.8,3.1,0.15,2.2,1.9,40.0,27.0,3.0,2.0,3.0,3.0,2.0,11.0,6.0,1.0,1.0,0.0,2.0,1.0,23.0,12.0,11.0,5.0,7.0,7.0,24.0,29.2,17.0,164.0,48.0,29.3,54.0,71.0,39.0,16.0,1.0,0.0,15.0,9.0,,15.0,0.0,1.0,1.0,1.0,100.0,0.0,0.4,-0.6,1.0,1.0,0.0,0.0,1.0,7.0,14.3,20.0,1.0,30.0,32.9,4.0,25.0,24.0,5.0,0.0,0.0,0.0,9.2,625.0,694.0,90.1,11989.0,3221.0,252.0,272.0,92.6,271.0,281.0,96.4,92.0,118.0,78.0,4.0,2.0,15.0,36.0,6.0,1.0,44.0,1.0,0.0,0.0,17.0,15.0,0.0,7.0,9.0,12.0,1.0,1.0,0.0,78.0,9.0,11.0,45.0,2021
9,2020-10-18,16:30,Premier League,Matchweek 5,Sun,Home,D,3,3,West Ham,1.2,2.1,51.0,,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,,Tottenham Hotspur,3.0,11.0,6.0,54.5,0.27,0.5,19.1,1.0,0.0,0.0,1.2,1.2,0.11,1.8,1.8,21.0,16.0,0.0,4.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,26.0,16.0,15.0,10.0,1.0,13.0,28.0,46.4,15.0,150.0,48.0,32.0,78.0,53.0,19.0,21.0,5.0,0.0,16.0,2.0,,31.0,0.0,4.0,3.0,2.0,25.0,0.0,1.1,-0.9,0.0,0.0,0.0,0.0,11.0,21.0,52.4,27.0,3.0,59.3,44.1,8.0,62.5,46.0,14.0,1.0,7.1,1.0,13.0,422.0,521.0,81.0,8092.0,2957.0,170.0,186.0,91.4,167.0,194.0,86.1,66.0,107.0,61.7,3.0,1.2,9.0,27.0,6.0,3.0,27.0,0.0,0.0,0.0,13.0,14.0,1.0,9.0,2.0,16.0,0.0,0.0,1.0,99.0,15.0,18.0,45.5,2021
