,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2020-09-13,14:00,Premier League,Matchweek 1,Sun,Home,L,0,3,Leicester City,0.5,2.2,37,,Jake Livermore,3-4-3,Anthony Taylor,Match Report,,West Bromwich Albion,0,7,1,14.3,0.0,0.0,17.1,1.0,0,0,0.5,0.5,0.07,-0.5,-0.5,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10,7.0,5.0,2.0,4.0,10.0,40.0,6.0,113.0,28.0,24.8,27.0,53.0,33.0,16.0,3.0,0.0,13.0,6,,20.0,0.0,5,3,4,80.0,0,3.0,0.0,2,2,0,0,8.0,22.0,36.4,26.0,3.0,61.5,48.8,6.0,100.0,63.5,6.0,0.0,0.0,0.0,13.3,267.0,360.0,74.2,5572.0,2112.0,110.0,132.0,83.3,107.0,131.0,81.7,45.0,86.0,52.3,0,0.3,4.0,19.0,4.0,0.0,19.0,1,0,0,12,10,4,8,6,10,0.0,2.0,0,86.0,14.0,9.0,60.9,2021
1,2020-09-16,18:00,EFL Cup,Second round,Wed,Home,W,3,0,Harrogate,,,58,,Hal Robson-Kanu,4-4-2,Thomas Bramall,Match Report,,West Bromwich Albion,3,14,6,42.9,0.21,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,14,,,,3,0,3,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,0,0,8,13,0,14,14,7,,,0,,,,,2021
2,2020-09-19,12:30,Premier League,Matchweek 2,Sat,Away,L,2,5,Everton,0.3,3.4,28,,Jake Livermore,3-4-3,Mike Dean,Match Report,,West Bromwich Albion,2,6,4,66.7,0.33,0.5,22.1,1.0,0,0,0.3,0.3,0.05,1.7,1.7,10.0,8.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,19.0,9,10.0,7.0,2.0,7.0,15.0,46.7,8.0,105.0,25.0,23.8,41.0,45.0,19.0,18.0,3.0,0.0,15.0,6,,24.0,2.0,7,5,2,28.6,0,4.1,-0.9,0,0,0,0,6.0,21.0,28.6,23.0,7.0,60.9,46.4,8.0,87.5,55.0,7.0,0.0,0.0,0.0,13.9,257.0,333.0,77.2,4504.0,1697.0,117.0,127.0,92.1,96.0,109.0,88.1,29.0,69.0,42.0,1,0.2,4.0,16.0,4.0,1.0,16.0,0,1,0,12,11,1,5,6,9,0.0,0.0,0,78.0,10.0,15.0,40.0,2021
3,2020-09-22,19:00,EFL Cup,Third round,Tue,Home,D,2 (4),2 (5),Brentford,,,51,,Hal Robson-Kanu,4-2-3-1,Darren England,Match Report,Brentford won on penalty kicks following normal time,West Bromwich Albion,2,13,7,53.8,0.0,0.0,,,2,2,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,20,,,,2,2,1,50.0,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,0,13,12,2,16,20,9,,,0,,,,,2021
4,2020-09-26,17:30,Premier League,Matchweek 3,Sat,Home,D,3,3,Chelsea,1.0,2.2,25,,Jake Livermore,3-4-3,Jonathan Moss,Match Report,,West Bromwich Albion,3,9,3,33.3,0.33,1.0,20.5,0.0,0,0,1.0,1.0,0.11,2.0,2.0,13.0,10.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,16.0,11,11.0,5.0,0.0,4.0,8.0,50.0,4.0,170.0,39.0,22.9,91.0,56.0,23.0,30.0,10.0,0.0,20.0,5,,39.0,0.0,11,3,8,72.7,0,3.8,0.8,0,0,0,0,9.0,26.0,34.6,21.0,1.0,100.0,59.7,7.0,71.4,50.0,15.0,1.0,6.7,0.0,12.3,182.0,280.0,65.0,3696.0,1624.0,80.0,95.0,84.2,63.0,82.0,76.8,34.0,87.0,39.1,2,0.7,7.0,16.0,2.0,1.0,19.0,1,0,0,9,17,1,11,5,11,0.0,0.0,0,84.0,8.0,16.0,33.3,2021
5,2020-10-04,12:00,Premier League,Matchweek 4,Sun,Away,L,0,2,Southampton,0.1,1.2,38,,Jake Livermore,4-2-3-1,Chris Kavanagh,Match Report,,West Bromwich Albion,0,5,3,60.0,0.0,0.0,21.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11,13.0,7.0,1.0,6.0,18.0,33.3,12.0,176.0,53.0,30.1,59.0,86.0,31.0,19.0,1.0,0.0,18.0,9,,21.0,0.0,7,2,5,71.4,0,2.3,0.3,0,0,0,0,14.0,23.0,60.9,23.0,4.0,69.6,44.0,9.0,77.8,53.6,6.0,0.0,0.0,2.0,18.3,245.0,350.0,70.0,4883.0,1932.0,110.0,129.0,85.3,83.0,117.0,70.9,50.0,91.0,54.9,0,0.1,3.0,15.0,0.0,0.0,20.0,1,0,0,12,18,1,6,9,11,0.0,0.0,0,105.0,10.0,15.0,40.0,2021
6,2020-10-19,17:30,Premier League,Matchweek 5,Mon,Home,D,0,0,Burnley,1.0,1.1,56,,Jake Livermore,4-5-1,Anthony Taylor,Match Report,,West Bromwich Albion,0,13,6,46.2,0.0,0.0,16.2,0.0,0,0,1.0,1.0,0.09,-1.0,-1.0,20.0,13.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11,7.0,9.0,2.0,6.0,16.0,37.5,10.0,152.0,49.0,32.2,65.0,65.0,22.0,14.0,1.0,0.0,13.0,3,,38.0,0.0,4,0,4,100.0,1,1.0,1.0,0,0,0,0,6.0,23.0,26.1,35.0,14.0,54.3,43.3,6.0,66.7,52.8,13.0,1.0,7.7,0.0,14.3,397.0,514.0,77.2,7692.0,2548.0,157.0,177.0,88.7,168.0,204.0,82.4,59.0,109.0,54.1,0,0.5,9.0,26.0,8.0,3.0,31.0,2,0,0,21,17,2,12,3,11,0.0,0.0,0,105.0,31.0,37.0,45.6,2021
7,2020-10-26,17:30,Premier League,Matchweek 6,Mon,Away,D,1,1,Brighton,0.6,0.7,51,,Jake Livermore,4-1-4-1,Jonathan Moss,Match Report,,West Bromwich Albion,1,9,3,33.3,0.11,0.33,20.5,0.0,0,0,0.6,0.6,0.07,0.4,0.4,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,10,12.0,7.0,3.0,10.0,21.0,47.6,11.0,139.0,32.0,23.0,45.0,51.0,43.0,13.0,1.0,0.0,12.0,4,,27.0,0.0,3,1,3,66.7,0,0.8,0.8,0,0,0,0,11.0,19.0,57.9,30.0,4.0,56.7,43.4,5.0,40.0,31.4,6.0,0.0,0.0,0.0,12.8,420.0,519.0,80.9,8178.0,2722.0,183.0,201.0,91.0,173.0,204.0,84.8,60.0,102.0,58.8,0,0.1,3.0,43.0,10.0,3.0,38.0,0,0,0,12,19,1,16,4,10,0.0,0.0,1,101.0,19.0,20.0,48.7,2021
8,2020-11-02,17:30,Premier League,Matchweek 7,Mon,Away,L,0,2,Fulham,0.5,1.5,53,,Jake Livermore,4-1-4-1,Simon Hooper,Match Report,,West Bromwich Albion,0,10,1,10.0,0.0,0.0,20.6,1.0,0,0,0.5,0.5,0.05,-0.5,-0.5,15.0,9.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9,13.0,10.0,3.0,4.0,23.0,17.4,19.0,187.0,50.0,26.7,65.0,86.0,36.0,17.0,7.0,2.0,10.0,1,,14.0,0.0,4,2,2,50.0,0,1.7,-0.3,0,0,0,0,9.0,13.0,69.2,32.0,12.0,34.4,34.1,7.0,28.6,28.4,12.0,2.0,16.7,2.0,15.4,406.0,519.0,78.2,8545.0,2687.0,124.0,161.0,77.0,206.0,239.0,86.2,73.0,104.0,70.2,0,0.3,5.0,26.0,5.0,3.0,37.0,2,0,0,15,14,4,12,1,9,0.0,0.0,0,123.0,21.0,17.0,55.3,2021
9,2020-11-08,12:00,Premier League,Matchweek 8,Sun,Home,L,0,1,Tottenham,0.8,1.6,41,,Jake Livermore,3-5-2,Andy Madley,Match Report,,West Bromwich Albion,0,12,2,16.7,0.0,0.0,16.4,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,18.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11,8.0,10.0,1.0,4.0,12.0,33.3,8.0,131.0,40.0,30.5,43.0,66.0,22.0,20.0,8.0,0.0,12.0,4,,20.0,0.0,5,1,4,80.0,0,1.1,0.1,0,0,0,0,8.0,24.0,33.3,20.0,2.0,85.0,58.1,7.0,100.0,73.3,7.0,0.0,0.0,0.0,15.0,253.0,387.0,65.4,4791.0,1916.0,116.0,149.0,77.9,95.0,130.0,73.1,36.0,89.0,40.4,0,0.7,9.0,25.0,10.0,1.0,35.0,1,0,0,19,12,1,13,4,11,0.0,0.0,0,122.0,30.0,19.0,61.2,2021
10,2020-11-21,20:00,Premier League,Matchweek 9,Sat,Away,L,0,1,Manchester Utd,0.6,2.5,38,,Kyle Bartley,3-4-3,David Coote,Match Report,,West Bromwich Albion,0,7,2,28.6,0.0,0.0,15.1,0.0,0,0,0.6,0.6,0.09,-0.6,-0.6,14.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14,11.0,9.0,1.0,4.0,19.0,21.1,15.0,166.0,57.0,34.3,67.0,73.0,26.0,25.0,8.0,0.0,17.0,15,,13.0,0.0,6,1,6,100.0,0,3.1,2.1,2,1,1,0,3.0,21.0,14.3,31.0,5.0,54.8,43.4,6.0,66.7,44.8,9.0,0.0,0.0,1.0,17.0,316.0,420.0,75.2,6085.0,2062.0,122.0,141.0,86.5,157.0,187.0,84.0,34.0,82.0,41.5,0,0.6,7.0,27.0,3.0,2.0,25.0,1,0,0,19,15,2,4,15,14,0.0,1.0,0,86.0,3.0,18.0,14.3,2021
11,2020-11-28,20:00,Premier League,Matchweek 10,Sat,Home,W,1,0,Sheffield Utd,1.3,2.7,49,,Kyle Bartley,3-4-1-2,Mike Dean,Match Report,,West Bromwich Albion,1,17,6,35.3,0.06,0.17,16.1,1.0,0,0,1.3,1.3,0.08,-0.3,-0.3,24.0,12.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7,5.0,5.0,0.0,3.0,17.0,17.6,14.0,120.0,34.0,28.3,45.0,53.0,22.0,12.0,5.0,1.0,7.0,7,,17.0,0.0,5,0,5,100.0,1,1.2,1.2,0,0,0,0,15.0,31.0,48.4,27.0,1.0,81.5,58.8,10.0,90.0,62.2,10.0,1.0,10.0,1.0,13.0,318.0,421.0,75.5,6604.0,2649.0,132.0,152.0,86.8,126.0,158.0,79.7,56.0,96.0,58.3,0,0.8,11.0,26.0,7.0,0.0,33.0,2,0,0,11,13,2,10,7,7,0.0,0.0,0,93.0,25.0,16.0,61.0,2021
12,2020-12-06,12:00,Premier League,Matchweek 11,Sun,Home,L,1,5,Crystal Palace,0.8,1.8,50,,Kyle Bartley,3-4-1-2,Paul Tierney,Match Report,,West Bromwich Albion,1,9,4,44.4,0.11,0.25,16.0,0.0,0,0,0.8,0.8,0.08,0.2,0.2,13.0,10.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,7,8.0,6.0,2.0,9.0,17.0,52.9,8.0,132.0,25.0,18.9,55.0,55.0,22.0,18.0,6.0,1.0,12.0,7,,16.0,0.0,7,5,3,28.6,0,3.2,-0.8,0,0,0,0,5.0,12.0,41.7,18.0,4.0,44.4,39.5,6.0,66.7,45.5,5.0,0.0,0.0,2.0,23.0,445.0,513.0,86.7,8546.0,2564.0,193.0,208.0,92.8,181.0,199.0,91.0,69.0,94.0,73.4,1,0.5,8.0,24.0,8.0,4.0,25.0,2,1,0,11,18,2,12,7,7,0.0,0.0,1,61.0,18.0,16.0,52.9,2021
13,2020-12-12,15:00,Premier League,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,0.6,1.1,55,,Branislav Ivanović,3-4-1-2,Darren England,Match Report,,West Bromwich Albion,1,13,3,23.1,0.08,0.33,22.5,1.0,0,0,0.6,0.6,0.05,0.4,0.4,16.0,12.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,9,8.0,2.0,7.0,8.0,18.0,44.4,10.0,146.0,52.0,35.6,47.0,62.0,37.0,13.0,6.0,1.0,7.0,3,,13.0,0.0,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,5.0,12.0,41.7,20.0,6.0,40.0,39.3,5.0,80.0,59.6,11.0,1.0,9.1,1.0,17.0,421.0,533.0,79.0,8043.0,2656.0,178.0,207.0,86.0,184.0,222.0,82.9,51.0,80.0,63.8,1,0.5,9.0,42.0,6.0,1.0,44.0,3,0,0,15,12,2,15,3,9,0.0,0.0,0,92.0,22.0,18.0,55.0,2021
14,2020-12-15,20:00,Premier League,Matchweek 13,Tue,Away,D,1,1,Manchester City,0.3,1.9,23,,Jake Livermore,4-1-4-1,Peter Bankes,Match Report,,West Bromwich Albion,0,5,1,20.0,0.0,0.0,18.4,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,7.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,7,10.0,3.0,1.0,4.0,15.0,26.7,11.0,142.0,30.0,21.1,83.0,50.0,9.0,22.0,8.0,0.0,14.0,15,,32.0,0.0,7,1,6,85.7,0,1.4,0.4,0,0,0,0,13.0,36.0,36.1,25.0,3.0,80.0,57.4,16.0,100.0,66.0,10.0,1.0,10.0,1.0,10.9,150.0,242.0,62.0,3115.0,1447.0,68.0,90.0,75.6,49.0,66.0,74.2,27.0,75.0,36.0,0,0.1,2.0,7.0,1.0,1.0,10.0,3,0,0,11,5,2,3,15,7,0.0,0.0,0,73.0,18.0,18.0,50.0,2021
15,2020-12-20,19:15,Premier League,Matchweek 14,Sun,Home,L,0,3,Aston Villa,0.0,2.3,34,,Jake Livermore,4-1-4-1,Martin Atkinson,Match Report,,West Bromwich Albion,0,1,1,100.0,0.0,0.0,34.1,1.0,0,0,0.0,0.0,0.02,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,7.0,4.0,3.0,3.0,17.0,17.6,14.0,182.0,37.0,20.3,91.0,67.0,24.0,16.0,2.0,0.0,14.0,16,,22.0,0.0,9,3,7,77.8,0,3.0,0.0,1,1,0,0,13.0,34.0,38.2,27.0,3.0,81.5,58.2,12.0,100.0,66.8,13.0,1.0,7.7,0.0,10.2,207.0,314.0,65.9,4281.0,1691.0,91.0,101.0,90.1,78.0,106.0,73.6,36.0,93.0,38.7,0,0.0,0.0,12.0,3.0,1.0,14.0,1,1,0,15,9,2,6,16,8,0.0,1.0,0,78.0,27.0,33.0,45.0,2021
16,2020-12-27,16:30,Premier League,Matchweek 15,Sun,Away,D,1,1,Liverpool,0.5,1.6,23,2000.0,Matt Phillips,4-5-1,Kevin Friend,Match Report,,West Bromwich Albion,1,5,3,60.0,0.2,0.33,16.5,0.0,0,0,0.5,0.5,0.1,0.5,0.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,12,12.0,3.0,0.0,7.0,18.0,38.9,11.0,92.0,24.0,26.1,57.0,23.0,12.0,21.0,4.0,0.0,17.0,15,,38.0,0.0,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,6.0,31.0,19.4,17.0,0.0,94.1,67.2,15.0,100.0,71.9,18.0,2.0,11.1,0.0,16.5,142.0,256.0,55.5,2922.0,1556.0,62.0,77.0,80.5,50.0,76.0,65.8,26.0,85.0,30.6,1,0.5,4.0,12.0,7.0,5.0,15.0,1,0,0,7,9,5,10,15,12,0.0,0.0,0,81.0,13.0,22.0,37.1,2021
