,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2021-08-14,15:00,Premier League,Matchweek 1,Sat,Away,L,2,3,Watford,1.1,1.2,61,20051,Tyrone Mings,4-2-3-1,Mike Dean,Match Report,,Aston Villa,2,10,1,10.0,0.1,1.0,21.7,1.0,1,1,1.1,0.3,0.03,0.9,0.7,16.0,9.0,1.0,3.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,17.0,10,7.0,7.0,3.0,5.0,19.0,26.3,14.0,108.0,27.0,25.0,31.0,45.0,32.0,9.0,4.0,0.0,5.0,15,,16.0,0.0,7,3,4,57.1,0,1.1,-1.9,0,0,0,0,6.0,9.0,66.7,26.0,9.0,23.1,28.8,7.0,42.9,42.9,4.0,0.0,0.0,1.0,15.7,434.0,533.0,81.4,9219.0,2976.0,141.0,162.0,87.0,216.0,240.0,90.0,74.0,123.0,60.2,1,0.2,5.0,38.0,8.0,1.0,40.0,1,0,0,15,21,2,17,15,10,1.0,0.0,0,81.0,15.0,18.0,45.5,2022
1,2021-08-21,15:00,Premier League,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,1.1,0.7,47,41964,Tyrone Mings,4-3-3,David Coote,Match Report,,Aston Villa,2,9,1,11.1,0.11,1.0,18.6,0.0,1,1,1.1,0.4,0.05,0.9,0.6,17.0,11.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,5,5.0,6.0,0.0,6.0,16.0,37.5,10.0,110.0,29.0,26.4,46.0,38.0,26.0,5.0,1.0,0.0,4.0,12,,21.0,0.0,1,0,1,100.0,1,0.0,0.0,0,0,0,0,5.0,12.0,41.7,13.0,0.0,30.8,40.7,10.0,80.0,53.0,14.0,1.0,7.1,2.0,26.5,254.0,333.0,76.3,5584.0,1975.0,86.0,101.0,85.1,114.0,133.0,85.7,51.0,88.0,58.0,1,0.4,8.0,25.0,8.0,2.0,34.0,3,0,0,8,17,3,9,12,5,0.0,0.0,0,72.0,18.0,18.0,50.0,2022
2,2021-08-24,19:45,EFL Cup,Second round,Tue,Away,W,6,0,Barrow,,,68,5349,Conor Hourihane,4-2-3-1,Martin Coy,Match Report,,Aston Villa,6,16,9,56.3,0.31,0.56,,,1,1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,9,,,,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,0,0,15,21,2,8,9,6,,,0,,,,,2022
3,2021-08-28,15:00,Premier League,Matchweek 3,Sat,Home,D,1,1,Brentford,0.6,1.1,48,42045,Ezri Konsa,4-5-1,Peter Bankes,Match Report,,Aston Villa,1,7,5,71.4,0.14,0.2,13.2,0.0,0,0,0.6,0.6,0.09,0.4,0.4,12.0,9.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,12,9.0,5.0,3.0,4.0,10.0,40.0,6.0,116.0,34.0,29.3,26.0,51.0,39.0,18.0,5.0,0.0,13.0,10,,19.0,0.0,2,1,1,50.0,0,1.1,0.1,0,0,0,0,8.0,19.0,42.1,28.0,4.0,53.6,43.2,7.0,57.1,47.4,7.0,1.0,14.3,1.0,13.9,287.0,397.0,72.3,6017.0,2270.0,101.0,118.0,85.6,126.0,149.0,84.6,54.0,109.0,49.5,1,0.4,6.0,20.0,7.0,4.0,19.0,3,0,0,16,17,1,16,10,12,0.0,0.0,0,96.0,23.0,21.0,52.3,2022
4,2021-09-11,17:30,Premier League,Matchweek 4,Sat,Away,L,0,3,Chelsea,1.5,1.1,43,39969,Tyrone Mings,3-5-2,Stuart Attwell,Match Report,,Aston Villa,0,18,6,33.3,0.0,0.0,17.4,0.0,0,0,1.5,1.5,0.08,-1.5,-1.5,21.0,12.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11,6.0,8.0,1.0,7.0,16.0,43.8,9.0,170.0,45.0,26.5,43.0,84.0,43.0,11.0,3.0,0.0,8.0,24,,16.0,1.0,4,3,1,25.0,0,1.8,-1.2,0,0,0,0,5.0,13.0,38.5,30.0,6.0,30.0,34.4,6.0,66.7,53.8,8.0,1.0,12.5,1.0,14.3,280.0,379.0,73.9,6226.0,2455.0,91.0,109.0,83.5,122.0,148.0,82.4,60.0,107.0,56.1,0,1.0,10.0,29.0,8.0,2.0,32.0,4,0,0,12,13,1,16,24,11,0.0,0.0,0,87.0,12.0,18.0,40.0,2022
5,2021-09-18,17:30,Premier League,Matchweek 5,Sat,Home,W,3,0,Everton,1.3,0.7,55,41888,Tyrone Mings,3-5-2,Craig Pawson,Match Report,,Aston Villa,2,15,3,20.0,0.13,0.67,17.3,1.0,0,0,1.3,1.3,0.09,0.7,0.7,24.0,13.0,5.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,7,3.0,6.0,3.0,5.0,12.0,41.7,7.0,100.0,27.0,27.0,30.0,47.0,23.0,18.0,5.0,0.0,13.0,13,,18.0,0.0,1,0,1,100.0,1,0.0,0.0,0,0,0,0,8.0,16.0,50.0,29.0,6.0,37.9,35.4,12.0,41.7,37.1,7.0,2.0,28.6,3.0,21.0,324.0,417.0,77.7,7187.0,2671.0,91.0,109.0,83.5,160.0,182.0,87.9,67.0,104.0,64.4,2,0.9,10.0,35.0,13.0,2.0,45.0,1,0,0,10,13,0,10,13,7,0.0,0.0,0,75.0,19.0,21.0,47.5,2022
6,2021-09-22,19:45,EFL Cup,Third round,Wed,Away,D,1 (3),1 (4),Chelsea,,,32,35892,Ashley Young,4-2-3-1,Graham Scott,Match Report,Chelsea won on penalty kicks following normal time,Aston Villa,1,10,7,70.0,0.1,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,10,,,,7,1,6,85.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0,0,8,11,0,4,10,6,,,0,,,,,2022
7,2021-09-25,12:30,Premier League,Matchweek 6,Sat,Away,W,1,0,Manchester Utd,1.2,2.3,42,72922,Tyrone Mings,3-5-2,Mike Dean,Match Report,,Aston Villa,1,7,3,42.9,0.14,0.33,14.2,1.0,0,0,1.2,1.2,0.17,-0.2,-0.2,10.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6,3.0,4.0,0.0,2.0,15.0,13.3,13.0,153.0,38.0,24.8,53.0,65.0,35.0,32.0,13.0,0.0,19.0,21,,15.0,0.0,4,0,4,100.0,1,0.6,0.6,1,0,0,1,9.0,33.0,27.3,28.0,1.0,85.7,57.3,13.0,69.2,50.9,9.0,0.0,0.0,1.0,15.2,214.0,313.0,68.4,4548.0,1892.0,90.0,106.0,84.9,78.0,103.0,75.7,44.0,95.0,46.3,1,0.8,5.0,21.0,6.0,3.0,15.0,2,0,0,17,11,3,16,21,6,0.0,1.0,0,76.0,11.0,25.0,30.6,2022
8,2021-10-03,14:00,Premier League,Matchweek 7,Sun,Away,L,1,2,Tottenham,1.1,1.7,42,53076,Tyrone Mings,3-5-2,Chris Kavanagh,Match Report,,Aston Villa,1,14,3,21.4,0.07,0.33,17.0,0.0,0,0,1.1,1.1,0.08,-0.1,-0.1,15.0,11.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,6,4.0,11.0,3.0,7.0,24.0,29.2,17.0,184.0,48.0,26.1,54.0,98.0,32.0,19.0,5.0,1.0,14.0,22,,22.0,0.0,7,2,6,71.4,0,1.7,0.7,0,0,0,0,3.0,17.0,17.6,32.0,5.0,50.0,41.3,7.0,14.3,27.3,1.0,0.0,0.0,2.0,18.3,235.0,345.0,68.1,5043.0,1771.0,72.0,88.0,81.8,116.0,143.0,81.1,45.0,104.0,43.3,1,0.8,7.0,15.0,9.0,0.0,33.0,1,0,0,20,12,1,24,22,6,0.0,0.0,1,97.0,23.0,27.0,46.0,2022
9,2021-10-16,15:00,Premier League,Matchweek 8,Sat,Home,L,2,3,Wolves,1.1,2.0,48,41951,Tyrone Mings,3-4-1-2,Michael Oliver,Match Report,,Aston Villa,2,14,5,35.7,0.14,0.4,17.9,0.0,0,0,1.1,1.1,0.08,0.9,0.9,20.0,17.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,6,4.0,6.0,1.0,3.0,12.0,25.0,9.0,84.0,25.0,29.8,26.0,42.0,16.0,10.0,2.0,0.0,8.0,18,,22.0,1.0,4,3,1,25.0,0,2.7,-0.3,0,0,0,0,4.0,12.0,33.3,26.0,2.0,34.6,32.5,7.0,42.9,35.7,5.0,0.0,0.0,0.0,19.0,317.0,414.0,76.6,6140.0,2045.0,125.0,143.0,87.4,145.0,169.0,85.8,40.0,88.0,45.5,1,1.0,11.0,15.0,7.0,2.0,32.0,2,0,0,12,21,1,13,18,6,0.0,0.0,0,71.0,11.0,15.0,42.3,2022
