,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2021-08-13,20:00,Premier League,Matchweek 1,Fri,Home,W,2,0,Arsenal,1.3,1.4,34,16479.0,Pontus Jansson,3-5-2,Michael Oliver,Match Report,,Brentford,2,8,3,37.5,0.25,0.67,12.1,0.0,0,0,1.3,1.3,0.17,0.7,0.7,13.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,17,15.0,6.0,3.0,9.0,20.0,45.0,11.0,183.0,49.0,26.8,81.0,66.0,36.0,12.0,4.0,0.0,8.0,10,,24.0,0.0,4,0,4,100.0,1,0.4,0.4,0,0,0,0,10.0,37.0,27.0,35.0,5.0,60.0,45.6,16.0,100.0,68.8,10.0,0.0,0.0,0.0,12.1,207.0,316.0,65.5,4323.0,1831.0,81.0,103.0,78.6,79.0,95.0,83.2,43.0,99.0,43.4,1,0.8,6.0,19.0,7.0,0.0,23.0,0,0,0,15,7,1,8,10,17,0.0,0.0,0,79.0,16.0,25.0,39.0,2022
1,2021-08-21,15:00,Premier League,Matchweek 2,Sat,Away,D,0,0,Crystal Palace,0.9,0.6,46,23091.0,Pontus Jansson,3-5-2,Martin Atkinson,Match Report,,Brentford,0,14,3,21.4,0.0,0.0,17.0,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,24.0,15.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15,10.0,12.0,4.0,8.0,15.0,53.3,7.0,153.0,63.0,41.2,56.0,71.0,26.0,10.0,0.0,0.0,10.0,15,,18.0,0.0,2,0,2,100.0,1,0.2,0.2,0,0,0,0,4.0,22.0,18.2,39.0,6.0,43.6,37.8,6.0,83.3,62.0,7.0,1.0,14.3,1.0,15.1,287.0,406.0,70.7,5482.0,2005.0,132.0,155.0,85.2,112.0,142.0,78.9,37.0,89.0,41.6,0,0.8,11.0,26.0,7.0,2.0,26.0,1,0,0,13,11,2,7,15,15,0.0,0.0,0,104.0,20.0,17.0,54.1,2022
2,2021-08-24,19:45,EFL Cup,Second round,Tue,Home,W,3,1,FG Rovers,,,57,12137.0,Ethan Pinnock,4-2-3-1,Will Finnie,Match Report,,Brentford,3,17,9,52.9,0.18,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,15,,,,1,1,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,0,0,14,11,1,16,15,15,,,0,,,,,2022
3,2021-08-28,15:00,Premier League,Matchweek 3,Sat,Away,D,1,1,Aston Villa,1.1,0.6,52,42045.0,Pontus Jansson,3-4-1-2,Peter Bankes,Match Report,,Brentford,1,9,2,22.2,0.11,0.5,16.3,0.0,0,0,1.1,1.1,0.12,-0.1,-0.1,16.0,12.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,17,9.0,9.0,4.0,6.0,15.0,40.0,9.0,151.0,44.0,29.1,42.0,68.0,41.0,12.0,0.0,0.0,12.0,17,,35.0,1.0,5,1,4,80.0,0,1.7,0.7,0,0,0,0,9.0,20.0,45.0,55.0,6.0,34.5,34.5,3.0,33.3,28.0,16.0,3.0,18.8,3.0,20.6,334.0,433.0,77.1,6946.0,2235.0,105.0,119.0,88.2,172.0,196.0,87.8,48.0,99.0,48.5,1,1.0,8.0,11.0,7.0,1.0,23.0,3,0,0,17,15,2,8,17,17,0.0,0.0,0,68.0,21.0,23.0,47.7,2022
4,2021-09-11,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Brighton,0.7,0.2,41,16518.0,Pontus Jansson,3-5-2,Graham Scott,Match Report,,Brentford,0,7,1,14.3,0.0,0.0,20.6,0.0,0,0,0.7,0.7,0.1,-0.7,-0.7,14.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16,15.0,6.0,3.0,9.0,17.0,52.9,8.0,184.0,49.0,26.6,73.0,72.0,39.0,23.0,1.0,0.0,22.0,18,,23.0,0.0,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,13.0,20.0,65.0,32.0,4.0,46.9,39.8,6.0,83.3,56.8,5.0,1.0,20.0,4.0,19.3,272.0,370.0,73.5,5201.0,2409.0,120.0,142.0,84.5,116.0,149.0,77.9,33.0,62.0,53.2,0,0.7,7.0,19.0,8.0,2.0,21.0,3,0,0,11,13,0,12,18,16,0.0,0.0,0,74.0,24.0,11.0,68.6,2022
5,2021-09-18,12:30,Premier League,Matchweek 5,Sat,Away,W,2,0,Wolves,2.5,0.6,38,30000.0,Pontus Jansson,3-5-2,Darren England,Match Report,,Brentford,2,8,2,25.0,0.13,0.5,18.4,0.0,1,1,2.5,1.7,0.22,-0.5,-0.7,15.0,9.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,12,10.0,7.0,3.0,7.0,27.0,25.9,20.0,146.0,38.0,26.0,56.0,64.0,26.0,22.0,3.0,0.0,19.0,16,,27.0,0.0,0,0,0,,1,0.0,0.0,0,0,0,0,12.0,27.0,44.4,35.0,4.0,60.0,46.2,11.0,54.5,48.2,7.0,1.0,14.3,0.0,10.7,250.0,338.0,74.0,5140.0,2158.0,98.0,108.0,90.7,110.0,137.0,80.3,40.0,79.0,50.6,1,1.4,6.0,24.0,2.0,0.0,21.0,4,1,1,8,13,2,5,16,12,1.0,0.0,0,70.0,15.0,16.0,48.4,2022
6,2021-09-21,19:45,EFL Cup,Third round,Tue,Home,W,7,0,Oldham Athletic,,,72,12819.0,Mathias Jensen,3-5-1-1,Simon Hooper,Match Report,,Brentford,6,24,9,37.5,0.21,0.56,,,1,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,22,,,,3,0,3,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0,0,0,9,10,1,27,22,7,,,0,,,,,2022
7,2021-09-25,17:30,Premier League,Matchweek 6,Sat,Home,D,3,3,Liverpool,1.9,2.5,34,16876.0,Pontus Jansson,3-5-2,Stuart Attwell,Match Report,,Brentford,3,12,3,25.0,0.25,1.0,11.8,0.0,0,0,1.9,1.9,0.16,1.1,1.1,17.0,13.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,14.0,7,8.0,6.0,0.0,7.0,13.0,53.8,6.0,117.0,34.0,29.1,52.0,49.0,16.0,15.0,6.0,1.0,9.0,20,,28.0,0.0,4,3,1,25.0,0,2.4,-0.6,0,0,0,0,10.0,34.0,29.4,33.0,5.0,72.7,56.2,10.0,100.0,65.9,11.0,1.0,9.1,2.0,14.1,196.0,305.0,64.3,4095.0,1944.0,88.0,112.0,78.6,69.0,101.0,68.3,36.0,81.0,44.4,1,1.1,6.0,21.0,8.0,4.0,23.0,1,0,0,11,8,4,11,20,7,0.0,0.0,0,85.0,22.0,18.0,55.0,2022
8,2021-10-03,14:00,Premier League,Matchweek 7,Sun,Away,W,2,1,West Ham,1.2,1.3,41,49940.0,Pontus Jansson,3-5-2,Peter Bankes,Match Report,,Brentford,2,13,6,46.2,0.15,0.33,13.8,1.0,0,0,1.2,1.2,0.1,0.8,0.8,16.0,8.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,6,7.0,3.0,1.0,4.0,9.0,44.4,5.0,137.0,38.0,27.7,60.0,59.0,18.0,27.0,7.0,0.0,20.0,10,,28.0,0.0,5,1,4,80.0,0,1.0,0.0,0,0,0,0,5.0,26.0,19.2,24.0,5.0,62.5,48.4,15.0,73.3,52.9,10.0,1.0,10.0,0.0,15.8,199.0,318.0,62.6,3818.0,1713.0,77.0,96.0,80.2,81.0,119.0,68.1,30.0,74.0,40.5,0,0.5,6.0,12.0,4.0,3.0,21.0,3,0,0,16,16,1,6,10,6,0.0,0.0,0,93.0,24.0,29.0,45.3,2022
9,2021-10-16,17:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Chelsea,1.6,0.3,44,16940.0,Pontus Jansson,3-5-2,Anthony Taylor,Match Report,,Brentford,0,17,5,29.4,0.0,0.0,12.9,0.0,0,0,1.6,1.6,0.1,-1.6,-1.6,18.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10,5.0,9.0,2.0,4.0,14.0,28.6,10.0,128.0,40.0,31.3,38.0,53.0,37.0,13.0,1.0,0.0,12.0,16,,13.0,0.0,1,1,0,0.0,0,0.5,-0.5,0,0,0,0,12.0,22.0,54.5,47.0,8.0,44.7,40.8,4.0,25.0,20.3,5.0,1.0,20.0,1.0,15.0,329.0,446.0,73.8,6429.0,2713.0,136.0,164.0,82.9,141.0,170.0,82.9,48.0,97.0,49.5,0,0.8,7.0,28.0,18.0,10.0,26.0,1,0,0,16,8,1,22,16,10,0.0,0.0,0,98.0,27.0,21.0,56.3,2022
