,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2021-08-11,20:00,Super Cup,UEFA Super Cup,Wed,Home,D,1 (6),1 (5),es Villarreal,,,62,,N'Golo Kanté,3-4-3,Sergey Karasev,Match Report,,Chelsea,1,19,7,36.8,0.05,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,10,,,,5,1,4,80.0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,0,0,10,14,4,33,10,9,,,0,,,,,2022
1,2021-08-14,15:00,Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,0.9,0.3,62,38965.0,César Azpilicueta,3-4-3,Jonathan Moss,Match Report,,Chelsea,3,13,6,46.2,0.23,0.5,20.8,4.0,0,0,0.9,0.9,0.07,2.1,2.1,21.0,16.0,1.0,0.0,0.0,4.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,21.0,10,3.0,10.0,8.0,10.0,20.0,50.0,10.0,180.0,53.0,29.4,37.0,83.0,60.0,7.0,1.0,0.0,6.0,25,,8.0,0.0,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,1.0,3.0,33.3,16.0,2.0,18.8,24.6,4.0,0.0,13.0,3.0,0.0,0.0,0.0,21.0,637.0,705.0,90.4,11732.0,2936.0,280.0,296.0,94.6,260.0,280.0,92.9,78.0,99.0,78.8,1,0.3,6.0,57.0,18.0,3.0,44.0,0,0,0,16,17,0,16,25,10,0.0,0.0,0,53.0,8.0,16.0,33.3,2022
2,2021-08-22,16:30,Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,2.9,0.3,65,58729.0,César Azpilicueta,3-4-3,Paul Tierney,Match Report,,Chelsea,2,22,5,22.7,0.09,0.4,14.6,0.0,0,0,2.9,2.9,0.13,-0.9,-0.9,36.0,33.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,15.0,10,10.0,2.0,3.0,6.0,15.0,40.0,9.0,137.0,48.0,35.0,50.0,58.0,29.0,11.0,1.0,0.0,10.0,14,,19.0,0.0,3,0,3,100.0,1.0,0.0,0.0,0,0,0,0,2.0,7.0,28.6,39.0,3.0,17.9,25.7,4.0,0.0,10.0,4.0,0.0,0.0,1.0,16.3,597.0,676.0,88.3,10281.0,3274.0,271.0,290.0,93.4,257.0,277.0,92.8,53.0,83.0,63.9,2,2.7,18.0,35.0,19.0,4.0,50.0,0,0,0,6,14,0,14,14,10,0.0,0.0,0,64.0,20.0,12.0,62.5,2022
3,2021-08-28,17:30,Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,0.8,2.6,35,54000.0,César Azpilicueta,3-4-3,Anthony Taylor,Match Report,,Chelsea,1,6,2,33.3,0.17,0.5,12.3,0.0,0,0,0.8,0.8,0.13,0.2,0.2,12.0,10.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,13,22.0,3.0,0.0,7.0,12.0,58.3,5.0,117.0,35.0,29.9,68.0,39.0,10.0,25.0,6.0,1.0,19.0,20,,44.0,0.0,6,1,6,100.0,0.0,1.1,0.1,1,1,0,0,9.0,21.0,42.9,26.0,4.0,46.2,38.8,14.0,64.3,49.7,21.0,2.0,9.5,2.0,14.0,286.0,389.0,73.5,5243.0,2130.0,133.0,158.0,84.2,108.0,133.0,81.2,38.0,80.0,47.5,1,0.8,6.0,8.0,3.0,0.0,14.0,2,1,0,6,13,2,6,20,13,0.0,0.0,0,82.0,11.0,15.0,42.3,2022
4,2021-09-11,17:30,Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,1.1,1.5,57,39969.0,Marcos Alonso,3-4-3,Stuart Attwell,Match Report,,Chelsea,3,12,4,33.3,0.25,0.75,22.5,0.0,0,0,1.1,1.1,0.09,1.9,1.9,17.0,13.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,13.0,10,7.0,5.0,1.0,5.0,22.0,22.7,17.0,123.0,33.0,26.8,50.0,50.0,23.0,19.0,9.0,0.0,10.0,11,,33.0,1.0,6,0,6,100.0,1.0,0.8,0.8,0,0,0,0,4.0,9.0,44.4,27.0,7.0,22.2,26.0,9.0,33.3,30.7,14.0,1.0,7.1,0.0,13.3,416.0,509.0,81.7,7640.0,2455.0,178.0,197.0,90.4,172.0,201.0,85.6,53.0,90.0,58.9,2,0.7,8.0,21.0,4.0,0.0,28.0,1,0,0,13,11,2,11,11,10,0.0,0.0,0,87.0,18.0,12.0,60.0,2022
5,2021-09-14,20:00,Champions Lg,Group stage,Tue,Home,W,1,0,ru Zenit,0.9,0.8,66,39252.0,César Azpilicueta,3-4-3,Bartosz Frankowski,Match Report,,Chelsea,1,11,2,18.2,0.09,0.5,15.5,0.0,0,0,0.9,0.9,0.09,0.1,0.1,19.0,15.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,7,5.0,4.0,3.0,4.0,10.0,40.0,6.0,126.0,36.0,28.6,28.0,43.0,55.0,13.0,1.0,0.0,12.0,12,,10.0,0.0,2,0,2,100.0,1.0,0.1,0.1,0,0,0,0,0.0,0.0,,14.0,2.0,0.0,21.3,3.0,0.0,13.0,1.0,0.0,0.0,0.0,,754.0,834.0,90.4,12476.0,3480.0,361.0,378.0,95.5,307.0,335.0,91.6,62.0,86.0,72.1,1,0.9,10.0,59.0,20.0,4.0,57.0,1,0,0,9,7,0,16,12,7,0.0,0.0,0,80.0,11.0,11.0,50.0,2022
6,2021-09-19,16:30,Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,1.9,0.7,53,60059.0,César Azpilicueta,3-4-3,Paul Tierney,Match Report,,Chelsea,3,20,9,45.0,0.15,0.33,13.2,0.0,0,0,1.9,1.9,0.1,1.1,1.1,38.0,32.0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,23.0,17,5.0,12.0,6.0,3.0,11.0,27.3,8.0,135.0,45.0,33.3,32.0,73.0,30.0,16.0,3.0,0.0,13.0,23,,25.0,0.0,2,0,2,100.0,1.0,0.3,0.3,0,0,0,0,6.0,8.0,75.0,26.0,6.0,30.8,30.0,4.0,0.0,9.3,8.0,1.0,12.5,1.0,18.8,472.0,556.0,84.9,9280.0,3029.0,177.0,201.0,88.1,220.0,246.0,89.4,66.0,89.0,74.2,3,1.7,18.0,36.0,11.0,2.0,35.0,1,0,0,18,7,1,17,23,17,0.0,0.0,0,92.0,19.0,15.0,55.9,2022
7,2021-09-22,19:45,EFL Cup,Third round,Wed,Home,D,1 (4),1 (3),Aston Villa,,,68,35892.0,N'Golo Kanté,4-3-3,Graham Scott,Match Report,Chelsea won on penalty kicks following normal time,Chelsea,1,18,7,38.9,0.06,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,14,,,,6,1,5,83.3,0.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,0,0,11,8,1,26,14,7,,,0,,,,,2022
8,2021-09-25,12:30,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,0.3,1.7,40,40036.0,César Azpilicueta,3-5-2,Michael Oliver,Match Report,,Chelsea,0,5,0,0.0,0.0,,29.3,1.0,0,0,0.3,0.3,0.07,-0.3,-0.3,10.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7,9.0,6.0,0.0,6.0,18.0,33.3,12.0,181.0,39.0,21.5,75.0,70.0,36.0,22.0,7.0,1.0,15.0,13,,24.0,0.0,3,1,2,66.7,0.0,0.9,-0.1,0,0,0,0,5.0,11.0,45.5,21.0,5.0,33.3,36.4,13.0,30.8,27.7,9.0,1.0,11.1,0.0,9.8,346.0,431.0,80.3,7020.0,2493.0,124.0,140.0,88.6,170.0,193.0,88.1,50.0,86.0,58.1,0,0.3,4.0,18.0,6.0,1.0,16.0,3,0,0,17,12,3,13,13,7,0.0,0.0,0,69.0,17.0,13.0,56.7,2022
9,2021-09-29,21:00,Champions Lg,Group stage,Wed,Away,L,0,1,it Juventus,0.9,1.0,72,19934.0,César Azpilicueta,3-4-3,Jesús Gil,Match Report,,Chelsea,0,15,1,6.7,0.0,0.0,16.5,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,24.0,18.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10,4.0,7.0,6.0,5.0,7.0,71.4,2.0,127.0,39.0,30.7,26.0,57.0,44.0,12.0,1.0,0.0,11.0,15,,7.0,0.0,1,1,0,0.0,0.0,0.8,-0.2,0,0,0,0,2.0,5.0,40.0,15.0,4.0,20.0,23.8,5.0,40.0,38.4,1.0,1.0,100.0,2.0,17.7,723.0,814.0,88.8,12539.0,3278.0,334.0,353.0,94.6,310.0,337.0,92.0,67.0,100.0,67.0,0,0.9,14.0,78.0,16.0,3.0,54.0,3,0,0,19,8,1,21,15,10,0.0,0.0,0,76.0,19.0,13.0,59.4,2022
