,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,SCA_Types_SCA,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_Drib,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_Types_GCA,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_Drib,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Def_Int,Def_Tkl+Int,Def_Clr,Def_Err,GK_Perf_SoTA,GK_Perf_GA,GK_Perf_Saves,GK_Perf_Save%,GK_Perf_CS,GK_Perf_PSxG,GK_Perf_PSxG+/-,GK_Penalty_PKatt,GK_Penalty_PKA,GK_Penalty_PKsv,GK_Penalty_PKm,GK_Launch_Cmp,GK_Launch_Att,GK_Launch_Cmp%,GK_Passes_Att,GK_Passes_Thr,GK_Passes_Launch%,GK_Passes_AvgLen,Gk_Goal_Kk_Att,Gk_Goal_Kk_Launch%,Gk_Goal_Kk_AvgLen,GK_Crosses_Opp,GK_Crosses_Stp,GK_Crosses_Stp%,Gk_Sweeper_#OPA,Gk_Sweeper_AvgDist,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp%,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp%,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp%,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp%,Passing_Ast,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_Prog,Misc_Stats_CrdY,Misc_Stats_CrdR,Misc_Stats_2CrdY,Misc_Stats_Fls,Misc_Stats_Fld,Misc_Stats_Off,Misc_Stats_Crs,Misc_Stats_Int,Misc_Stats_TklW,Misc_Stats_PKwon,Misc_Stats_PKcon,Misc_Stats_OG,Misc_Stats_Recov,Misc_Stats_Aerial_DuelsWon,Misc_Stats_Aerial_DuelsLost,Misc_Stats_Aerial_DuelsWon%,Season
0,2021-08-14,17:30,Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,1.4,2.0,49,27023,Grant Hanley,4-3-3,Andre Marriner,Match Report,,Norwich City,0,15,4,26.7,0.0,0.0,17.3,0.0,0,0,1.4,1.4,0.12,-1.4,-1.4,19.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17,13.0,7.0,0.0,11.0,21.0,52.4,10.0,125.0,42.0,33.6,56.0,43.0,26.0,16.0,7.0,1.0,9.0,29,,31.0,0.0,6,3,3,50.0,0,1.6,-1.4,0,0,0,0,7.0,21.0,33.3,36.0,4.0,50.0,37.1,8.0,37.5,32.5,11.0,0.0,0.0,1.0,11.4,453.0,539.0,84.0,8884.0,2733.0,182.0,201.0,90.5,184.0,200.0,92.0,72.0,117.0,61.5,0,1.0,11.0,21.0,5.0,3.0,21.0,1,0,0,4,17,2,14,29,17,0.0,0.0,0,73.0,10.0,17.0,37.0,2022
1,2021-08-21,15:00,Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,0.1,2.7,33,51437,Grant Hanley,4-3-3,Graham Scott,Match Report,,Norwich City,0,1,0,0.0,0.0,,17.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,13.0,3.0,0.0,4.0,15.0,26.7,11.0,173.0,35.0,20.2,109.0,53.0,11.0,20.0,7.0,0.0,13.0,12,,19.0,1.0,4,5,0,-25.0,0,3.2,-0.8,0,0,0,0,7.0,20.0,35.0,49.0,7.0,38.8,36.1,9.0,11.1,24.9,10.0,3.0,30.0,0.0,10.2,317.0,379.0,83.6,6233.0,1792.0,126.0,136.0,92.6,147.0,156.0,94.2,42.0,78.0,53.8,0,0.0,0.0,11.0,0.0,0.0,9.0,0,0,0,7,14,3,5,12,11,0.0,0.0,1,37.0,1.0,9.0,10.0,2022
2,2021-08-24,19:00,EFL Cup,Second round,Tue,Home,W,6,0,Bournemouth,,,49,20090,Christoph Zimmermann,4-3-3,Charles Breakspear,Match Report,,Norwich City,6,16,12,75.0,0.38,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,7,,,,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,0,0,10,9,1,14,7,7,,,0,,,,,2022
3,2021-08-28,15:00,Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,1.6,1.3,45,26765,Grant Hanley,4-3-3,Robert Jones,Match Report,,Norwich City,1,13,3,23.1,0.0,0.0,19.5,1.0,1,1,1.6,0.9,0.07,-0.6,-0.9,22.0,15.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,10,7.0,9.0,2.0,12.0,22.0,54.5,10.0,172.0,40.0,23.3,44.0,89.0,39.0,15.0,2.0,0.0,13.0,12,,32.0,0.0,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,7.0,18.0,38.9,25.0,3.0,48.0,42.2,10.0,60.0,47.6,7.0,0.0,0.0,2.0,20.5,307.0,399.0,76.9,6253.0,2149.0,111.0,129.0,86.0,137.0,162.0,84.6,50.0,96.0,52.1,0,0.7,9.0,18.0,8.0,3.0,25.0,2,0,0,12,9,2,12,12,10,1.0,0.0,0,80.0,10.0,13.0,43.5,2022
4,2021-09-11,15:00,Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,0.6,2.8,48,58000,Grant Hanley,4-3-3,Michael Oliver,Match Report,,Norwich City,0,10,1,10.0,0.0,0.0,19.4,1.0,0,0,0.6,0.6,0.06,-0.6,-0.6,16.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9,12.0,4.0,3.0,11.0,23.0,47.8,12.0,182.0,39.0,21.4,90.0,54.0,38.0,17.0,12.0,0.0,5.0,11,,19.0,1.0,6,1,4,83.3,0,1.6,0.6,0,0,0,0,13.0,28.0,46.4,35.0,2.0,54.3,40.9,15.0,60.0,47.8,9.0,0.0,0.0,0.0,12.2,349.0,453.0,77.0,6591.0,2358.0,146.0,167.0,87.4,152.0,178.0,85.4,43.0,83.0,51.8,0,0.5,7.0,20.0,9.0,2.0,24.0,2,0,0,14,12,0,9,11,9,0.0,0.0,0,77.0,16.0,24.0,40.0,2022
5,2021-09-18,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,1.0,1.8,48,26649,Grant Hanley,4-3-3,Robert Jones,Match Report,,Norwich City,1,12,4,33.3,0.08,0.25,19.8,1.0,0,0,1.0,1.0,0.08,0.0,0.0,16.0,11.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,10,8.0,9.0,1.0,6.0,22.0,27.3,16.0,140.0,44.0,31.4,61.0,49.0,30.0,10.0,2.0,0.0,8.0,14,,24.0,0.0,8,3,5,62.5,0,3.4,0.4,0,0,0,0,2.0,8.0,25.0,26.0,4.0,30.8,34.1,4.0,0.0,21.3,7.0,0.0,0.0,1.0,18.0,324.0,408.0,79.4,6583.0,2451.0,134.0,148.0,90.5,132.0,155.0,85.2,55.0,96.0,57.3,1,0.8,8.0,29.0,13.0,3.0,43.0,1,0,0,13,14,1,13,14,10,0.0,0.0,0,70.0,20.0,16.0,55.6,2022
6,2021-09-21,19:45,EFL Cup,Third round,Tue,Home,L,0,3,Liverpool,,,47,26353,Grant Hanley,3-1-4-2,Darren England,Match Report,,Norwich City,0,12,5,41.7,0.0,0.0,,,0,1,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,9,,,,3,3,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0,0,8,15,3,5,9,8,,,0,,,,,2022
7,2021-09-25,15:00,Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,0.6,2.1,53,38821,Grant Hanley,3-5-2,David Coote,Match Report,,Norwich City,0,10,2,20.0,0.0,0.0,21.7,1.0,0,0,0.6,0.6,0.06,-0.6,-0.6,17.0,10.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5,4.0,5.0,0.0,3.0,8.0,37.5,5.0,128.0,28.0,21.9,44.0,57.0,27.0,25.0,5.0,0.0,20.0,24,,24.0,0.0,3,2,2,66.7,0,2.0,0.0,1,1,0,0,2.0,8.0,25.0,26.0,8.0,26.9,38.5,5.0,20.0,29.4,7.0,0.0,0.0,0.0,4.5,436.0,517.0,84.3,9016.0,2672.0,149.0,166.0,89.8,201.0,217.0,92.6,81.0,114.0,71.1,0,0.6,8.0,28.0,6.0,0.0,30.0,3,0,0,13,12,0,11,24,5,0.0,1.0,0,69.0,14.0,8.0,63.6,2022
8,2021-10-02,15:00,Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,0.5,1.0,43,17427,Grant Hanley,3-5-2,Kevin Friend,Match Report,,Norwich City,0,10,2,20.0,0.0,0.0,19.4,2.0,0,0,0.5,0.5,0.05,-0.5,-0.5,15.0,9.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11,8.0,8.0,1.0,7.0,14.0,50.0,7.0,122.0,29.0,23.8,51.0,51.0,20.0,24.0,8.0,0.0,16.0,11,,54.0,0.0,4,0,4,100.0,1,1.1,1.1,0,0,0,0,10.0,29.0,34.5,36.0,5.0,55.6,42.5,12.0,75.0,61.8,25.0,1.0,4.0,1.0,16.0,271.0,387.0,70.0,5807.0,2153.0,105.0,125.0,84.0,107.0,139.0,77.0,54.0,109.0,49.5,0,0.2,6.0,13.0,7.0,0.0,23.0,2,0,0,6,15,0,14,11,11,0.0,0.0,0,92.0,24.0,25.0,49.0,2022
9,2021-10-16,15:00,Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,1.0,0.9,36,26777,Grant Hanley,3-5-2,Peter Bankes,Match Report,,Norwich City,0,15,2,13.3,0.0,0.0,20.7,1.0,0,0,1.0,1.0,0.07,-1.0,-1.0,27.0,20.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,6.0,4.0,3.0,4.0,9.0,44.4,5.0,167.0,43.0,25.7,79.0,62.0,26.0,24.0,4.0,0.0,20.0,15,,19.0,0.0,3,0,2,100.0,1,0.2,0.2,0,0,0,0,9.0,19.0,47.4,21.0,5.0,57.1,47.0,9.0,77.8,51.0,11.0,1.0,9.1,0.0,11.1,237.0,337.0,70.3,5212.0,2163.0,82.0,106.0,77.4,98.0,125.0,78.4,50.0,86.0,58.1,0,0.6,10.0,17.0,7.0,3.0,20.0,3,0,0,8,21,0,9,15,7,0.0,0.0,0,89.0,17.0,19.0,47.2,2022
