iter	F1	Logloss
0	0.7031484258	0.6898695811
1	0.7105744603	0.6858391779
2	0.7077374404	0.6824280958
3	0.7197661673	0.6783176926
4	0.7198542805	0.674852523
5	0.7260124042	0.6709226719
6	0.7298372514	0.667781823
7	0.7246688149	0.6648912522
8	0.7320402299	0.6610635112
9	0.7297589061	0.6578621475
10	0.7295052365	0.6543558814
11	0.7283905967	0.6507091256
12	0.7272069465	0.6476374558
13	0.7282608696	0.6444282364
14	0.7287889775	0.6413324263
15	0.7296416938	0.6379709282
16	0.7326804498	0.634767675
17	0.7326086957	0.6316233397
18	0.7308946034	0.6291657397
19	0.7310893956	0.6259256354
20	0.7324353841	0.6233202565
21	0.7361161525	0.6205757218
22	0.7365356623	0.6181188178
23	0.733891518	0.6157034388
24	0.7340851219	0.6130255526
25	0.7334785766	0.6105421234
26	0.7332123412	0.6078404903
27	0.7303206997	0.6054911154
28	0.7315827863	0.6027742828
29	0.7301239971	0.6006828926
30	0.7297887837	0.5983761598
31	0.7294545455	0.5962471646
32	0.7301818182	0.5932965058
33	0.7313704108	0.5911355739
34	0.7318313953	0.5889724978
35	0.7324863884	0.5865624892
36	0.7332609482	0.5844971601
37	0.7325370974	0.5822187993
38	0.7329956585	0.5804266572
39	0.735315446	0.578209016
40	0.7347826087	0.5759418223
41	0.7337192475	0.574499227
42	0.7308802309	0.5729914529
43	0.7313379012	0.5707560915
44	0.7297589061	0.5689973373
45	0.7292340885	0.5675497056
46	0.7323032699	0.5658160664
47	0.7318475917	0.5640225346
48	0.7322522523	0.5620713702
49	0.7298850575	0.5605788536
50	0.7302158273	0.55900032
51	0.7302844797	0.5577466003
52	0.73067242	0.5558274181
53	0.7298270893	0.5539638027
54	0.7306166607	0.5522859118
55	0.7304222302	0.5507179332
56	0.7291741796	0.5493917285
57	0.7288440763	0.5480963565
58	0.7291066282	0.5467683405
59	0.7300215983	0.5453407811
60	0.7298270893	0.5439229842
61	0.7293016559	0.542587774
62	0.7294964029	0.5408623709
63	0.7300215983	0.5392472001
64	0.7305475504	0.5375164373
65	0.7313379012	0.535742218
66	0.7302844797	0.5344852923
67	0.7302158273	0.5334633861
68	0.7304785894	0.5317233294
69	0.7314614831	0.5304508261
70	0.7305475504	0.5291631576
71	0.7335016228	0.5276992195
72	0.7335016228	0.5263501302
73	0.7339581831	0.5253862578
74	0.7346791637	0.524510771
75	0.7321299639	0.5234051015
76	0.7335740072	0.5215510045
77	0.733838931	0.5201055259
78	0.7341040462	0.5188079873
79	0.733838931	0.5176564236
