iter	Passed	Remaining
0	75	603265
1	152	607909
2	224	597595
3	302	604933
4	376	601539
5	455	607311
6	530	605717
7	611	610983
8	674	598815
9	738	589839
10	808	587547
11	890	592835
12	973	598148
13	1055	602210
14	1132	602785
15	1216	607138
16	1297	609096
17	1375	610162
18	1448	608265
19	1509	602351
20	1575	598788
21	1631	591778
22	1699	589566
23	1763	586070
24	1847	589413
25	1914	587296
26	1988	587113
27	2078	591683
28	2156	592777
29	2227	591864
30	2288	588381
31	2342	583207
32	2404	580481
33	2471	578970
34	2530	575925
35	2592	573586
36	2658	572133
37	2717	569319
38	2770	565614
39	2841	565546
40	2908	564665
41	2973	563380
42	3031	561006
43	3095	559721
44	3147	556330
45	3210	555092
46	3269	553317
47	3329	551603
48	3388	549852
49	3448	548350
50	3510	547154
51	3559	544002
52	3619	542751
53	3679	541403
54	3740	540376
55	3799	539013
56	3858	537622
57	3911	535631
58	3967	533944
59	4024	532603
60	4084	531633
61	4142	530342
62	4205	529813
63	4268	529258
64	4320	527405
65	4381	526684
66	4444	526279
67	4510	526103
68	4574	525820
69	4623	523760
70	4676	522239
71	4737	521608
72	4797	520948
73	4853	519874
74	4911	518993
75	4970	518210
76	5031	517699
77	5087	516747
78	5147	516132
79	5207	515590
80	5267	514979
81	5326	514324
82	5384	513643
83	5443	513007
84	5505	512704
85	5569	512530
86	5636	512660
87	5685	511158
88	5742	510410
89	5801	509930
90	5858	509166
91	5917	508641
92	5979	508390
93	6040	508057
94	6101	507709
95	6155	506832
96	6214	506361
97	6274	505967
98	6338	505899
99	6391	504965
100	6452	504639
101	6508	503990
102	6565	503378
103	6623	502844
104	6683	502571
105	6731	501286
106	6788	500730
107	6849	500510
108	6907	500050
109	6968	499807
110	7027	499429
111	7087	499182
112	7150	499057
113	7212	498933
114	7270	498506
115	7331	498293
116	7389	497905
117	7447	497467
118	7495	496374
119	7559	496427
120	7615	495893
121	7672	495420
122	7732	495225
123	7781	494221
124	7837	493780
125	7896	493467
126	7956	493216
127	8011	492681
128	8073	492588
129	8132	492352
130	8191	492072
131	8247	491582
132	8305	491279
133	8362	490915
134	8427	490961
135	8489	490880
136	8546	490542
137	8603	490176
138	8664	490024
139	8719	489556
140	8778	489317
141	8827	488501
142	8879	487878
143	8936	487559
144	8996	487365
145	9046	486632
146	9102	486279
147	9164	486191
148	9224	486035
149	9284	485892
150	9347	485880
151	9412	485976
152	9470	485711
153	9532	485642
154	9592	485496
155	9652	485350
156	9712	485169
157	9771	484985
158	9829	484728
159	9878	484052
160	9935	483757
161	9995	483591
162	10056	483517
163	10110	483108
164	10170	482939
165	10225	482585
166	10288	482573
167	10343	482188
168	10403	482068
169	10463	481937
170	10524	481835
171	10576	481363
172	10641	481459
173	10703	481395
174	10761	481178
175	10823	481145
176	10883	481043
177	10927	480201
178	10983	479893
179	11044	479827
180	11104	479707
181	11167	479712
182	11223	479420
183	11286	479417
184	11343	479171
185	11402	479007
186	11463	478935
187	11520	478721
188	11578	478506
189	11636	478318
190	11692	478040
191	11739	477417
192	11798	477271
193	11856	477053
194	11916	476954
195	11966	476468
196	12022	476213
197	12075	475836
198	12131	475574
199	12192	475502
200	12249	475301
201	12306	475092
202	12366	474995
203	12429	474985
204	12483	474673
205	12541	474494
206	12603	474489
207	12660	474273
208	12721	474227
209	12781	474145
210	12844	474133
211	12902	473982
212	12961	473850
213	13007	473256
214	13062	472997
215	13120	472835
216	13176	472609
217	13233	472394
218	13291	472226
219	13350	472111
220	13407	471927
221	13467	471834
222	13529	471816
223	13584	471568
224	13635	471167
225	13691	470980
226	13750	470844
227	13808	470703
228	13866	470553
229	13925	470433
230	13984	470318
231	14033	469896
232	14085	469521
233	14143	469378
234	14208	469490
235	14268	469402
236	14331	469421
237	14386	469185
238	14449	469218
239	14511	469194
240	14569	469078
241	14630	469026
242	14691	468976
243	14747	468791
244	14804	468601
245	14866	468593
246	14916	468196
247	14977	468182
248	15036	468077
249	15097	468036
250	15147	467644
251	15203	467432
252	15266	467453
253	15326	467399
254	15389	467409
255	15445	467212
256	15504	467112
257	15557	466858
258	15619	466822
259	15684	466900
260	15748	466962
261	15813	467043
262	15872	466944
263	15926	466703
264	15977	466363
265	16037	466285
266	16095	466176
267	16157	466147
268	16204	465724
269	16261	465562
270	16319	465449
271	16380	465389
272	16442	465388
273	16499	465243
274	16558	465143
